node,degree
is_overnight,21
har_ma_1,13
adj_numobs_ma_1,12
adj_sumret4_ma_1,11
adj_sumpret2_ma_1,10
adj_sumabsret_ma_1,10
adj_sumautocov_ma_1,10
adj_sumvolume_ma_1,9
adj_sumret_ma_1,9
adj_sumvolume_ma_25,8
adj_numobs_ma_25,7
adj_sumautocov_ma_25,6
har_ma_5,6
adj_buyturnover_vwstock_ma_25,5
adj_buyturnover_ewstock_ma_1,4
adj_sumbipow_ma_1,4
adj_buyturnover_ewstock_ma_25,4
adj_buyturnover_vwstock_ma_1,3
adj_sellturnover_vwstock_ma_1,3
adj_turnover_ewstock_ma_25,3
adj_sumabsret_ma_25,3
is_close,2
adj_turnover_vwstock_ma_1,2
adj_sumret3_ma_25,2
adj_turnover_ewstock_ma_1,2
hour,2
adj_vix_ma_1,2
adj_spread_ewstock_ma_25,2
adj_sumpret2_ewstock_ma_25,2
adj_sellturnover_ewstock_ma_1,2
is_open,2
adj_sumret3_ewstock_ma_1,1
adj_sumbipow_ma_25,1
adj_sumret3_vwstock_ma_1,1
adj_sumret_ma_25,1
adj_sumret2_ewstock_ma_625,1
adj_sumabsret_vwstock_ma_1,1
adj_sumret4_ma_25,1
har_ma_25,1
adj_spread_vwstock_ma_1,1
adj_sumret2_vwstock_ma_1,1
adj_sumabsret_ewstock_ma_625,1
adj_numobs_ma_625,1
adj_turnover_vwstock_ma_25,1
adj_spread_ewstock_ma_1,1
adj_sumret3_ma_1,1
adj_sumabsret_vwstock_ma_625,1
adj_effspread_ewstock_ma_25,1
adj_sellturnover_ewstock_ma_25,1
adj_sumpret2_vwstock_ma_25,1
