raw,modal_value,modal_share,zero_share,n_unique,iqr,p99_minus_p1
numobs,30.0,0.7797845232241047,0.0,30,0.0,24.0
voldemand_spx_open_only,0.0,0.6075293535153488,0.6075293535153488,45416,0.0,7959535.039648938
voldemand_all_open_only,0.0,0.6039338425991418,0.6039338425991418,45519,0.0,8374884.708142418
voldemand_spx_open_and_close,0.0,0.5982046022539728,0.5982046022539728,45995,0.0,1562784.9025800861
voldemand_all_open_and_close,0.0,0.5937779978309049,0.5937779978309049,46138,0.0,1699127.5672569876
stocktwits_sentiment,1.0,0.12388935930002823,0.015331639853231724,50006,0.25463665764636,2.0
sumbipow_ewstock,0.0,0.09587409716661721,0.09587409716661721,142834,3.5857806351168844e-06,6.31028673443993e-05
sumbipow_vwstock,0.0,0.09587409716661721,0.09587409716661721,142836,2.4459757232245096e-06,4.478875664241599e-05
stocktwits_sentcount,1.0,0.06747953711543889,0.0,6112,582.0,5072.510000000009
sumret2_ewstock,0.0,0.05209506119147587,0.05209506119147587,148079,9.407605902273749e-06,0.00016122694037334017
sumret4_vwstock,0.0,0.05209506119147587,0.05209506119147587,148100,2.7813094983723747e-10,3.634659341378772e-07
sumret2_vwstock,0.0,0.05209506119147587,0.05209506119147587,148100,6.055979126320185e-06,0.00010734811482869068
sumabsret_vwstock,0.0,0.05209506119147587,0.05209506119147587,148100,0.0025164559586025505,0.012402110931878022
sumabsret_ewstock,0.0,0.05209506119147587,0.05209506119147587,148074,0.0028626132230919004,0.014282529818422087
sumret4_ewstock,0.0,0.05209506119147587,0.05209506119147587,148079,8.048775253000782e-10,6.811385268231364e-07
sumret,0.0,0.042095594958932614,0.042095594958932614,198612,0.00095407179000485,0.00952405046031805
sumpret2_ewstock,0.0,0.031646418540752994,0.031646418540752994,148227,7.091187941084415e-06,0.00014620785499287053
sumpret2_vwstock,0.0,0.031646418540752994,0.031646418540752994,148246,4.22324568949209e-06,8.197628347397958e-05
sumret3,0.0,0.02381949044741302,0.02381949044741302,229366,1.3080872422495887e-10,2.7625704995404417e-08
stocktwits_attention,1.0,0.01823872557684909,0.0,9259,1157.75,8477.630000000005
vvix,84.38,0.017878589188452275,0.0,7206,21.17,80.6423999999999
vix3m,15.67,0.014959625555715665,0.0,3078,8.260000000000002,26.92
sumautocov,0.0,0.012582348136016159,0.012582348136016159,235721,2.175595030209919e-07,6.578614942119539e-06
sumbipow,0.0,0.01256202780633913,0.01256202780633913,235729,1.0943564215345668e-06,2.1917574070661498e-05
vix,13.93,0.01247488608459286,0.0,4726,9.150000000000002,47.419999999999995
sellturnover_ewstock,0.0,0.009120801850173351,0.009120801850173351,151930,0.10691722518294396,0.7335417346059517
sellturnover_vwstock,0.0,0.009120801850173351,0.009120801850173351,152045,0.0716596822195797,0.5801233119694338
ofi_vwstock,1.0,0.009076092037182307,0.00018290378041791483,151030,0.19882449934886243,1.8703738704463344
ofi_ewstock,1.0,0.009076092037182307,0.00018290378041791483,151030,0.21191797320925587,1.8961902272556457
buyturnover_vwstock,0.0,0.008210347476537509,0.008210347476537509,152171,0.0704200601575705,0.5852699576223381
buyturnover_ewstock,0.0,0.008210347476537509,0.008210347476537509,152084,0.10536395226792719,0.7355641287220895
sumret3_ewstock,0.0,0.004983132138357111,0.004983132138357111,148624,2.9252739931900944e-08,1.1588683923652993e-05
sumret3_vwstock,0.0,0.004983132138357111,0.004983132138357111,148626,1.1212927208939352e-08,4.936952440676018e-06
sumpret2,0.0,0.004799661869714174,0.004799661869714174,236265,8.945076876377164e-07,1.846858876496447e-05
sumabsret,0.0,0.0020523532973798966,0.0020523532973798966,238911,0.0039274699232965,0.025164304410833126
sumret4,0.0,0.0020523532973798966,0.0020523532973798966,239191,5.50434066793669e-13,1.600512812026709e-10
sumvolume,1.0,0.0011176181322365775,0.0,161595,41158.032999999996,283777.25548
turnover_ewstock,0.0013798981335329,0.0004755498290865785,0.0,153161,0.24466909545674786,1.5118003285356214
effspread_ewstock,0.0061059672518895,0.0004755498290865785,0.00010567773979701745,153340,0.0061802265533369505,0.05824303096322542
turnover_vwstock,0.0006759471072922,0.0004755498290865785,0.0,153162,0.1598165377530159,1.2192621730075806
spread_ewstock,0.0769498708152517,0.0004755498290865785,0.0,153280,0.028497031845905095,0.2176654348191581
effspread_vwstock,0.0049465816179735,0.0004755498290865785,0.00010567773979701745,153341,0.0024951172088434003,0.03394551975768197
spread_vwstock,0.0204148955799537,0.0004755498290865785,0.0,153280,0.014526180586381702,0.122519129732476
