,straddle UM,IC-UM w25,IC-UM w50
2021-09-30,-4.332607907242466,-1.7269983641811752,-0.9588985101985154
2022-03-25,-4.1319770249037795,-1.6752070534229277,-0.8091035271808505
2020-10-28,-3.4783705159640146,-1.646396495103836,-0.7781982481107116
2022-02-04,-3.4769702500775073,-1.6109999942779543,-0.9717128849029542
2022-03-31,-5.247884333077652,-1.542000045776367,-1.5338906487822532
2022-06-10,-3.6722919578039788,-1.4670000600814819,-1.1438935889303683
2022-01-31,-2.1099610999412883,-1.46400004863739,-0.6434883102402091
2020-06-12,-1.9024954191794035,-1.4130000114440917,-0.6396035215258599
2022-05-20,-4.612290065849166,-1.4010000944137575,-1.5246064916253088
2021-12-01,-1.5310858960570324,-1.3530000114440919,-0.5945976626873016
