,straddle sign(s),IC-sign(s) w25,IC-sign(s) w50
2023-11-30,-5.42248033384579,-0.7719921906292438,-0.3859960953146219
2021-03-26,-4.626674107142857,-0.8070000004023313,-0.48880078133195637
2024-02-13,-3.8523396839138835,-0.7477968760579824,-0.36989843800663946
2021-06-14,-3.8332868097795467,-0.32399609342217445,-0.16199804671108722
2024-04-30,-3.813873034315516,-0.7804023459553718,-0.38620117284357547
2023-03-22,-3.5509045953691603,-0.5339999961853027,-0.7309999973326922
2022-11-14,-3.2692306909335453,-0.7499999954551458,-0.4259999976307154
2023-01-31,-3.2222377551717436,-0.7540000019967557,-0.4070019540935755
2022-12-09,-3.0234375,-0.625804687589407,-0.31090234376490117
2021-08-18,-2.6878468001541833,-0.5831992179900408,-0.288599608913064
