,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
mean-s then sign,871.0,0.10961338847942678,1.1216647232621646,-5.422480279928936,-0.6523447979980617,0.1616790718622454,0.9123646891657275,10.31604850795286,0.9947596455237266,10.542219846220288,2.8840953838524,1.551317930920926,478.0,54.879448909299654
majority vote,871.0,0.10878652442495898,1.121745312457144,-5.422480279928936,-0.6500226971200699,0.1600260683687188,0.9154273206033494,10.31604850795286,0.9630600784823982,10.554403051938696,2.8621336916763602,1.5395050182631802,479.0,54.99425947187141
EW unit-median q,871.0,0.11097646664520673,1.1025295388645846,-5.506694397938613,-0.24715557539791985,0.040310943342907836,0.493161456629736,6.4409868363201355,-0.1063935008389738,5.2453203189933335,2.9706380324168737,1.5978681120484748,477.0,54.7646383467279
trail-Sharpe um q,871.0,0.11250552877024345,1.1065365993892669,-5.54684035917868,-0.2515489861122217,0.045029464875247296,0.4929042291214509,5.980162486802558,-0.1377406788537147,4.867607540624623,3.000662560623581,1.614017920836106,481.0,55.223880597014926
trail-IR um q,871.0,0.11147711275392695,1.097338662754486,-5.561179905519583,-0.2421243647637119,0.039671796021891984,0.4902977209527908,5.639392991432767,-0.1736091968363978,4.890655491028507,2.998155186419745,1.6126692363980957,477.0,54.7646383467279
blk2 0.5 AS + 0.5 UM,871.0,0.0617421712964093,0.8819234070012189,-7.101809347419941,-0.2227773407328868,0.10322921092252317,0.5083721204643505,3.0579927655621093,-1.4078902576765155,7.2110838853914485,2.066141716910143,1.1113511401918625,500.0,57.4052812858783
blk2 EW 3 rules,871.0,0.07956479481371624,0.8186005984519441,-5.9181744561832845,-0.1932090008585538,0.04325908667188886,0.6213302939491421,3.0579927655621093,-1.340522973209254,5.854482678719193,2.8685205587525577,1.5429404321795115,481.0,55.223880597014926
blk2 unit-median (bench),871.0,0.1033518696488813,1.2581828902309526,-10.652714021129912,-0.33605256479906975,0.03671824518942605,0.5353245865195807,9.173978296686329,-0.21991853050762497,12.021212496357112,2.4242848081434754,1.3039917173296371,481.0,55.223880597014926
blk2 sign(s),871.0,0.1152100418483301,1.121103048933301,-5.422480279928936,-0.6861797953247742,0.15113611727602083,0.9123646891657275,10.31604850795286,0.9606200001717903,10.558119673367855,3.0328705793685278,1.6313422011904308,481.0,55.223880597014926
always short,871.0,0.020132472943937295,1.1268340048342713,-10.31604850795286,-0.4435358568488702,0.32893453154561647,0.931262653135382,1.0,-2.3143220828599675,10.899722145931872,0.5272860203432714,0.2836203901792714,540.0,61.99770378874857
spectral PC1 sign,871.0,0.08309366413269602,1.123943131794151,-10.31604850795286,-0.48947415884913725,0.26884641515385954,0.9325585400320928,6.83603367783646,-1.3247197101268586,11.237965229970637,2.181888985708079,1.1736101121200089,514.0,59.01262916188289
spectral PC1 unit-median,871.0,0.033988147470406016,0.8992380283168827,-6.124124411198602,-0.14328339299239606,0.04402138178948198,0.3754299471834961,6.83603367783646,-0.7773014674612407,11.853710754285377,1.1154803049517077,0.6000025548216359,514.0,59.01262916188289
PCR k=1 sign,871.0,-0.02889777620781885,1.1266430736773567,-10.31604850795286,-0.7540702300412716,0.056846193435222014,0.8190011586043452,6.83603367783646,-1.138688649164136,10.623474021495522,-0.756984783874361,-0.40717241018915507,447.0,51.3203214695752
PCR k=2 sign,871.0,-0.0062856545127562245,1.126996495971864,-10.31604850795286,-0.7294373298468062,0.11007379339633883,0.8371956318303151,6.83603367783646,-1.1406202142997355,10.701816508476725,-0.16460272411604107,-0.08853769498377763,464.0,53.272101033295066
