w,model,rule,n,n_fly_days,Sharpe_fly,Sharpe_plain,worst_fly,worst_plain,maxDD_fly,maxDD_plain,pct_beyond_wing,wing_cost_pts_day,t_wing_cost
20,a0,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,a0,long-short volatility,870,590,0.6388035763835588,0.9815764590443038,-4.676056415948148,-5.422480279928936,-18.319191203199956,-14.648585381769394,0.06779661016949153,0.11883855417244515,0.5502862331494269
20,blk2,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,blk2,long-short volatility,870,531,1.360889459931779,1.6165916717659885,-4.676056415948148,-5.422480279928936,-13.917442307845185,-18.550323958405052,0.07344632768361582,-0.003229918814283531,-0.011205794192991137
20,lgbm,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,lgbm,long-short volatility,870,588,0.9296898458354261,1.3173651652292955,-4.676056415948148,-5.422480279928936,-18.84763795391315,-18.546869826716105,0.05952380952380952,0.13801028878510405,0.5699812112705833
20,xgb,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,xgb,long-short volatility,870,595,0.9490136841299469,1.3733671613053058,-4.676056415948148,-5.422480279928936,-17.170357977985162,-16.294385605827244,0.05714285714285714,0.20136989756416873,1.0661868918180388
20,lasso_t,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,lasso_t,long-short volatility,870,550,1.1062033948286623,1.428583856802841,-6.8688205640835145,-6.83603367783646,-17.810433407053747,-20.957947924765936,0.06727272727272728,0.10751793430610136,0.4158657011181892
20,lasso_f,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,lasso_f,long-short volatility,870,505,1.5469626895012265,1.8265313852743752,-4.676056415948148,-5.422480279928936,-15.06950299471797,-19.24840997605014,0.07128712871287128,0.0013269665807780653,0.004393971804526017
20,enet,always short,870,870,-0.15362225426731907,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.83905153454281,-19.294502474104473,0.06666666666666667,0.035505400568075565,0.1815422277308402
20,enet,long-short volatility,870,567,0.7644009269830823,1.121456627713776,-6.8688205640835145,-6.83603367783646,-19.50072337009882,-22.701499877065064,0.06878306878306878,0.0965254536519448,0.38560369003510225
25,a0,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,a0,long-short volatility,870,590,0.6999373382995318,0.9815764590443038,-5.436564787370249,-5.422480279928936,-17.64943920614749,-14.648585381769394,0.03728813559322034,0.05933875252761073,0.2974632398564376
25,blk2,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
25,blk2,long-short volatility,870,531,1.4169469857867292,1.6165916717659885,-5.436564787370249,-5.422480279928936,-13.958858453134033,-18.550323958405052,0.04331450094161959,-0.06418084486505181,-0.24090013964627385
25,lgbm,always short,870,870,-0.061970854871848904,0.267716199817292,-6.8688205640835145,-10.31604850795286,-25.71164475753768,-19.294502474104473,0.040229885057471264,-0.006695850103579718,-0.03770119959364051
