,pc1_share
2020-01-03,
2020-01-06,
2020-01-08,
2020-01-10,
2020-01-13,
2020-01-15,
2020-01-17,
2020-01-21,
2020-01-22,
2020-01-24,
2020-01-27,
2020-01-29,
2020-01-31,
2020-02-03,
2020-02-05,
2020-02-07,
2020-02-10,
2020-02-12,
2020-02-14,
2020-02-18,
2020-02-19,
2020-02-21,
2020-02-24,
2020-02-26,
2020-02-28,
2020-03-02,
2020-03-04,
2020-03-06,
2020-03-09,
2020-03-11,
2020-03-13,
2020-03-16,
2020-03-18,
2020-03-20,
2020-03-23,
2020-03-25,
2020-03-27,
2020-03-30,
2020-03-31,
2020-04-01,
2020-04-03,
2020-04-06,
2020-04-08,
2020-04-09,
2020-04-13,
2020-04-15,
2020-04-17,
2020-04-20,
2020-04-22,
2020-04-24,
2020-04-27,
2020-04-29,
2020-04-30,
2020-05-01,
2020-05-04,
2020-05-06,
2020-05-08,
2020-05-11,
2020-05-13,
2020-05-15,
2020-05-18,
2020-05-20,
2020-05-22,
2020-05-26,0.9244997009011776
2020-05-27,0.9245213400743986
2020-05-29,0.9245561826613872
2020-06-01,0.924553988157716
2020-06-03,0.9245753169190652
2020-06-05,0.9245943323933162
2020-06-08,0.9246310401591121
2020-06-10,0.9246480760449259
2020-06-12,0.9247026077173005
2020-06-15,0.9247778924704954
2020-06-17,0.9248051895629911
2020-06-19,0.924813384640778
2020-06-22,0.9248432449843093
2020-06-24,0.9248602550340438
2020-06-26,0.9249040718959506
2020-06-29,0.9249530712603558
2020-06-30,0.9249734944392543
2020-07-01,0.9250179043173232
2020-07-02,0.9250314694544775
2020-07-06,0.9250502038641396
2020-07-08,0.9250652765027496
2020-07-10,0.9250761407419081
2020-07-13,0.9250918932863065
2020-07-15,0.9250961468718255
2020-07-17,0.9251019139814528
2020-07-20,0.9251138558243521
2020-07-22,0.9251278749717466
2020-07-24,0.9251343446836633
2020-07-27,0.9251453253541663
2020-07-29,0.925153961572344
2020-07-31,0.9251594114113351
2020-08-03,0.9251573769760951
2020-08-05,0.9251521761953323
2020-08-07,0.9251543610369758
2020-08-10,0.925158826069035
2020-08-12,0.925165280978873
2020-08-14,0.9251786390062052
2020-08-17,0.925191504477508
2020-08-19,0.9251990624640274
2020-08-21,0.9252083630451994
2020-08-24,0.9252158565794798
2020-08-26,0.9252205321791994
2020-08-28,0.9252346332736224
2020-08-31,0.925245272687544
2020-09-02,0.925257260160192
2020-09-04,0.9252719705062099
2020-09-08,0.9252356648913537
2020-09-09,0.9252452172000184
2020-09-11,0.9252545489934777
2020-09-14,0.9252541269160455
2020-09-16,0.9252450289457964
2020-09-18,0.9252476588336661
2020-09-21,0.9252545330491897
2020-09-23,0.9252676663588001
2020-09-25,0.9252546599825824
2020-09-28,0.9252733002012766
2020-09-30,0.9252850561241319
2020-10-02,0.9252917279249947
2020-10-05,0.9253030906193422
2020-10-07,0.9253099988756226
2020-10-09,0.9253167114173362
2020-10-12,0.925325406947354
2020-10-14,0.9253301659047838
2020-10-16,0.9253318856651209
2020-10-19,0.9253302172810685
2020-10-21,0.9253400136590315
2020-10-23,0.9253483631911438
2020-10-26,0.9253575629966965
2020-10-28,0.9253762698225773
2020-10-30,0.9254135925063888
2020-11-02,0.9254382893924987
2020-11-04,0.9254593308171105
2020-11-06,0.9254310555196539
2020-11-09,0.9254234792972308
2020-11-11,0.925427889372183
2020-11-13,0.9254286669949225
2020-11-16,0.9254307265884775
2020-11-18,0.9254297567651358
2020-11-20,0.9254284022518491
2020-11-23,0.925436930248209
2020-11-25,0.9254418504956746
2020-11-27,0.9254454996836071
2020-11-30,0.925443433471439
2020-12-02,0.9254535463352052
2020-12-04,0.9254579613430983
2020-12-07,0.9254617486550213
2020-12-09,0.9254638504228913
2020-12-11,0.9254659225845107
2020-12-14,0.9254663340728844
2020-12-16,0.9254687709617688
2020-12-18,0.9254745524940419
2020-12-21,0.9255156902885014
2020-12-23,0.9255187778637466
2020-12-24,0.9255194465763686
2020-12-28,0.9255275934428208
2020-12-30,0.9255289993029145
2020-12-31,0.925528661263145
2021-01-04,0.9255370549350093
