,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy,mean_abs_q
PLS1 sign,866.0,-0.06598723025133413,1.1257721472996636,-10.31604850795286,-0.7442824082170589,0.09340925214981238,0.8190019510893136,3.5509045953691603,-1.8778890244401236,10.400953755251164,-1.7249175706069924,-0.9304856299905394,312.0,36.02771362586605,1.0
PLS2 rhat sign,866.0,-0.04028577085060302,1.126986005464799,-10.31604850795286,-0.7475528963272715,0.06057495901219129,0.8136417843912268,4.626674107142857,-1.589923611353308,10.568263129702473,-1.0519427406608624,-0.5674576109821611,377.0,43.533487297921475,1.0
PCovR a=0.25 sign,866.0,-0.07430220462418761,1.1252533385960146,-10.31604850795286,-0.7499596275086862,0.056057032073827895,0.8108017891442834,3.5509045953691603,-1.8191195030320149,10.380594054568013,-1.9431679367569006,-1.0482181135034765,352.0,40.646651270207855,1.0
PCovR a=0.5 sign,866.0,-0.06204850673554207,1.125996362341622,-10.31604850795286,-0.7442824082170589,0.08239656374914273,0.8231704407030302,3.5509045953691603,-1.861773395704378,10.422373881128916,-1.6216356851466265,-0.8747714834731605,332.0,38.33718244803695,1.0
PCovR a=0.75 sign,866.0,-0.0583580569567018,1.126193889207092,-10.31604850795286,-0.7419963137491118,0.1013212770728581,0.8231704407030302,3.5509045953691603,-1.8737679013335573,10.436866699382376,-1.5249183940213045,-0.8225985268651209,318.0,36.72055427251732,1.0
PCR k=1 sign,866.0,-0.06589344956313252,1.125777646693482,-10.31604850795286,-0.7792742092142333,-0.013081977051312421,0.7983853578698634,4.626674107142857,-1.5659777559873922,10.47473768751421,-1.7224577130546572,-0.9291586900003195,426.0,49.19168591224018,1.0
spectral PC1 sign,866.0,0.03267819607021647,1.1272325301630375,-6.83603367783646,-0.8447282754591969,-0.06941798551463862,0.694676502507972,10.31604850795286,1.3392152880705066,10.631202019542958,0.8531070027636747,0.46019811058945964,506.0,58.429561200923786,1.0
EW sign(s) q,866.0,0.09310849531831228,0.967741271416951,-5.42248033384579,-0.42857142857142855,0.08642035039954221,0.6870905976406897,10.31604850795286,1.155479613251547,16.387361449979515,2.831320226025888,1.5273209741214375,319.0,36.83602771362587,0.836357637743319
blk2 sign(s),866.0,0.09473635268767665,1.123715677502826,-5.42248033384579,-0.7170448976733201,0.12983195264847341,0.8695166287959981,10.31604850795286,0.9170372978566897,10.612223912618248,2.4809565970336562,1.3383216111351313,346.0,39.953810623556585,1.0
always short,866.0,0.014475039378387317,1.127613633781145,-10.31604850795286,-0.4486032431083699,0.3273560003007652,0.9281034350714721,1.0,-2.311620992396751,10.891894305940426,0.37776209796508636,0.2037791310734338,0.0,0.0,1.0
