forecast,scored days,first day,"correlation with S&P, 15:30→close","correlation with |S&P, 15:30→close|","correlation with S&P, close-to-close","correlation with |S&P, close-to-close|",trailing correlation (mean),mean risk share,last risk share,premium $ per $100 S&P (median),premium $ per $100 S&P (last),Sharpe S&P alone,Sharpe combination,dSharpe,ci_lo,ci_hi
baseline (HAR + calendar OLS),614,2021-08-11,0.0390806582413059,-0.22667579884039116,0.004761297689123675,-0.04037866174794627,0.027281339225052693,0.6343143640899818,0.6575516280653397,3.415454250098522,2.3138248537267114,0.4041207830748722,1.0034740695725257,0.5993532864976535,-0.6727397096029001,1.7659838190942365
block-diagonal ridge,614,2021-08-11,-0.04156035977449941,-0.14240151305515084,-0.011980089892196809,-0.034196558131590435,0.00910078819122454,0.7321984633554078,0.7182295657075628,4.315654731603063,3.077152053760108,0.4041207830748722,1.4427647814331483,1.038643998358276,-0.45985337730724396,2.5527194204559542
"block-diagonal ridge, without the FOMC columns",614,2021-08-11,-0.06403953067150703,-0.14025081067037576,-0.0094724776714588,-0.04438379464652092,0.007400249478514109,0.6754963496643103,0.7073851634895342,3.819286322916693,2.917292018034799,0.4041207830748722,1.4046448950147787,1.0005241119399066,-0.322545003446341,2.3046565260053424
LightGBM,614,2021-08-11,-0.06522480813839975,-0.08152554613373085,-0.00882761279971505,-0.021742497359374887,0.015340418080877926,0.806021919747478,0.7225726693362267,6.824505683819577,3.1441465839283165,0.4041207830748722,1.3682780745818988,0.9641572915070266,-0.7019010749314657,2.515228074080727
XGBoost,614,2021-08-11,-0.040822685366319875,-0.11067278778609274,-0.008045000053784524,-0.033709163625405006,0.012524667691159492,0.8111970175002746,0.741380132581198,7.1134739298638205,3.463945950017529,0.4041207830748722,1.480478524682159,1.076357741607287,-0.5121755281096725,2.5703602587580714
lasso (causally tuned),614,2021-08-11,-0.04528303710914718,-0.09081368391181946,-0.037087929847213257,-0.026432273320454766,0.0026635960025298677,0.6926260526622314,0.7072435723869812,4.277217998301426,2.915564757172598,0.4041207830748722,1.68157425643782,1.277453473362948,-0.13731620792230653,2.6624208342875053
lasso (fixed 1e-4),614,2021-08-11,-0.04537152795453118,-0.08421590833062928,-0.04397532080680463,-0.014006166431006323,0.027250908151664394,0.7571398079900498,0.7267878620834243,5.022256997765947,3.212200006041032,0.4041207830748722,1.5799497270027134,1.1758289439278413,-0.32812500786814086,2.6557012795095005
elastic net (causally tuned),614,2021-08-11,0.0029396281622837603,-0.14028426813812156,-0.030531301714365182,-0.018925870947958542,-0.006001909722106786,0.6590077769802932,0.6343765713408438,3.2201742525265193,2.090201618028177,0.4041207830748722,1.0764914351941948,0.6723706521193226,-0.7383082010954239,2.01835036245174
per-bar ridge (HAR + calendar),614,2021-08-11,0.08225075309890274,-0.12373026068593379,0.01983584929857524,0.012689801245508905,0.048487869214585505,0.7268475572020765,0.7019788346719108,4.524991404523348,2.8403797349462216,0.4041207830748722,1.3570007432417173,0.9528799601668451,-0.28547786085031485,2.064079747586384
per-bar ridge (all features),614,2021-08-11,-0.049878985741997194,-0.1602456069530725,-0.04190878030366623,-0.007408931550133049,-0.013047098560603152,0.8035621985883696,0.7459200641333402,5.664913724844068,3.550914730156942,0.4041207830748722,1.4312468700110634,1.0271260869361911,-0.41082104098151107,2.452260637853674
per-bar lasso (all features),614,2021-08-11,-0.053463257939977644,-0.2071895542843471,-0.017963141893925665,-0.027727292860672024,0.007814952781209715,0.7926330118992923,0.7164023542114872,5.869004530662727,3.049151565645514,0.4041207830748722,1.3376401601079306,0.9335193770330584,-0.5658877344571881,2.3808907658977123
per-bar elastic net (all features),614,2021-08-11,-0.053622697006644834,-0.19459074761229234,-0.023790747181879998,-0.03331630328012037,-0.005320698644524515,0.8055425776605571,0.7306089558551497,5.6822050674014335,3.276196723187527,0.4041207830748722,1.276177893231706,0.8720571101568338,-0.6553582018675085,2.3139096140855364
per-bar ridge (live-feasible set),614,2021-08-11,-0.10827407779869257,-0.17192606252426468,0.006635194076777503,0.02505248688960287,-0.0005183857217586061,0.7831101528478756,0.750372536321231,5.522087823787869,3.633629034194315,0.4041207830748722,1.490255959018136,1.0861351759432636,-0.4329957024940797,2.53675037215758
per-bar lasso (live-feasible set),614,2021-08-11,-0.06307314420461385,-0.15656962828603327,0.028739753708518584,0.005599734269865262,0.03672619389053097,0.7548628715011151,0.7527375829235016,5.123620757635354,3.677483099768313,0.4041207830748722,1.6298248495107528,1.2257040664358807,-0.30615124358913404,2.7415860561244085
per-bar elastic net (live-feasible set),614,2021-08-11,-0.0782815951210599,-0.17405286674520862,0.006591452323017489,0.0004500439579423561,0.020411521615557086,0.7701725496289561,0.7595639470856631,5.3803422265004155,3.8191340452103595,0.4041207830748722,1.7137837417958754,1.3096629587210034,-0.10888336124768189,2.7104817282273506
