,n,mean,std,min,25%,50%,75%,max,skew,ex_kurt,t_mean,Sharpe_ann,n_buy,pct_buy
"1530_deck | (a) ridge, deck MZ map | unit-median VRP mid",672.0,0.13508932437417065,1.3776955300668854,-10.652714021129912,-0.2771955000434795,0.0005745929504726468,0.5859946692342068,8.260566378261887,-0.38390404495283287,9.674474813042124,2.541864623309347,1.556567830584918,247.0,36.75595238095238
"1530_deck | (a) ridge, deck MZ map | unit-median VRP crossed",672.0,0.10771093153537256,1.3856411690202273,-10.903683030631143,-0.28681562129566474,0.0,0.5670316826590018,8.069370856069968,-0.5552235586251593,9.770596643218845,2.0150862525491884,1.2339832766106575,247.0,36.75595238095238
1530_deck | (b) p35 C2 combination | unit-median VRP mid,672.0,0.14581466320230338,1.4383071438896309,-10.652714021129912,-0.30519386677989774,0.0007134424505606845,0.6346897414118865,8.733936266558267,-0.20657630994653772,8.974490200891871,2.6280534759335565,1.6093475081962312,247.0,36.75595238095238
1530_deck | (b) p35 C2 combination | unit-median VRP crossed,672.0,0.116934021282178,1.4451598851160006,-10.903683030631143,-0.32688226005164883,0.0,0.6140965337372764,8.531784328203296,-0.37120161746810815,9.01582511768398,2.0975369675198894,1.2844738217621252,247.0,36.75595238095238
1530_deck | (c) (b) + causal recalibration | unit-median VRP mid,672.0,0.0886184764426942,1.228412132584455,-10.652714021129912,-0.15792542003421114,0.09737976093333207,0.5323964418913258,3.0,-1.8097563097035196,11.811310287566076,1.8700999499403161,1.1451976613395347,24.0,3.5714285714285716
1530_deck | (c) (b) + causal recalibration | unit-median VRP crossed,672.0,0.0636590679212583,1.2571337050129163,-10.903683030631143,-0.17789610720127358,0.08007085167881087,0.5162017647085222,3.0,-1.875887273663599,11.871521913714917,1.3126938229558334,0.8038575136862878,24.0,3.5714285714285716
"1530_unhedged | (a) ridge, deck MZ map | unit-median VRP mid",672.0,0.13508932636490353,1.3776955192345712,-10.65271378610748,-0.2771955000434793,0.0005745929504728222,0.5859946645457705,8.260566532907642,-0.38390396121643827,9.674474544605145,2.541864680753078,1.5565678657618756,247.0,36.75595238095238
"1530_unhedged | (a) ridge, deck MZ map | unit-median VRP crossed",672.0,0.10651336949222986,1.3754801710514697,-10.706865358453896,-0.2946579234242014,0.0,0.572607612793822,8.212614255610106,-0.4461412981008079,9.782825666358473,2.007402340275593,1.229277860536003,247.0,36.75595238095238
1530_unhedged | (b) p35 C2 combination | unit-median VRP mid,672.0,0.1458146651067492,1.4383071326854315,-10.65271378610748,-0.3051938667798972,0.0007134424505606845,0.6346897414118875,8.73393643006588,-0.20657623843289327,8.97448995413608,2.628053530729998,1.6093475417520617,247.0,36.75595238095238
1530_unhedged | (b) p35 C2 combination | unit-median VRP crossed,672.0,0.11569526777060897,1.4360352150887936,-10.706865358453896,-0.3344422863410921,0.0,0.617173418389541,8.683236258361537,-0.26093654147078404,9.063312465905973,2.0885031859272876,1.27894178292472,247.0,36.75595238095238
1530_unhedged | (c) (b) + causal recalibration | unit-median VRP mid,672.0,0.08861847771385631,1.2284121230938536,-10.65271378610748,-0.15792544555502558,0.09737976074860416,0.5323964291427797,3.0,-1.8097562253351511,11.811309651859949,1.8700999912136478,1.1451976866141855,24.0,3.5714285714285716
1530_unhedged | (c) (b) + causal recalibration | unit-median VRP crossed,672.0,0.06205340536665232,1.2267069612500656,-10.706865358453896,-0.17173197738345747,0.07706124143171456,0.5046693650638215,2.9613733663160025,-1.885784128012839,12.03795629604249,1.3113222386042538,0.8030175932361487,24.0,3.5714285714285716
"1530_dh | (a) ridge, deck MZ map | unit-median VRP mid",672.0,0.12673815608892777,1.357166925719756,-11.848364445491379,-0.2669840055708807,0.002356197294880477,0.5730015464289575,6.779349937862083,-0.864277499447678,11.748749852852768,2.4207991239429476,1.4824306558591884,247.0,36.75595238095238
"1530_dh | (a) ridge, deck MZ map | unit-median VRP crossed",672.0,0.0981621992162541,1.3551550181543401,-11.902516017837794,-0.2811553338918208,0.0,0.5365812546550368,6.731397660564547,-0.9294245735678609,11.907203783290145,1.877759373602658,1.1498880812636691,247.0,36.75595238095238
1530_dh | (b) p35 C2 combination | unit-median VRP mid,672.0,0.13719582521330836,1.4161158285952369,-11.848364445491379,-0.2940766801850307,0.0028672258440268932,0.614535525733893,7.212518745742252,-0.6401528370263312,10.53800366890279,2.5114628342048584,1.5379506129414926,247.0,36.75595238095238
1530_dh | (b) p35 C2 combination | unit-median VRP crossed,672.0,0.10707642787716813,1.4140422944020719,-11.902516017837794,-0.31287975563987,0.0,0.5805351455991703,7.172817212548096,-0.6972753005029688,10.666834604150704,1.9629810698897883,1.2020754989931464,247.0,36.75595238095238
