day_type,period,n,mid_mean,mid_t,ask_mean,ask_t,hit,pts_per_contract_at_ask,short_at_bid_mean,short_at_bid_t,other_days_mid_mean
month-end,deck period,52,0.4712437496435263,2.625628618998755,0.42959985682503926,2.4572719817834767,0.5384615384615384,2.870768881761111,-0.5159520639844587,-2.7961193003842273,-0.045503758087403916
month-end,holdout,18,0.4503297959627485,1.1938510185619677,0.43151864606641427,1.1577719023251682,0.4444444444444444,3.1032660007476807,-0.46967684931597503,-1.2300894269318539,-0.06831736669583124
month-end,all sessions,70,0.46586587583989775,2.850921964755667,0.43009325977282126,2.68897113411448,0.5142857142857142,2.9305538552148,-0.5040527230697057,-3.0156529047951808,-0.052957335755169664
quarter-end,deck period,17,0.11887669927279972,0.56419720917204,0.0912127555792119,0.44245458542565763,0.47058823529411764,0.7741182832156911,-0.14818369715555052,-0.6875563818378413,-0.017145215535124873
quarter-end,holdout,7,0.000851305782958984,0.0020487328830973124,-0.014498473663439815,-0.03554207219982976,0.2857142857142857,-1.3314034257616316,-0.016719012516871596,-0.03948518144952071,-0.046515720832523595
quarter-end,all sessions,24,0.08445262617159616,0.4505294312424696,0.06038031371677179,0.32889929077747193,0.4166666666666667,0.16000778476397196,-0.1098398308026025,-0.5734756455169427,-0.026646749519781344
third Friday,deck period,52,-0.27978450712604225,-2.8446619180507446,-0.3056830475574709,-3.213646892601534,0.3076923076923077,-2.1063382820441174,0.24965914680033027,2.4428760785525814,0.0024734769887847425
third Friday,holdout,20,-0.5598749348230342,-4.070096597949081,-0.5674886235558754,-4.210291237360747,0.15,-3.5985156297683716,0.5519716725466071,3.9299026650900157,-0.01954688249634398
third Friday,all sessions,72,-0.35758740370854003,-4.386109088949076,-0.3784068186681388,-4.791117427883662,0.2638888888888889,-2.520831989745299,0.3336348483965183,3.9475480706275956,-0.0046963666546747385
quarterly expiration,deck period,17,-0.323628755073146,-2.361496825365557,-0.35459676665255274,-2.70666242585223,0.29411764705882354,-3.1258846170762005,0.2835792059375971,1.9437110405343772,-0.008284682291448698
quarterly expiration,holdout,7,-0.34494389172092926,-0.9610746871626532,-0.35815068933631117,-1.0198536739903206,0.2857142857142857,-1.481473173413958,0.33116954460339454,0.9023590980912154,-0.04055373466866345
quarterly expiration,all sessions,24,-0.32984566992874936,-2.389181949576029,-0.35563332743531567,-2.6625251828576944,0.2916666666666667,-2.646264612674713,0.297459721381788,2.064637558916928,-0.018723913578420154
Russell reconstitution,deck period,4,-0.5837900902787398,-1.5014714614505869,-0.5911325029550842,-1.545429660074275,0.25,-3.3650146424770355,0.5761576665685028,1.4574245614571502,-0.011833206195555066
Russell reconstitution,holdout,2,1.1948578446556803,,1.1507404709448876,,0.5,6.3949220180511475,-1.2408285781075505,,-0.051749730430256026
Russell reconstitution,all sessions,6,0.009092554699400216,0.014632038396217847,-0.010508178321760283,-0.017257610125350376,0.3333333333333333,-0.11170242230097453,-0.029504414990181676,-0.04650374901732894,-0.0247206307520846
MSCI review close,deck period,17,0.7293165892221304,2.104272727867915,0.672653733547722,2.0015279108444517,0.5882352941176471,4.9264763383304375,-0.7908708479533219,-2.2090064709075117,-0.029368393543533135
MSCI review close,holdout,5,1.1661906007187468,1.0626708871665664,1.1409947174975614,1.0503845648468073,0.6,8.7458984375,-1.1920353844119294,-1.0750666774715947,-0.06056464833607256
MSCI review close,all sessions,22,0.8286061372895432,2.3487947262727227,0.7790948662635947,2.254603488504004,0.5909090909090909,5.794526815414429,-0.882044606239369,-2.4460399259165477,-0.039494146889082926
month-end ex MSCI,deck period,35,0.34589408470534705,1.669652015379068,0.3115451167025933,1.5377405588391342,0.5142857142857142,1.8722824028560094,-0.38242008319958226,-1.8031680667328838,-0.029653040994429076
month-end ex MSCI,holdout,13,0.17499871721044152,0.5480584444975807,0.1586432339775115,0.5045244091449794,0.38461538461538464,0.9330227558429425,-0.19184664350983877,-0.5915071144564965,-0.05288601710314902
