forecast,kind,draws,QLIKE,ES_at_slice,economic_loss,hit_vs_variance,hit_vs_payoff,buy_share,long_on_top10,long_on_top20,long_on_top50,mean_mid,Sharpe_mid,Sharpe_crossed
baseline (HAR + calendar OLS),forecast,1,0.10782001438443117,0.10180463039989256,0.3815985067375435,0.684757505773672,0.5519630484988453,0.3302540415704388,3.0,7.0,22.0,0.06858918296538287,0.9673095454705917,0.49093226316152744
block-diagonal ridge,forecast,1,0.10999130240054672,0.10872526434321124,0.36852492219678973,0.6593533487297921,0.5450346420323325,0.3995381062355658,5.0,11.0,31.0,0.0947363520468904,1.3383216004229939,0.8695877009703311
"block-diagonal ridge, without the FOMC columns",forecast,1,0.11045034134560293,0.11119305323605728,0.37090235782364056,0.6466512702078522,0.5415704387990762,0.40993071593533487,6.0,12.0,31.0,0.08998148079318882,1.2707081191811798,0.8046134630083878
LightGBM,forecast,1,0.10124243899698605,0.09357525252923637,0.3642740854540949,0.687066974595843,0.5473441108545035,0.3348729792147806,7.0,12.0,27.0,0.10323802553228009,1.4593971219265764,0.9818045863151208
XGBoost,forecast,1,0.10260004169123635,0.09697738207871874,0.3629194734568741,0.6882217090069284,0.5531177829099307,0.32217090069284066,6.0,11.0,25.0,0.10594724952672167,1.4980323951467007,1.0215326073475821
lasso (causally tuned),forecast,1,0.10408064627610193,0.106014280061194,0.3658983877908809,0.6628175519630485,0.5508083140877598,0.37066974595842955,5.0,11.0,29.0,0.09998942085870799,1.4131037944414562,0.9346206653459997
lasso (fixed 1e-4),forecast,1,0.11128413528262304,0.10657363014730642,0.36250602016632527,0.6570438799076213,0.5404157043879908,0.4133949191685912,8.0,14.0,34.0,0.1067741561078193,1.509829846463058,1.0444324874859765
elastic net (causally tuned),forecast,1,0.10449168641034369,0.109432393979319,0.37965056033465383,0.6651270207852193,0.546189376443418,0.35450346420323325,6.0,9.0,24.0,0.07248507577116219,1.0224751588133707,0.5449047373133905
"ridge blended toward realized, lambda 0.1",ladder,1,0.08925871914837204,0.08627851797929233,0.33033852527434343,0.7055427251732102,0.5750577367205543,0.3741339491916859,9.0,15.0,35.0,0.17110914589178292,2.436918521213993,1.9763865867490094
"ridge blended toward realized, lambda 0.2",ladder,1,0.07074842847757992,0.06266942684186688,0.31709017881271917,0.75635103926097,0.5866050808314087,0.3371824480369515,9.0,15.0,35.0,0.1976058388150315,2.8254253702966894,2.3621396020090697
"ridge blended toward realized, lambda 0.25",ladder,1,0.062309064229801196,0.05426835761559386,0.30804385681927826,0.7771362586605081,0.5958429561200924,0.3279445727482679,10.0,16.0,35.0,0.21569848280191342,3.0935278495537712,2.631964814534236
"ridge blended toward realized, lambda 0.3",ladder,1,0.05440660549109655,0.04493027913903231,0.30573110945091186,0.7967667436489607,0.5993071593533488,0.312933025404157,10.0,16.0,35.0,0.22032397753864608,3.1624733731798247,2.698616844183137
"ridge blended toward realized, lambda 0.4",ladder,1,0.04019847759668624,0.02726937284194204,0.2912925160459552,0.8521939953810623,0.6131639722863741,0.28290993071593534,10.0,17.0,37.0,0.24920116434855946,3.5969844183499746,3.126705775172522
"ridge blended toward realized, lambda 0.5",ladder,1,0.02810725046261365,0.018621554792525127,0.27663869597279434,0.8810623556581986,0.6212471131639723,0.27713625866050806,10.0,18.0,40.0,0.27850880449488113,4.045993054959154,3.5782404773942087
"ridge blended toward realized, lambda 0.6",ladder,1,0.01813333321877726,0.011705486080198162,0.27501770996978364,0.9087759815242494,0.6212471131639723,0.26558891454965355,10.0,18.0,40.0,0.28175077650090274,4.0962105495325005,3.6238583248861973
"ridge blended toward realized, lambda 0.7",ladder,1,0.010293837199737463,0.003965660824507307,0.2693405121459569,0.9480369515011547,0.625866050808314,0.25635103926096997,10.0,18.0,40.0,0.2931051721485561,4.273011745268712,3.8010384499119865
"ridge blended toward realized, lambda 0.75",ladder,1,0.007184345628642979,0.0020961425634353666,0.265188017147894,0.9618937644341802,0.628175519630485,0.2586605080831409,10.0,18.0,41.0,0.30141016214468197,4.4032734744196835,3.9412242713464494
"ridge blended toward realized, lambda 0.8",ladder,1,0.004622328656957442,0.0009951469724573355,0.26468502541255473,0.9734411085450346,0.6304849884526559,0.2632794457274827,10.0,18.0,41.0,0.3024161456153604,4.419107946708101,3.9589602944351774
"ridge blended toward realized, lambda 0.9",ladder,1,0.001168821360015219,0.000252146348410985,0.2639830093796667,0.9872979214780601,0.628175519630485,0.26558891454965355,10.0,18.0,41.0,0.30382017768113645,4.441228335925881,3.9810053964970598
"ridge blended toward realized, lambda 1",ladder,1,0.0,0.0,0.2611449452193085,1.0,0.6293302540415704,0.27136258660508084,10.0,18.0,41.0,0.30949630600185296,4.530901886580046,4.071734092423975
"ridge with noise, mu 0.25",ladder,200,0.11645174514379536,0.11519551275959361,0.3749357094277117,0.641391454965358,0.5393937644341802,0.4049133949191686,6.28,11.865,29.435,0.08191477758504657,1.1567886087908825,0.6872567419597516
"ridge with noise, mu 0.5",ladder,200,0.13566180567401084,0.1241742665322807,0.38687784327867636,0.6198556581986143,0.5312990762124711,0.4156293302540416,5.74,10.87,27.735,0.05803050988311703,0.81896463094264,0.34859771115488347
"ridge with noise, mu 1",ladder,200,0.21562146391155046,0.13814368561345144,0.39556469771328734,0.585,0.5229676674364896,0.4391339491916859,5.54,10.715,26.9,0.040656801013895294,0.5736179513753082,0.10405056002524272
