cell,a0,blk2,blk2_inc,lgbm,xgb,lasso_t,lasso_f,enet
flat125|p0|FLAT,335,392,400,328,323,366,399,361
flat125|p0|PER-ROW,335,392,400,328,323,366,399,361
flat125|p1|FLAT,300,363,374,305,293,337,375,332
flat125|p1|PER-ROW,292,364,369,287,287,344,371,327
flat125|p2|FLAT,290,339,353,286,280,321,356,309
flat125|p2|PER-ROW,284,358,368,287,284,334,368,325
flat250|p0|FLAT,339,398,406,338,330,377,403,365
flat250|p0|PER-ROW,339,398,406,338,330,377,403,365
flat250|p1|FLAT,307,373,380,306,298,339,379,328
flat250|p1|PER-ROW,288,370,381,297,292,343,372,326
flat250|p2|FLAT,286,346,355,290,279,321,358,307
flat250|p2|PER-ROW,279,362,375,290,280,336,362,327
flat500|p0|FLAT,318,402,404,328,327,375,407,358
flat500|p0|PER-ROW,318,402,404,328,327,375,407,358
flat500|p1|FLAT,292,371,386,295,289,336,378,328
flat500|p1|PER-ROW,275,362,371,280,275,330,371,325
flat500|p2|FLAT,266,340,359,268,272,315,357,299
flat500|p2|PER-ROW,263,348,366,277,260,324,363,323
ewma125|p0|FLAT,330,400,410,330,326,371,407,365
ewma125|p0|PER-ROW,330,400,410,330,326,371,407,365
ewma125|p1|FLAT,298,365,382,294,287,340,380,328
ewma125|p1|PER-ROW,283,365,375,290,280,340,370,330
ewma125|p2|FLAT,272,343,355,280,274,318,356,299
ewma125|p2|PER-ROW,273,354,366,280,267,331,367,332
ewma250|p0|FLAT,317,408,406,335,325,372,412,366
ewma250|p0|PER-ROW,317,408,406,335,325,372,412,366
ewma250|p1|FLAT,291,371,383,294,287,336,383,330
ewma250|p1|PER-ROW,274,364,371,280,271,327,372,330
ewma250|p2|FLAT,270,344,353,271,268,316,355,295
ewma250|p2|PER-ROW,264,351,367,274,261,323,367,326
ewma500|p0|FLAT,315,402,406,327,317,368,416,362
ewma500|p0|PER-ROW,315,402,406,327,317,368,416,362
ewma500|p1|FLAT,279,367,379,287,278,331,377,324
ewma500|p1|PER-ROW,271,362,367,271,263,320,372,323
ewma500|p2|FLAT,254,341,355,260,260,308,350,292
ewma500|p2|PER-ROW,252,344,365,265,251,315,362,311
