,a0,blk2,blk2_inc,lgbm,xgb,lasso_t,lasso_f,enet
flat125|p0|FLAT,0.11055813709791995,0.11396731546739367,0.11426968981284577,0.10418631446929023,0.10492548401186494,0.10689814205411695,0.11504585978388475,0.10710248554362743
flat125|p0|PER-ROW,0.11055813709791995,0.11396731546739367,0.11426968981284577,0.10418631446929023,0.10492548401186494,0.10689814205411695,0.11504585978388475,0.10710248554362743
flat125|p1|FLAT,0.10788731297648645,0.11128542530689267,0.1116311649303432,0.10170844960240981,0.10280996814722994,0.10466556245725733,0.11248902099443127,0.10514469826254953
flat125|p1|PER-ROW,0.10635262281835677,0.10984229965001899,0.10990327173633355,0.10099039532312999,0.10235964536958966,0.10386840433268033,0.11110669384750546,0.10447796347528009
flat125|p2|FLAT,0.10685850202273199,0.1100881241642992,0.11045808698812697,0.10078701360661665,0.10212245404236532,0.1038075278257681,0.11133448952334589,0.10436396194662566
flat125|p2|PER-ROW,0.10549717462695182,0.1090162438798391,0.10902674714212351,0.10205896038182856,0.10365205618162021,0.10427107179049047,0.1103981959045971,0.10485315322424091
flat250|p0|FLAT,0.11154220352006174,0.11509653333144212,0.11536240809998564,0.10522014270636453,0.1057371519105916,0.10801867604913386,0.1163299889820586,0.10814388728662133
flat250|p0|PER-ROW,0.11154220352006174,0.11509653333144212,0.11536240809998564,0.10522014270636453,0.1057371519105916,0.10801867604913386,0.1163299889820586,0.10814388728662133
flat250|p1|FLAT,0.10881643169143626,0.11161306301623213,0.11202845851495918,0.10227018269463914,0.10331135189355439,0.10524884832838217,0.11289733165865488,0.10556776783998223
flat250|p1|PER-ROW,0.10768605969407098,0.11006720744294621,0.11018752522353263,0.10157244562428108,0.1029936776361387,0.1044424542712059,0.1114153583582266,0.10488939750927162
flat250|p2|FLAT,0.10782001438443117,0.10999130240054672,0.11045034134560293,0.10124243899698605,0.10260004169123635,0.10408064627610193,0.11128413528262304,0.10449168641034369
flat250|p2|PER-ROW,0.10721864753266294,0.1089915954227628,0.1091078297949367,0.1027179781366504,0.10452725231645582,0.1047501778782082,0.11042895726424327,0.10529085772019856
flat500|p0|FLAT,0.11166025918075075,0.1132957853061796,0.11326597215170081,0.1034365573444806,0.1041007931520277,0.10636501598430269,0.11469667346744669,0.10669575672992881
flat500|p0|PER-ROW,0.11166025918075075,0.1132957853061796,0.11326597215170081,0.1034365573444806,0.1041007931520277,0.10636501598430269,0.11469667346744669,0.10669575672992881
flat500|p1|FLAT,0.10965954532643894,0.1098317668530602,0.10987866221157519,0.101031324094098,0.10241541520615556,0.10377229307202968,0.11119130877233399,0.10430771693777706
flat500|p1|PER-ROW,0.1096763665222831,0.10847620255430543,0.10828244113167623,0.10095512927461231,0.10285660583461341,0.10353941487191706,0.10990580949113267,0.10422771746589408
flat500|p2|FLAT,0.10925468583454434,0.10825304323836998,0.10827013050222303,0.1005338046573191,0.10236888726311062,0.10273542986329721,0.10954154817083467,0.10339991295982023
flat500|p2|PER-ROW,0.11042072922751901,0.10755066630974183,0.10734058949993387,0.10287775219771852,0.10542741972022276,0.10414622974590701,0.1089982002956593,0.10498157668993327
ewma125|p0|FLAT,0.11119953137947296,0.11394023941880645,0.11403635505231288,0.10392806245870877,0.10448515042470322,0.10667738671809168,0.11522625051803942,0.10693362828353657
ewma125|p0|PER-ROW,0.11119953137947296,0.11394023941880645,0.11403635505231288,0.10392806245870877,0.10448515042470322,0.10667738671809168,0.11522625051803942,0.10693362828353657
ewma125|p1|FLAT,0.10855192092891648,0.1106288570253315,0.11082110906356786,0.10123321707598483,0.10237073410174224,0.10409796243815128,0.11194534283637766,0.1045374884468121
ewma125|p1|PER-ROW,0.10779434243739665,0.10920791376063702,0.10914752288532163,0.10079130008984305,0.10233740979267357,0.10352716649972989,0.11057546718608377,0.10410888166564601
ewma125|p2|FLAT,0.10771609853077288,0.109115424504201,0.10931630204982667,0.1004238650760561,0.10190794448606774,0.10306826653438357,0.11041207091215965,0.10359579963819018
