model,map,year,share_realized_above,median_realized_over_forecast
baseline (HAR + calendar OLS),mean,2020,0.35625,0.7952874088319638
baseline (HAR + calendar OLS),mean,2021,0.46835443037974683,0.9586264716768929
baseline (HAR + calendar OLS),mean,2022,0.41363636363636364,0.9126082259810538
baseline (HAR + calendar OLS),mean,2023,0.424,0.9364067756248118
baseline (HAR + calendar OLS),mean,2024,0.42168674698795183,0.8920224094108137
baseline (HAR + calendar OLS),median,2020,0.56875,1.056954965956589
baseline (HAR + calendar OLS),median,2021,0.6835443037974683,1.2003390196361283
baseline (HAR + calendar OLS),median,2022,0.6318181818181818,1.0973648444222577
baseline (HAR + calendar OLS),median,2023,0.636,1.1620924759708826
baseline (HAR + calendar OLS),median,2024,0.5301204819277109,1.0438172684557596
block-diag ridge,mean,2020,0.325,0.760821565101804
block-diag ridge,mean,2021,0.4240506329113924,0.9177353695803095
block-diag ridge,mean,2022,0.35454545454545455,0.8785353852811799
block-diag ridge,mean,2023,0.352,0.8485885001885634
block-diag ridge,mean,2024,0.3253012048192771,0.8183745020528365
block-diag ridge,median,2020,0.54375,1.052602559956597
block-diag ridge,median,2021,0.5822784810126582,1.1301859875422935
block-diag ridge,median,2022,0.55,1.037448097993972
block-diag ridge,median,2023,0.52,1.0232245288511252
block-diag ridge,median,2024,0.4939759036144578,0.9837993692102033
LightGBM,mean,2020,0.36875,0.7865490704017662
LightGBM,mean,2021,0.43037974683544306,0.9565184834653941
LightGBM,mean,2022,0.43636363636363634,0.9243554983283779
LightGBM,mean,2023,0.396,0.9194594704987269
LightGBM,mean,2024,0.40963855421686746,0.8540315908048526
LightGBM,median,2020,0.5625,1.087976628906017
LightGBM,median,2021,0.6772151898734177,1.1900111631197614
LightGBM,median,2022,0.5909090909090909,1.0995769889494476
LightGBM,median,2023,0.592,1.1196647055912172
LightGBM,median,2024,0.5421686746987951,1.0509397038721158
XGBoost,mean,2020,0.3625,0.8186547202805109
XGBoost,mean,2021,0.43670886075949367,0.9675746491779623
XGBoost,mean,2022,0.42272727272727273,0.9406039348062735
XGBoost,mean,2023,0.408,0.9351870675758975
XGBoost,mean,2024,0.40963855421686746,0.8441372176842828
XGBoost,median,2020,0.6,1.1048843885940327
XGBoost,median,2021,0.6772151898734177,1.1904609548325853
XGBoost,median,2022,0.6363636363636364,1.1097657556692786
XGBoost,median,2023,0.624,1.1341010600968384
XGBoost,median,2024,0.4939759036144578,0.9953679725014206
lasso (causally tuned),mean,2020,0.34375,0.8067922972837157
lasso (causally tuned),mean,2021,0.44936708860759494,0.9255631993806055
lasso (causally tuned),mean,2022,0.32727272727272727,0.8790562200340711
lasso (causally tuned),mean,2023,0.384,0.8692888142941673
lasso (causally tuned),mean,2024,0.3493975903614458,0.8409955979467938
lasso (causally tuned),median,2020,0.58125,1.0849711633477712
lasso (causally tuned),median,2021,0.6139240506329114,1.1591487079495106
lasso (causally tuned),median,2022,0.5590909090909091,1.0516071354264973
lasso (causally tuned),median,2023,0.556,1.0713368027701704
lasso (causally tuned),median,2024,0.4819277108433735,0.9775842627215432
lasso (fixed 1e-4),mean,2020,0.30625,0.7630107015286166
lasso (fixed 1e-4),mean,2021,0.3987341772151899,0.9224399244197465
lasso (fixed 1e-4),mean,2022,0.34545454545454546,0.8651096983314315
lasso (fixed 1e-4),mean,2023,0.332,0.8150855537492039
lasso (fixed 1e-4),mean,2024,0.3132530120481928,0.8411680377128823
lasso (fixed 1e-4),median,2020,0.5625,1.0594774330443353
lasso (fixed 1e-4),median,2021,0.6012658227848101,1.1255946624985067
lasso (fixed 1e-4),median,2022,0.55,1.0300334130301585
lasso (fixed 1e-4),median,2023,0.504,1.0088684493658775
lasso (fixed 1e-4),median,2024,0.46987951807228917,0.9877810746194212
elastic net (causally tuned),mean,2020,0.35,0.8034795620821233
elastic net (causally tuned),mean,2021,0.4430379746835443,0.9466910375181254
elastic net (causally tuned),mean,2022,0.33636363636363636,0.879560327877783
elastic net (causally tuned),mean,2023,0.376,0.8660705556578525
elastic net (causally tuned),mean,2024,0.3493975903614458,0.8603375523790803
elastic net (causally tuned),median,2020,0.58125,1.0725150614014567
elastic net (causally tuned),median,2021,0.6139240506329114,1.1734416513593957
elastic net (causally tuned),median,2022,0.5818181818181818,1.0618177109395683
elastic net (causally tuned),median,2023,0.552,1.086018667037582
elastic net (causally tuned),median,2024,0.5421686746987951,1.0311778937514813
