flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.09473635268767665,1.3383216111351313,17.838433362101622,-5.42248033384579,-17.702163883416574,10.612223912618248,263.0,117.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.06752543515989555,1.1387362814270767,14.943240096792673,-5.42248033384579,-17.702163883416574,21.873430415397443,263.0,117.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.07525243226277267,1.1234857514058483,16.87926429550978,-5.42248033384579,-17.702163883416574,13.467868123256162,263.0,117.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,263.0,117.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,0.0027181160563604836,0.045720373295076146,14.98161972086543,-10.31604850795286,-25.164864988711734,22.097997041004216,263.0,117.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.09473635268767665,1.3383216111351313,17.838433362101622,-5.42248033384579,-17.702163883416574,10.612223912618248,240.0,193.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.054528199734550704,0.8441489726927287,16.278058467896233,-5.42248033384579,-17.985312756298967,16.162219043342798,240.0,193.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.06328753198087679,0.9511091566479913,16.768273071188116,-5.42248033384579,-17.702163883416574,14.204894716605375,240.0,193.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,240.0,193.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,-0.008214449082086435,-0.12699201554807435,16.30056157272457,-10.31604850795286,-20.696260788349644,16.273050626226503,240.0,193.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.09473635268767665,1.3383216111351313,17.838433362101622,-5.42248033384579,-17.702163883416574,10.612223912618248,156.0,116.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.08110741272634468,1.2037174737047842,16.979954560376857,-5.42248033384579,-17.702163883416574,13.40268683018276,156.0,116.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.0812305906444552,1.1817999645708466,17.32112832634594,-5.42248033384579,-17.702163883416574,12.284602901853903,156.0,116.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,156.0,116.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,0.001092455253276399,0.01616670446312182,17.028747228827108,-10.31604850795286,-19.884248171179635,13.587059554863481,156.0,116.0
