flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.07697131321426338,1.0860459280634447,17.859991395190107,-6.83603367783646,-21.803623131500814,10.74689713255129,284.0,143.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.0400571708546444,0.6731880680557615,14.99492866016492,-6.83603367783646,-22.803623131500814,22.430039681971923,284.0,143.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.04627117492318822,0.6957837532661658,16.758563312102627,-6.83603367783646,-22.803623131500814,14.409814672662892,284.0,143.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,284.0,143.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,-0.010011094844144005,-0.1681014596382446,15.007578792910913,-10.31604850795286,-25.991087678083183,22.324562258188116,284.0,143.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.07697131321426338,1.0860459280634447,17.859991395190107,-6.83603367783646,-21.803623131500814,10.74689713255129,208.0,173.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.04773037319738697,0.7253167759768888,16.58317364787489,-6.83603367783646,-20.080638204171297,15.087705181219102,208.0,173.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.056162117750913516,0.8377244677737973,16.894401700884504,-6.83603367783646,-20.080638204171297,13.867656024052701,208.0,173.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,208.0,173.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,0.0020975884685639954,0.031842024995174426,16.600460999519775,-10.31604850795286,-18.962565000615747,15.177291870171159,208.0,173.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.07697131321426338,1.0860459280634447,17.859991395190107,-6.83603367783646,-21.803623131500814,10.74689713255129,155.0,118.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.05581813151956766,0.8334583263135362,16.876871582946475,-6.83603367783646,-21.803623131500814,13.864361180009956,155.0,118.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.06028298840691364,0.8756093028287629,17.349419460785587,-6.83603367783646,-21.803623131500814,12.396490658717605,155.0,118.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,155.0,118.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,0.0022515714583835394,0.03357351840627022,16.90010563226178,-10.31604850795286,-19.974347923453998,13.917910536578985,155.0,118.0
