flag,rule,n,mean,Sharpe_ann,vol_ann,worst_day,maxDD_pts,ex_kurt,flagged_days,flagged_sell_days
top tercile of rank(s_{t-1}) [primary],reference sign(s),866.0,0.0956786061018788,1.3517287840284524,17.83716454259211,-6.83603367783646,-18.63305626138611,10.766153952948374,279.0,126.0
top tercile of rank(s_{t-1}) [primary],A: flat on flagged days,866.0,0.0491517231909786,0.8343617396662849,14.845160864016444,-6.83603367783646,-19.63305626138611,23.218301342583647,279.0,126.0
top tercile of rank(s_{t-1}) [primary],B: flat on flagged days only when selling,866.0,0.06918434127593885,1.025064420096738,17.008154472761092,-6.83603367783646,-19.63305626138611,13.506203828671252,279.0,126.0
top tercile of rank(s_{t-1}) [primary],reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,279.0,126.0
top tercile of rank(s_{t-1}) [primary],A on always-short,866.0,0.00801339263740764,0.13584643106844338,14.86513063864965,-10.31604850795286,-22.954309700604483,23.316487418275226,279.0,126.0
bottom tercile of rank(s_{t-1}),reference sign(s),866.0,0.0956786061018788,1.3517287840284524,17.83716454259211,-6.83603367783646,-18.63305626138611,10.766153952948374,211.0,173.0
bottom tercile of rank(s_{t-1}),A: flat on flagged days,866.0,0.05559756579358662,0.8417837458841032,16.64392624410784,-6.83603367783646,-19.38399578578621,14.827703507279304,211.0,173.0
bottom tercile of rank(s_{t-1}),B: flat on flagged days only when selling,866.0,0.0650373513161476,0.9660393437925129,16.965574577249658,-6.83603367783646,-17.989257406149576,13.589704424672169,211.0,173.0
bottom tercile of rank(s_{t-1}),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,211.0,173.0
bottom tercile of rank(s_{t-1}),A on always-short,866.0,-0.0067264298847829135,-0.1017016165853464,16.66699495914921,-10.31604850795286,-21.205330673872893,14.833107329070343,211.0,173.0
top tercile of rank(|s_{t-1}|),reference sign(s),866.0,0.0956786061018788,1.3517287840284524,17.83716454259211,-6.83603367783646,-18.63305626138611,10.766153952948374,163.0,121.0
top tercile of rank(|s_{t-1}|),A: flat on flagged days,866.0,0.06605732508796232,0.9926905144071939,16.76901882366357,-6.83603367783646,-18.920806908007084,14.153967020685732,163.0,121.0
top tercile of rank(|s_{t-1}|),B: flat on flagged days only when selling,866.0,0.07492496175336306,1.09214227018484,17.28812342246579,-6.83603367783646,-18.920806908007084,12.488903022197514,163.0,121.0
top tercile of rank(|s_{t-1}|),reference always-short,866.0,0.014475039378387317,0.2037791310734338,17.90031149970463,-10.31604850795286,-19.29450266378352,10.891894305940426,163.0,121.0
top tercile of rank(|s_{t-1}|),A on always-short,866.0,0.002589031695272294,0.03883140373121798,16.80176157742402,-10.31604850795286,-21.17142307863257,14.21463340814279,163.0,121.0
