model,mean_R|s<=0,mean_R|s>0,diff,t_diff,n_sell,n_buy
baseline (HAR + calendar OLS),-0.06201173826050942,0.0819280568423989,0.14393979510290872,1.634712315115936,580,286
block-diagonal ridge,-0.09093948539113125,0.10044262563358049,0.19138211102471103,2.3168498896302694,520,346
"block-diagonal ridge, without the FOMC columns",-0.08851208052942361,0.09209658934187623,0.1806086698713001,2.2054520403801767,511,355
LightGBM,-0.08848916149750344,0.1325323209944572,0.22102148249196002,2.4342951970349143,576,290
XGBoost,-0.08882938843638022,0.1419622475913469,0.23079163602772668,2.5015783469098296,587,279
lasso (causally tuned),-0.09094148843835828,0.11535117527955098,0.20629266371790939,2.4442738066837304,545,321
lasso (fixed 1e-4),-0.10334823142080801,0.11163552409944431,0.21498375552025173,2.6081570027310987,508,358
elastic net (causally tuned),-0.06735908725581025,0.08181871609716135,0.1491778033529713,1.7429986966561366,559,307
per-bar ridge (HAR + calendar),-0.08271736248516676,0.09801001359429809,0.1807273760794651,2.145192615818079,539,327
per-bar ridge (all features),-0.11001849107934178,0.1518189435426221,0.2618374346219634,2.991140069854974,550,316
per-bar lasso (all features),-0.0940130347120641,0.11471394748938472,0.20872698220144945,2.4730816090706256,536,330
per-bar elastic net (all features),-0.10291977185385356,0.12503599746539582,0.2279557693192491,2.722628786487882,530,336
