estimator,column set,16:00 QLIKE vs live-feasible (%),13-bar mean QLIKE vs live-feasible (%),Sharpe mid (research scorer),Sharpe crossed (research scorer),Sharpe mid (this notebook),Sharpe crossed (this notebook),n days
ridge,HAR + calendar + VIX only,-5.920450481112038,3.3059625161415678,1.4785684046083984,1.0045646873703833,1.3814462757360206,0.9088169912178206,866
lasso,HAR + calendar + VIX only,-1.7335187926747264,3.108238699289385,1.4198244363844301,0.9428413063617105,1.2380244298839023,0.7620969084769581,866
enet,HAR + calendar + VIX only,-0.5967059240774231,3.3419045066464843,1.335776647618652,0.8616162926911823,1.3953881406619537,0.9215421565353105,866
ridge,live-feasible minus VVIX and VIX3M,-0.038524146749219224,-0.4448523332678961,1.8605095388013078,1.3939874642438448,1.8499972394781514,1.3835318412750535,866
lasso,live-feasible minus VVIX and VIX3M,0.09757276982720331,-0.10289075664091324,1.8500544358025477,1.3841413468604933,1.9590550882972795,1.4878823917864592,866
enet,live-feasible minus VVIX and VIX3M,0.13985154579463366,-0.5057966774689103,1.8980827967846245,1.4332680348235312,2.052772376096345,1.5824935100698398,866
ridge,live-feasible (16 columns),0.0,0.0,1.9024666283565088,1.439631199377035,1.6833709583179248,1.2174471901751336,866
lasso,live-feasible (16 columns),0.0,0.0,1.8262315571390573,1.3631530115787844,1.5761911666801667,1.1074734432518,866
enet,live-feasible (16 columns),0.0,0.0,1.4107677128902967,0.9427859527964674,1.699033465775391,1.2309242597779966,866
ridge,free feed (ES 1-min bars + VIX + FOMC calendar),-0.43079401907161197,-0.008474277015274128,1.8278870075384133,1.3612316475864659,1.8878699419690343,1.4209344249346234,866
lasso,free feed (ES 1-min bars + VIX + FOMC calendar),-0.6315305544656091,0.7625515376990203,1.9118510088393235,1.445977153060977,1.932021507506162,1.4616890130504951,866
enet,free feed (ES 1-min bars + VIX + FOMC calendar),0.11140634284318995,0.17883434588567346,1.8138617416336609,1.3490276824123086,1.907370254397938,1.4378020744366238,866
