rule,model,mean_ell,median_ell,min_ell,max_ell,pct_at_cap
always short,a0,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,a0,0.979057708820724,0.9132699394844705,0.6355873104553627,1.5805676000989912,0.0
always short,blk2,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,blk2,0.962311158906999,0.905065793749501,0.6056266170821027,1.5451148859252233,0.0
always short,lgbm,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,lgbm,0.9721562888767825,0.907191932280976,0.6308841901640915,1.5649574870225653,0.0
always short,xgb,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,xgb,0.9738663998845817,0.9103320668595025,0.6318223780711718,1.5587979245492651,0.0
always short,lasso_t,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,lasso_t,0.9671577920401152,0.9091484551949186,0.6189264887086188,1.5568083162120354,0.0
always short,lasso_f,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,lasso_f,0.955965804396293,0.899977506628623,0.5963632782755858,1.5194799533279484,0.0
always short,enet,0.9805318668382961,0.9159723248314844,0.6323205027465734,1.5933657899969607,0.0
long-short volatility,enet,0.9724931627002413,0.9123468483965302,0.6351013514820687,1.5660584996258342,0.0
