rule,year,n,mean,Sharpe_ann
always short,2020,158,-0.03019963186771363,-0.4299421424810842
always short,2021,158,-0.04054323171119041,-0.48290529229486256
always short,2022,219,0.10177278321651931,1.9368769377962767
always short,2023,248,0.06351548491355274,0.8824311413253443
always short,2024,83,-0.1726183542571395,-2.055968434357834
sign(s),2020,158,0.09538185518291253,1.3624408651540862
sign(s),2021,158,0.07949918903258495,0.948161638379151
sign(s),2022,219,0.005614988230363295,0.10607316758006212
sign(s),2023,248,0.15564116289159766,2.179334052534108
sign(s),2024,83,0.17568415743364704,2.093120513609721
"sign(s), threshold c = 0.5 x past sd(s)",2020,158,-0.0617097464093253,-0.879572717543499
"sign(s), threshold c = 0.5 x past sd(s)",2021,158,-0.04415595940152343,-0.525981628825108
"sign(s), threshold c = 0.5 x past sd(s)",2022,219,0.09447062473740074,1.7960496426075003
"sign(s), threshold c = 0.5 x past sd(s)",2023,248,0.06351548491355274,0.8824311413253443
"sign(s), threshold c = 0.5 x past sd(s)",2024,83,-0.1726183542571395,-2.055968434357834
"sign(s), threshold c = 0.05 x implied variance",2020,158,0.02418484500083209,0.3442660441538384
"sign(s), threshold c = 0.05 x implied variance",2021,158,0.1015147328898171,1.21210681415522
"sign(s), threshold c = 0.05 x implied variance",2022,219,0.019743300480392977,0.3730672709176207
"sign(s), threshold c = 0.05 x implied variance",2023,248,0.1937017211339855,2.7264658854106663
"sign(s), threshold c = 0.05 x implied variance",2024,83,0.20257055429282042,2.420475600229494
"sign(s), threshold c = 0.1 x implied variance",2020,158,0.04295775472703085,0.6118064511991943
"sign(s), threshold c = 0.1 x implied variance",2021,158,0.11099853662906004,1.3261064493996542
"sign(s), threshold c = 0.1 x implied variance",2022,219,0.0737755146996374,1.3990946495091812
"sign(s), threshold c = 0.1 x implied variance",2023,248,0.16207665265103519,2.271260325691283
"sign(s), threshold c = 0.1 x implied variance",2024,83,0.13627260929802706,1.617906276067114
"sign(s), threshold c = 0.2 x implied variance",2020,158,-0.08703096472901042,-1.2423853837731664
"sign(s), threshold c = 0.2 x implied variance",2021,158,-0.025556542940221104,-0.30431535733556897
"sign(s), threshold c = 0.2 x implied variance",2022,219,0.114089057116879,2.175452136229303
"sign(s), threshold c = 0.2 x implied variance",2023,248,0.11801789177571365,1.6459159596040358
"sign(s), threshold c = 0.2 x implied variance",2024,83,0.07779142834090898,0.9203284772422625
heaviside(s): long only [diagnostic],2020,158,0.06279074352531307,1.0598837077454122
heaviside(s): long only [diagnostic],2021,158,0.060021210371887686,0.9762851860962269
heaviside(s): long only [diagnostic],2022,219,-0.04807889749307801,-2.0866042918654
heaviside(s): long only [diagnostic],2023,248,0.04606283898902246,0.833987876173193
heaviside(s): long only [diagnostic],2024,83,0.17415125584539334,2.6475288661177196
"sign(s), long side doubled",2020,158,0.1581725987082256,1.2740120802135173
"sign(s), long side doubled",2021,158,0.1395203994044726,1.02968300812338
"sign(s), long side doubled",2022,219,-0.042463909262714705,-0.6390457639937227
"sign(s), long side doubled",2023,248,0.20170400188062013,1.691955136167096
"sign(s), long side doubled",2024,83,0.34983541327904033,2.472268061541635
"sign(s), long side doubled, short side halved",2020,158,0.1418770428794258,1.1833550680632612
"sign(s), long side doubled, short side halved",2021,158,0.12978141007412405,1.028446226538931
"sign(s), long side doubled, short side halved",2022,219,-0.06931085212443537,-1.3321830364405698
"sign(s), long side doubled, short side halved",2023,248,0.14691483992933255,1.304450174391607
"sign(s), long side doubled, short side halved",2024,83,0.3490689624849136,2.602868702877882
"sign(s), long side doubled, implied-variance tilt",2020,158,0.2230233003090835,1.3956118894535303
"sign(s), long side doubled, implied-variance tilt",2021,158,0.24785269722415118,1.0015602011864135
"sign(s), long side doubled, implied-variance tilt",2022,219,-0.06064429276731081,-0.9686413703999978
"sign(s), long side doubled, implied-variance tilt",2023,248,0.272759275117074,1.2895985372463268
"sign(s), long side doubled, implied-variance tilt",2024,83,0.6442594857950317,2.5010660135876113
"sign(s), threshold c, long side doubled",2020,158,-0.07746480368013112,-0.7398720082926462
"sign(s), threshold c, long side doubled",2021,158,-0.045962323246689946,-0.5472843254382745
"sign(s), threshold c, long side doubled",2022,219,0.09081954549784144,1.715018560104128
"sign(s), threshold c, long side doubled",2023,248,0.06351548491355274,0.8824311413253443
"sign(s), threshold c, long side doubled",2024,83,-0.1726183542571395,-2.055968434357834
"sign(s), wings on selling days (25 points)",2020,158,0.10530652181326944,1.5515641224593508
"sign(s), wings on selling days (25 points)",2021,158,0.052612495972601016,0.6357715087754797
"sign(s), wings on selling days (25 points)",2022,219,-0.023524679757897952,-0.4677163501089496
"sign(s), wings on selling days (25 points)",2023,248,0.14833039527024983,2.1297119290737756
"sign(s), wings on selling days (25 points)",2024,83,0.1549767418320862,1.84366431798984
"sign(s), wings on selling days (50 points)",2020,158,0.10305541370435063,1.4976772031701227
"sign(s), wings on selling days (50 points)",2021,158,0.06626429929708352,0.7900061169614673
"sign(s), wings on selling days (50 points)",2022,219,-0.0034388125034788735,-0.0651304166210594
"sign(s), wings on selling days (50 points)",2023,248,0.1529940142076483,2.16353710506826
"sign(s), wings on selling days (50 points)",2024,83,0.16972862686841622,2.0215358207844183
