rule,book,Sharpe,mean/day,t,t_HAC,n_days
always short,unhedged mid,1.9020388792233835,0.1603462841343286,3.5259655571289192,3.818411982717376,866
always short,unhedged crossed,-1.9180993718242016,-0.16634557730839308,-3.5557382102326924,-3.5802534352632303,866
always short,DH mid 0bp,2.0026039363245816,0.16726106604204216,3.7123912561316166,4.008592699857901,866
always short,DH crossed 0bp,-1.8551016775589009,-0.15943079540067953,-3.438954214603389,-3.4305449808765385,866
always short,DH mid 0.5bp,1.554726661388609,0.1298370386841362,2.882124397501578,3.0973575081508393,866
always short,DH crossed 0.5bp,-2.2911429152493787,-0.19685482275858548,-4.247279639692621,-4.222978903643264,866
"always short, flat at 15:30",unhedged mid,3.429978549440463,0.1458712447559413,6.358432710879257,6.388098120199959,866
"always short, flat at 15:30",unhedged crossed,-3.6206701881516894,-0.16482952370945106,-6.711933450255726,-6.205285205715735,866
"always short, flat at 15:30",DH mid 0bp,3.58016072108149,0.1507513500333542,6.636837726825776,6.640416411070152,866
"always short, flat at 15:30",DH crossed 0bp,-3.554593703753667,-0.15994941843203817,-6.589442048703134,-6.12631573416184,866
"always short, flat at 15:30",DH mid 0.5bp,2.9251631558619358,0.12279493173451557,5.422614989217785,5.457004410971185,866
"always short, flat at 15:30",DH crossed 0.5bp,-4.186888620361958,-0.18790583673087677,-7.761579023536601,-7.225490492904231,866
sign(s),unhedged mid,2.012747679651259,0.16941192995360502,3.731195545560666,3.628298095713052,866
sign(s),unhedged crossed,-2.299827792015441,-0.1949135047873097,-4.263379508459526,-3.972521865675823,866
sign(s),DH mid 0bp,2.0176710087926444,0.16820676988853414,3.7403223248124244,3.566544335804091,866
sign(s),DH crossed 0bp,-2.33628312083491,-0.19611866485238058,-4.3309597431199975,-3.9712096670071415,866
sign(s),DH mid 0.5bp,1.5668267533583204,0.1307827425306282,2.904555330953745,2.7353886327317993,866
sign(s),DH crossed 0.5bp,-2.7778316316938407,-0.23354269221028656,-5.149494452424068,-4.657796908017139,866
"always short, sign(s) close",unhedged mid,2.9722952533758056,0.24267302845513614,5.5099876261730305,5.94710256526916,866
"always short, sign(s) close",unhedged crossed,-1.0955209315284669,-0.09158978528151306,-2.03085705233342,-2.014226074276872,866
"always short, sign(s) close",DH mid 0bp,3.013356222102235,0.24364547587325827,5.586105713480927,6.075270339472861,866
"always short, sign(s) close",DH crossed 0bp,-1.0949587655830777,-0.09061733786339088,-2.0298149191875177,-2.0259661192755294,866
"always short, sign(s) close",DH mid 0.5bp,2.5547972320226693,0.20622144851535237,4.7360372829173265,5.150288539062973,866
"always short, sign(s) close",DH crossed 0.5bp,-1.5496899853536652,-0.1280413652212968,-2.872787497811662,-2.8652593935460446,866
