book,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,cost_bp,lag,mean_cost_points
"crossed quoted exit, 0.0 bp, lag none",whole,865,0.04590784135401146,0.3235290841745265,2.252546754992813,4.17331914371056,-6.070173137912459,-2.202867888740946,2024-04-04,0.0,none,0.0
"crossed quoted exit, 0.0 bp, lag none",daily_era,489,0.05329332614755972,0.3366338243741053,2.5131322639023277,3.50081777090367,-2.420605843818212,-2.202867888740946,2024-04-04,0.0,none,0.0
"crossed quoted exit, 0.5 bp, lag none",whole,865,0.018603315920937582,0.3273922476541245,0.9020326139176248,1.6712061436992063,-8.27499109244571,-2.2761820197817966,2024-04-04,0.5,none,0.4225199318105696
"crossed quoted exit, 0.5 bp, lag none",daily_era,489,0.025782899851396188,0.34044017915300906,1.2022401337220463,1.6747322397160225,-3.0996818183488273,-2.2761820197817966,2024-04-04,0.5,none,0.4225199318105696
"crossed quoted exit, 1.0 bp, lag none",whole,865,-0.008701209512136297,0.33186064450064534,-0.4162211492578029,-0.7711376850956159,-11.686157400171894,-2.3494961508226466,2024-04-04,1.0,none,0.8450398636211393
"crossed quoted exit, 1.0 bp, lag none",daily_era,489,-0.0017275264447673456,0.3446811578583107,-0.07956231871579375,-0.11083108647137145,-7.427454190038458,-2.3494961508226466,2024-04-04,1.0,none,0.8450398636211393
"crossed quoted exit, 2.0 bp, lag none",whole,865,-0.06331026037828405,0.3425151946097705,-2.9342325310359967,-5.436286179955402,-54.83773092389163,-2.496124412904347,2024-04-04,2.0,none,1.6900797272422785
"crossed quoted exit, 2.0 bp, lag none",daily_era,489,-0.056748379037094426,0.3544029824643395,-2.5418877210485733,-3.540874403351546,-28.108868910058142,-2.496124412904347,2024-04-04,2.0,none,1.6900797272422785
"crossed quoted exit, 3.0 bp, lag none",whole,865,-0.11791931124443182,0.3552838046088839,-5.268776706580919,-9.761522882831606,-102.00020422643351,-2.6427526749860473,2024-04-04,3.0,none,2.5351195908634176
"crossed quoted exit, 3.0 bp, lag none",daily_era,489,-0.11176923162942148,0.36566576528840594,-4.852194859756534,-6.759154795357519,-54.655154266787115,-2.6427526749860473,2024-04-04,3.0,none,2.5351195908634176
"crossed quoted exit, 0.0 bp, lag one bar",whole,865,0.01596401664768212,0.5172552061962685,0.4899339916099615,0.9077063114487518,-9.980475437909158,-5.9668634755693795,2024-04-04,0.0,one bar,0.0
"crossed quoted exit, 0.0 bp, lag one bar",daily_era,489,-0.0010292666974831427,0.5928305392653248,-0.02756116833329029,-0.03839297647559072,-9.980475437909154,-5.9668634755693795,2024-04-04,0.0,one bar,0.0
"crossed quoted exit, 0.5 bp, lag one bar",whole,865,-0.00803840164303798,0.5207319877792501,-0.24505056941054262,-0.45400799349954174,-18.671011277066235,-6.038668967532733,2024-04-04,0.5,one bar,0.370184641484782
"crossed quoted exit, 0.5 bp, lag one bar",daily_era,489,-0.025130078269213804,0.5964287190334812,-0.6688605233732465,-0.9317292369025886,-15.523587202351667,-6.038668967532733,2024-04-04,0.5,one bar,0.370184641484782
"crossed quoted exit, 1.0 bp, lag one bar",whole,865,-0.032040819933758076,0.5245217027679795,-0.9697067736183669,-1.7965868336172428,-32.464862572235006,-6.110474459496087,2024-04-04,1.0,one bar,0.740369282969564
"crossed quoted exit, 1.0 bp, lag one bar",daily_era,489,-0.04923088984094445,0.6002239303004069,-1.302040969373196,-1.8137557777991575,-26.06627455987411,-6.110474459496087,2024-04-04,1.0,one bar,0.740369282969564
"crossed quoted exit, 2.0 bp, lag one bar",whole,865,-0.08004565651519828,0.5330126830450885,-2.3839684203409113,-4.416805566658212,-69.37227792154768,-6.254085443422794,2024-04-04,2.0,one bar,1.480738565939128
"crossed quoted exit, 2.0 bp, lag one bar",daily_era,489,-0.09743251298440575,0.6083905068170442,-2.5422704274344947,-3.5414075170822144,-48.95799858125675,-6.254085443422794,2024-04-04,2.0,one bar,1.480738565939128
"crossed quoted exit, 3.0 bp, lag one bar",whole,865,-0.12805049309663846,0.5426706728523795,-3.7458050741399638,-6.93989591553066,-110.76367652859231,-6.397696427349501,2024-04-04,3.0,one bar,2.2211078489086917
"crossed quoted exit, 3.0 bp, lag one bar",daily_era,489,-0.14563413612786708,0.6172995829620432,-3.7451349448239197,-5.21700952934066,-71.84972260263952,-6.397696427349501,2024-04-04,3.0,one bar,2.2211078489086917
"crossed quoted exit, 0.0 bp, lag one bar, 11:00 hedge on time",whole,865,0.016580558736431827,0.515457722537104,0.5106300644698195,0.9460501624139893,-9.502785638221386,-5.969933754112915,2024-04-04,0.0,"one bar, 11:00 hedge on time",0.0
"crossed quoted exit, 0.0 bp, lag one bar, 11:00 hedge on time",daily_era,489,0.00036171292574294214,0.5909825660846819,0.009716047502250033,0.01353454899584349,-9.502785638221386,-5.969933754112915,2024-04-04,0.0,"one bar, 11:00 hedge on time",0.0
"crossed quoted exit, 0.5 bp, lag one bar, 11:00 hedge on time",whole,865,-0.007421795399503289,0.5189164040659333,-0.22704495084176224,-0.42064877798009237,-18.25156991558646,-6.0417390925623415,2024-04-04,0.5,"one bar, 11:00 hedge on time",0.37018360869594613
