block,book,sample,selection,family,forecast,theta,rule,n_days,n_traded,n_satout,frac_satout,mean_traded,mean_calendar,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,mean_satout,mean_weight,mean_weight_traded,Sharpe_always_sell,delta_Sharpe,mean_always_sell,beats_always_sell,modal_pick,modal_pick_share,frac_null_chosen
walk_forward_selected,exit_crossed_quoted,whole,full_grid,margin,,,"full_grid: (forecast, theta) chosen on an expanding window, 5-day embargo",797,335,462,0.5796737766624843,0.06157204002104408,0.02588034304523183,0.21306921645991203,1.9281889523146485,3.4290868160321364,-4.546296115243787,-2.202867888740946,2024-04-04,0.03540280027376879,0.4203262233375157,1.0,2.2508624400833943,-0.3226734877687458,0.04640241798435502,False,"sell only when v >= 0.05, lasso (fixed 1e-4)",0.6148055207026348,0.0
walk_forward_selected,exit_crossed_quoted,daily_era,full_grid,margin,,,"full_grid: (forecast, theta) chosen on an expanding window, 5-day embargo",489,233,256,0.523517382413088,0.07898750749401874,0.03763617432741588,0.22927217346585455,2.605879886728929,3.6300161146853296,-2.202867888740947,-2.202867888740946,2024-04-04,0.029907606406446633,0.47648261758691207,1.0,2.5131322639023277,0.0927476228266011,0.05329332614755972,True,"sell only when v >= 0.05, lasso (fixed 1e-4)",0.83640081799591,0.0
walk_forward_selected,exit_crossed_quoted,whole,theta_only_blk2,margin,,,"theta_only_blk2: (forecast, theta) chosen on an expanding window, 5-day embargo",797,438,359,0.4504391468005019,0.04955104485444653,0.02723131448713623,0.2525090009336545,1.7119536905209076,3.0445345217727637,-4.444366633374233,-2.202867888740946,2024-04-04,0.04256091779187569,0.5495608531994981,1.0,2.2508624400833943,-0.5389087495624867,0.04640241798435502,False,"sell only when v >= 0.05, block-diagonal ridge",0.7352572145545797,0.15432873274780426
walk_forward_selected,exit_crossed_quoted,daily_era,theta_only_blk2,margin,,,"theta_only_blk2: (forecast, theta) chosen on an expanding window, 5-day embargo",489,265,224,0.45807770961145194,0.05336570691560086,0.028920066119906395,0.26792306687606837,1.7135210583762892,2.3869515576815323,-3.8412974471337247,-2.202867888740946,2024-04-04,0.05320769711393964,0.5419222903885481,1.0,2.5131322639023277,-0.7996112055260385,0.05329332614755972,False,"sell only when v >= 0.05, block-diagonal ridge",0.7914110429447853,0.10633946830265849
walk_forward_selected,exit_crossed_quoted,whole,theta_only_a0,margin,,,"theta_only_a0: (forecast, theta) chosen on an expanding window, 5-day embargo",797,430,367,0.4604767879548306,0.03503185919650975,0.01890050119761505,0.24698956611209963,1.214772590045491,2.160348791544395,-9.117637872965224,-2.202867888740946,2024-04-04,0.059724871060032034,0.5395232120451694,1.0,2.2508624400833943,-1.0360898500379032,0.04640241798435502,False,"sell only when v >= 0.05, baseline (HAR + calendar OLS)",0.2547051442910916,0.2521957340025094
walk_forward_selected,exit_crossed_quoted,daily_era,theta_only_a0,margin,,,"theta_only_a0: (forecast, theta) chosen on an expanding window, 5-day embargo",489,296,193,0.3946830265848671,0.06628271776911228,0.040122054109728494,0.257549517399854,2.4729918736041583,3.444901815462216,-2.393801940115356,-2.202867888740946,2024-04-04,0.033371772158028355,0.6053169734151329,1.0,2.5131322639023277,-0.040140390298169404,0.05329332614755972,False,"sell only when v >= 0.05, baseline (HAR + calendar OLS)",0.41513292433537835,0.20040899795501022
fixed_cell_oos,exit_crossed_quoted,whole,,margin,a0,0.0,"sell only when v >= 0.00, baseline (HAR + calendar OLS)",797,453,344,0.4316185696361355,0.06788578817597243,0.038585021384837534,0.24035610675313343,2.548378045278643,4.5320296783366,-3.4901864165812384,-2.202867888740946,2024-04-04,0.0181118171215565,0.5683814303638645,1.0,2.2508624400833943,0.2975156051952488,0.04640241798435502,True,"sell only when v >= 0.00, baseline (HAR + calendar OLS)",1.0,
fixed_cell_oos,exit_crossed_quoted,whole,,margin,a0,0.05,"sell only when v >= 0.05, baseline (HAR + calendar OLS)",797,364,433,0.5432873274780426,0.06799223512749286,0.03105291541581857,0.2235075876449412,2.2055168472659066,3.922286109158321,-3.6883682938579447,-2.202867888740946,2024-04-04,0.02825301050144006,0.45671267252195735,1.0,2.2508624400833943,-0.045345592817487734,0.04640241798435502,False,"sell only when v >= 0.05, baseline (HAR + calendar OLS)",1.0,
fixed_cell_oos,exit_crossed_quoted,whole,,margin,a0,0.1,"sell only when v >= 0.10, baseline (HAR + calendar OLS)",797,262,535,0.671267252195734,0.05966032093317535,0.01961230123524711,0.18254253762483016,1.7055511240714958,3.0331482122650297,-3.7262335482749966,-1.6252481512331667,2023-07-27,0.03990976270848411,0.328732747804266,1.0,2.2508624400833943,-0.5453113160118985,0.04640241798435502,False,"sell only when v >= 0.10, baseline (HAR + calendar OLS)",1.0,
fixed_cell_oos,exit_crossed_quoted,whole,,margin,a0,0.15,"sell only when v >= 0.15, baseline (HAR + calendar OLS)",797,191,606,0.7603513174404015,0.0519901015876862,0.012459359351628688,0.16304375262107923,1.2130866399845601,2.1573505018179207,-3.627564568247874,-1.6252481512331667,2023-07-27,0.044641283383305086,0.2396486825595985,1.0,2.2508624400833943,-1.0377758000988342,0.04640241798435502,False,"sell only when v >= 0.15, baseline (HAR + calendar OLS)",1.0,
