book,sample,n,mean,sd,Sharpe_ann,t,MaxDD,worst_day,worst_date,band,costed,mean_turnover,mean_cost_prem
"band 0.00, no cost",whole,865,0.045907840134738226,0.3235290821279116,2.2525467094164875,4.1733190592707805,-6.070172381929872,-2.2028675866604797,2024-04-04,0.0,False,2.055879436038417,0.0
"band 0.00, no cost",daily_era,489,0.05329332369079943,0.33663382173958073,2.5131321677178393,3.5008176369177386,-2.4206059081086444,-2.2028675866604797,2024-04-04,0.0,False,2.1241286608815755,0.0
"band 0.00, 0.5 bp",whole,865,0.01860331470166434,0.32739224561099717,0.9020325604270628,1.6712060445966304,-8.274990354502345,-2.2761817177013297,2024-04-04,0.0,True,2.055879436038417,0.027304525433073885
"band 0.00, 0.5 bp",daily_era,489,0.025782897394635892,0.34044017656371184,1.2022400283088017,1.6747320928743443,-3.0996820336841573,-2.2761817177013297,2024-04-04,0.0,True,2.1241286608815755,0.02751042629616354
"band 0.05, no cost",whole,865,0.045367712379138975,0.3238285143630165,2.2239860762703114,4.120404447486924,-6.039745890948504,-2.268089918195331,2024-04-04,0.05,False,2.0207902166081997,0.0
"band 0.05, no cost",daily_era,489,0.0524277247238817,0.3375879368559671,2.4653260311879825,3.434223222160556,-2.42400552584731,-2.268089918195331,2024-04-04,0.05,False,2.0884983606493277,0.0
"band 0.05, 0.5 bp",whole,865,0.01852860212692854,0.3276731617820353,0.8976397048127666,1.6630673507426343,-8.20875684868508,-2.3400747270047555,2024-04-04,0.05,True,2.0207902166081997,0.02683911025221044
"band 0.05, 0.5 bp",daily_era,489,0.025365293527611826,0.34139470167876024,1.179460459278576,1.6429999308946512,-3.115910191103529,-2.3400747270047555,2024-04-04,0.05,True,2.0884983606493277,0.02706243119626987
"band 0.10, no cost",whole,865,0.04499503683240399,0.32613050166522506,2.190148000562061,4.057712257490619,-5.9979599177533895,-2.268089918195331,2024-04-04,0.1,False,1.9302831481804146,0.0
"band 0.10, no cost",daily_era,489,0.052493543399468885,0.3414600571573294,2.4404294152785004,3.3995419932164253,-2.5144243540022337,-2.268089918195331,2024-04-04,0.1,False,1.996833368788422,0.0
"band 0.10, 0.5 bp",whole,865,0.019393287119782956,0.33028722055622356,0.9320944613589769,1.726902072382694,-8.070657796281857,-2.3400747270047555,2024-04-04,0.1,True,1.9302831481804146,0.025601749712621035
"band 0.10, 0.5 bp",daily_era,489,0.026632564419832562,0.3455289477035478,1.2235699966517277,1.7044449469490355,-3.1400796867604726,-2.3400747270047555,2024-04-04,0.1,True,1.996833368788422,0.02586097897963632
"band 0.15, no cost",whole,865,0.044443263626306795,0.3338922254438542,2.113001993699847,3.914782967971862,-6.143283343203292,-2.307470977907503,2024-04-04,0.15,False,1.814584982361137,0.0
"band 0.15, no cost",daily_era,489,0.049717148016550625,0.34891956083780384,2.2619404179806497,3.1509050779906302,-2.8628354350046017,-2.307470977907503,2024-04-04,0.15,False,1.8890428451101424,0.0
"band 0.15, 0.5 bp",whole,865,0.020443300467355284,0.3381292717414768,0.9597729661573909,1.7781823548844768,-8.24307654546281,-2.373570781254465,2024-04-04,0.15,True,1.814584982361137,0.023999963158951507
"band 0.15, 0.5 bp",daily_era,489,0.02528836303352848,0.35311792945400944,1.1368449019978069,1.5836360436896766,-3.546554760757594,-2.373570781254465,2024-04-04,0.15,True,1.8890428451101424,0.024428784983022152
"band 0.25, no cost",whole,865,0.04442998430150753,0.3518510667834996,2.0045530677095917,3.7138584020569465,-6.21876760232195,-2.307470977907503,2024-04-04,0.25,False,1.5657447637389086,0.0
"band 0.25, no cost",daily_era,489,0.0485969117753483,0.36668131351990063,2.103876117532342,2.9307199648141125,-3.1443349227050703,-2.307470977907503,2024-04-04,0.25,False,1.6533472641423848,0.0
"band 0.25, 0.5 bp",whole,865,0.023805866880537534,0.35624524951973613,1.060804099340928,1.965363891201565,-7.658356363551762,-2.373570781254465,2024-04-04,0.25,True,1.5657447637389086,0.020624117420969996
"band 0.25, 0.5 bp",daily_era,489,0.027210295893024417,0.37121566125074745,1.1636094628797913,1.6209193382109897,-3.5793959909908803,-2.373570781254465,2024-04-04,0.25,True,1.6533472641423848,0.02138661588232389
