sample,combination,against,is_best,n_days,n_bars,delta_QLIKE,ci_lo,ci_hi,excludes_zero,improves,B,block,seed
whole,C1_inverse_qlike,ridge,False,803,9618,-0.026883198094824437,-0.0380237172561449,-0.017093884105397365,True,True,2000,21,0
whole,C1_inverse_qlike,implied slice,False,803,9618,-0.025151393593144167,-0.03139843921683372,-0.01953675101789619,True,True,2000,21,0
whole,C2_log_fit_weight,ridge,True,803,9618,-0.03213371962105673,-0.04422673482581849,-0.021373835886835224,True,True,2000,21,0
whole,C2_log_fit_weight,implied slice,True,803,9618,-0.030401915119376455,-0.037505795586228276,-0.023193876161469017,True,True,2000,21,0
whole,C2L_log_combination,ridge,False,803,9618,-0.018271366393336444,-0.02850895807652977,-0.008341346629371863,True,True,2000,21,0
whole,C2L_log_combination,implied slice,False,803,9618,-0.016539561891656174,-0.030118808669167246,-0.0033063595320898674,True,True,2000,21,0
whole,C3_switch,ridge,False,803,9618,-0.025057059629997873,-0.034835674437882054,-0.016400966972281227,True,True,2000,21,0
whole,C3_switch,implied slice,False,803,9618,-0.023325255128317596,-0.0348904580539949,-0.011704633039445132,True,True,2000,21,0
daily_era,C1_inverse_qlike,ridge,False,489,5868,-0.038784485140186474,-0.05244885474523754,-0.025957834257600586,True,True,2000,21,0
daily_era,C1_inverse_qlike,implied slice,False,489,5868,-0.015299766365501493,-0.020450191904614383,-0.010450129243656575,True,True,2000,21,0
daily_era,C2_log_fit_weight,ridge,True,489,5868,-0.04512123162045411,-0.060070577052813635,-0.03155766680992891,True,True,2000,21,0
daily_era,C2_log_fit_weight,implied slice,True,489,5868,-0.02163651284576913,-0.02954448309863705,-0.013904001960568598,True,True,2000,21,0
daily_era,C2L_log_combination,ridge,False,489,5868,-0.024706438613310993,-0.03894784109264732,-0.011369010329053606,True,True,2000,21,0
daily_era,C2L_log_combination,implied slice,False,489,5868,-0.0012217198386260083,-0.015504635555284954,0.012350816341509863,False,False,2000,21,0
daily_era,C3_switch,ridge,False,489,5868,-0.03228151870093155,-0.04508267520759372,-0.021102517058270747,True,True,2000,21,0
daily_era,C3_switch,implied slice,False,489,5868,-0.008796799926246567,-0.020662539313123462,0.004024126797189483,False,False,2000,21,0
