sample,cell_set,forecast,n_bars,QLIKE_pooled,bias_mean_y_over_mean_f
whole,own,ridge,10387,0.1815970566382477,0.9082593415731214
whole,common,ridge,9618,0.18264744902711597,0.9868910745378435
daily_era,own,ridge,5868,0.1841020294617311,0.9982184183941186
daily_era,common,ridge,5868,0.1841020294617311,0.9982184183941186
whole,own,implied slice,10374,0.18083308965079434,0.8035781286754559
whole,common,implied slice,9618,0.1809156445254357,0.8487534922052564
daily_era,own,implied slice,5868,0.16061731068704613,0.8572370096611475
daily_era,common,implied slice,5868,0.16061731068704613,0.8572370096611475
whole,own,naive clock mean,10387,0.7922269573134916,1.0165316064008791
whole,common,naive clock mean,9618,0.6126608813222184,0.7736555649032378
daily_era,own,naive clock mean,5868,0.5256061346613675,0.7604394827192376
daily_era,common,naive clock mean,5868,0.5256061346613675,0.7604394827192376
whole,own,ridge a0,10387,0.19588913206997186,0.9381052136995286
whole,common,ridge a0,9618,0.19767316364550472,0.9909922134464332
daily_era,own,ridge a0,5868,0.19794476276266998,0.9958549870850788
daily_era,common,ridge a0,5868,0.19794476276266998,0.9958549870850788
whole,own,ridge xgb,10387,0.1922954932198113,0.8675552920356321
whole,common,ridge xgb,9618,0.19415424841695794,0.972462921028537
daily_era,own,ridge xgb,5868,0.19356169119295258,0.9860613483691136
daily_era,common,ridge xgb,5868,0.19356169119295258,0.9860613483691136
whole,own,ridge lgbm,10387,0.18912197443888165,0.8754210417717236
whole,common,ridge lgbm,9618,0.19127768259177091,0.9717020152010684
daily_era,own,ridge lgbm,5868,0.1918577438630346,0.9885275602432719
daily_era,common,ridge lgbm,5868,0.1918577438630346,0.9885275602432719
whole,own,C1_inverse_qlike,9618,0.15576425093229154,0.9192384997351218
whole,common,C1_inverse_qlike,9618,0.15576425093229154,0.9192384997351218
daily_era,own,C1_inverse_qlike,5868,0.14531754432154462,0.9294015118431362
daily_era,common,C1_inverse_qlike,5868,0.14531754432154462,0.9294015118431362
whole,own,C2_log_fit_weight,9618,0.15051372940605923,0.9237414996503991
whole,common,C2_log_fit_weight,9618,0.15051372940605923,0.9237414996503991
daily_era,own,C2_log_fit_weight,5868,0.138980797841277,0.9427302785163028
daily_era,common,C2_log_fit_weight,5868,0.138980797841277,0.9427302785163028
whole,own,C3_switch,9618,0.15759038939711809,0.951514549096591
whole,common,C3_switch,9618,0.15759038939711809,0.951514549096591
daily_era,own,C3_switch,5868,0.15182051076079953,0.9638319922660926
daily_era,common,C3_switch,5868,0.15182051076079953,0.9638319922660926
whole,own,C2L_log_combination,9618,0.16437608263377948,1.2631510183857377
whole,common,C2L_log_combination,9618,0.16437608263377948,1.2631510183857377
daily_era,own,C2L_log_combination,5868,0.1593955908484201,1.2606103240408146
daily_era,common,C2L_log_combination,5868,0.1593955908484201,1.2606103240408146
