variant,family,book,sample,n,mean_diff,sd_diff,t_diff,hac_t_diff,hac_lag,frac_days_improved,frac_days_unchanged
V7_honest_blk2_R1,V7 honest,exit_crossed,whole,865,0.0019568126076009015,0.07403519755584732,0.7773543836306944,0.8040215144068917,14,0.5121387283236994,0.0
V7_honest_blk2_R1,V7 honest,exit_crossed,daily_era,489,0.00025140033888403513,0.07702151757936897,0.07217856058402287,0.07500228559227903,11,0.5214723926380368,0.0
V7_honest_blk2_R1,V7 honest,exit_mid,whole,865,0.0019568126076009024,0.07403519755584732,0.7773543836306948,0.8040215144068921,14,0.5121387283236994,0.0
V7_honest_blk2_R1,V7 honest,exit_mid,daily_era,489,0.00025140033888403584,0.07702151757936897,0.07217856058402308,0.07500228559227926,11,0.5214723926380368,0.0
V7_honest_blk2_R1,V7 honest,hold,whole,865,0.001171020203805935,0.07951586445885166,0.4331303905949094,0.4519634614263051,14,0.49710982658959535,0.0
V7_honest_blk2_R1,V7 honest,hold,daily_era,489,-3.775234164653016e-05,0.07981603519408287,-0.01045943374954834,-0.010749056507973236,11,0.50920245398773,0.0
V7_honest_blk2_R2,V7 honest,exit_crossed,whole,865,0.002901471664056401,0.0750163928889468,1.1375492533995972,1.2821397490336965,14,0.5190751445086705,0.0
V7_honest_blk2_R2,V7 honest,exit_crossed,daily_era,489,0.000725413903344168,0.07883631059375497,0.20347638476879745,0.21679971593108371,11,0.5173824130879345,0.0
V7_honest_blk2_R2,V7 honest,exit_mid,whole,865,0.0029014716640564015,0.0750163928889468,1.1375492533995974,1.2821397490336968,14,0.5190751445086705,0.0
V7_honest_blk2_R2,V7 honest,exit_mid,daily_era,489,0.0007254139033441698,0.07883631059375497,0.20347638476879798,0.21679971593108424,11,0.5173824130879345,0.0
V7_honest_blk2_R2,V7 honest,hold,whole,865,0.0021543464000907922,0.0813287461186027,0.779075437848727,0.8854543942349702,14,0.5213872832369942,0.0
V7_honest_blk2_R2,V7 honest,hold,daily_era,489,0.00040348401407663256,0.08119133059747084,0.1098932717627341,0.11727818179583048,11,0.5276073619631901,0.0
V7_honest_blk2_R3,V7 honest,exit_crossed,whole,865,0.0023272558944702603,0.07323015387624648,0.9346784850721551,1.0557029468185346,14,0.5109826589595375,0.0
V7_honest_blk2_R3,V7 honest,exit_crossed,daily_era,489,8.770168869474372e-05,0.07705794412579939,0.02516778338007226,0.026618251567423513,11,0.5112474437627812,0.0
V7_honest_blk2_R3,V7 honest,exit_mid,whole,865,0.0023272558944702616,0.07323015387624648,0.9346784850721557,1.0557029468185353,14,0.5109826589595375,0.0
V7_honest_blk2_R3,V7 honest,exit_mid,daily_era,489,8.77016886947469e-05,0.07705794412579939,0.02516778338007317,0.02661825156742447,11,0.5112474437627812,0.0
V7_honest_blk2_R3,V7 honest,hold,whole,865,0.001573917579028987,0.07967441861739986,0.5809933167068814,0.6581215117719408,14,0.507514450867052,0.0
