sample,day_set,block,family,param,rule,adoptable,n_placebo,sharpe_rule,placebo_mean,placebo_sd,placebo_q05,placebo_q50,placebo_q95,pct_rank,p_value
whole,full,fixed_rule,sign_model,0.0,exit if s>0 (block-diagonal ridge),True,2000,3.2756774831074384,3.0806077073240905,0.20122766097740694,2.7563067498466327,3.073430879801168,3.4265227303555212,0.8245,0.175912043978011
whole,full,fixed_rule,sign_model,0.0,exit if s>0 (baseline (HAR + calendar OLS)),True,2000,3.1834975203830282,3.1781334138294115,0.19273978472076986,2.866150831402186,3.1678645370998555,3.4947369658440706,0.526,0.47426286856571714
whole,full,fixed_rule,sign_model,0.0,exit if s>0 (XGBoost),True,2000,3.503385788109432,3.18367598004796,0.19471917608571881,2.874643482975698,3.1743476901597947,3.5081404813784127,0.9475,0.05297351324337831
whole,full,fixed_rule,sign_model,0.0,exit if s>0 (LightGBM),True,2000,3.50330063248519,3.1635984423081904,0.19621796681824136,2.8526844274268868,3.1548916143864276,3.4924749313817047,0.956,0.04447776111944028
whole,full,fixed_rule,margin_combined,-0.5,exit if s_comb > -0.50 x slice (combined C2_log_fit_weight),True,2000,2.544895223878647,2.5448952238786475,4.442002738032434e-16,2.544895223878647,2.544895223878647,2.544895223878647,0.0,1.0
whole,full,fixed_rule,margin_combined,-0.25,exit if s_comb > -0.25 x slice (combined C2_log_fit_weight),True,2000,2.544895223878647,2.5448952238786475,4.442002738032434e-16,2.544895223878647,2.544895223878647,2.544895223878647,0.0,1.0
whole,full,fixed_rule,margin_combined,0.0,"exit if s_comb > +0.00 x slice (combined C2_log_fit_weight) (= exit if s>0, combined)",True,2000,3.4897908390710564,3.162292564891466,0.19928735356139224,2.8425507258836804,3.1531189224122196,3.4987342960466346,0.9415,0.05897051474262868
whole,full,fixed_rule,margin_combined,0.25,exit if s_comb > +0.25 x slice (combined C2_log_fit_weight),True,2000,3.5846557530833367,3.5975266088436446,0.014697370572741095,3.578112040256689,3.5947995879485557,3.620083621243565,0.166,0.8340829585207397
whole,full,fixed_rule,margin_combined,0.5,exit if s_comb > +0.50 x slice (combined C2_log_fit_weight),True,0,3.5823912734402135,,,,,,,
whole,full,fixed_rule,sizing_combined,,"hold clip(1 - s_comb / slice, 0, 1) of the straddle into the last half hour (fractional straddle)",False,2000,3.5893180957064676,3.576926512742098,0.024992721493448583,3.5411755408156154,3.5740344440671272,3.6221548538680923,0.7105,0.2898550724637681
whole,oos,fixed_rule,sign_model,0.0,exit if s>0 (block-diagonal ridge),True,2000,3.297957158012411,3.019768495344176,0.20839949614663064,2.7031324664463066,3.0088620553990975,3.3797298671350937,0.901,0.09945027486256872
whole,oos,fixed_rule,sign_model,0.0,exit if s>0 (baseline (HAR + calendar OLS)),True,2000,3.213670284369951,3.0988598691544738,0.19700815269172425,2.795770708364643,3.0920870291338662,3.4329593000748733,0.732,0.2683658170914543
whole,oos,fixed_rule,sign_model,0.0,exit if s>0 (XGBoost),True,2000,3.5104530802710836,3.0888168730951193,0.19316322207005573,2.7978752034812757,3.0771143694616736,3.4320182149617757,0.9795,0.020989505247376312
whole,oos,fixed_rule,sign_model,0.0,exit if s>0 (LightGBM),True,2000,3.5300087436211696,3.0908714404448263,0.1928399249127808,2.7863454451628007,3.0843665544206846,3.4075651416320203,0.987,0.013493253373313344
whole,oos,fixed_rule,margin_combined,-0.5,exit if s_comb > -0.50 x slice (combined C2_log_fit_weight),True,0,2.2508623989667926,,,,,,,
whole,oos,fixed_rule,margin_combined,-0.25,exit if s_comb > -0.25 x slice (combined C2_log_fit_weight),True,0,2.2508623989667926,,,,,,,
whole,oos,fixed_rule,margin_combined,0.0,"exit if s_comb > +0.00 x slice (combined C2_log_fit_weight) (= exit if s>0, combined)",True,2000,3.297957158012411,3.0126359704349097,0.2039764268596441,2.691581349607233,3.0016660617778577,3.3633792969192355,0.9155,0.08495752123938032
whole,oos,fixed_rule,margin_combined,0.25,exit if s_comb > +0.25 x slice (combined C2_log_fit_weight),True,2000,3.4124361400104886,3.414160834402019,0.0056302231421764245,3.4093661761644167,3.410035038596468,3.4231732684757596,0.5055,0.4947526236881559
whole,oos,fixed_rule,margin_combined,0.5,exit if s_comb > +0.50 x slice (combined C2_log_fit_weight),True,0,3.4099816893275476,,,,,,,
whole,oos,fixed_rule,sizing_combined,,"hold clip(1 - s_comb / slice, 0, 1) of the straddle into the last half hour (fractional straddle)",False,2000,3.415805774091554,3.406792962825022,0.026755379488406405,3.3686462518643863,3.4042486399032756,3.4564200467104453,0.6665,0.33383308345827084
whole,oos,walk_forward_selected,sign_model,,"sign_model: cell chosen on an expanding window, 5-day embargo",True,2000,3.3601343499169376,3.3729206321228538,0.012473641598543514,3.3601343499169376,3.385083193245554,3.385083193245554,0.0,1.0
whole,oos,walk_forward_selected,margin_combined,,"margin_combined: cell chosen on an expanding window, 5-day embargo",True,0,3.4099816893275476,,,,,,,
