book,treatment,n,mean_gross_units,mean_cost_units,mean_charged_units,Sharpe_gross_units,Sharpe_charged_units,unit_units,mean_gross_pts,mean_cost_pts,mean_charged_pts,Sharpe_gross_pts,Sharpe_charged_pts,unit_pts
"causal, expanding",hold,1279,0.06841387225416487,0.031979482048088134,0.03643439020607674,2.6916614726305705,1.4234238230894614,premium,1.1470982858350378,0.5544221246477619,0.5926761611872761,2.045150468333422,1.0506876482101986,index points per contract
"causal, rolling 126",hold,1279,0.06405029397249616,0.03261751068681812,0.03143278328567805,2.132241410423373,1.0378741391716295,premium,0.8596856882402383,0.4904982473877538,0.3691874408524844,1.4998607538813635,0.6409805912092642,index points per contract
"causal, rolling 252",hold,1279,0.07402822781591174,0.031996589374136034,0.0420316384417757,2.7611188599861873,1.55630055541995,premium,1.1244318898309766,0.5178033246451851,0.6066285651857918,1.9667706293273772,1.055886340813108,index points per contract
fixed 11:00,hold,1279,0.07520738025026003,0.0336891960017143,0.041518184248545725,2.91931363235578,1.5994267890148428,premium,1.2035105238430372,0.5601245740805826,0.6433859497624544,2.226896124173581,1.183004974460306,index points per contract
fixed 13:30,hold,1279,0.07515367890009061,0.03385048692653772,0.04130319197355289,2.146025662673973,1.167212527282934,premium,0.9194083069184115,0.3779693836587125,0.5414389232596989,1.8109646287307026,1.0605034447719297,index points per contract
"causal, expanding",flatten,1279,0.03690479121766603,0.028569235041628536,0.008335556176037493,1.7384720429416705,0.38892540960113514,premium,0.45891882674043794,0.49638270067325263,-0.0374638739328147,0.9253228912928276,-0.07496073341487777,index points per contract
"causal, rolling 126",flatten,1279,0.03139896698607767,0.027516107207203214,0.0038828597788744504,1.3857269741178977,0.16923957940562157,premium,0.3127692210185274,0.42189924589107397,-0.10913002487254653,0.6327166120454117,-0.2192159997291911,index points per contract
"causal, rolling 252",flatten,1279,0.04455128517433004,0.02763061919814541,0.016920665976184617,2.118721131216398,0.7964522089141818,premium,0.5424686497972471,0.4521900643867552,0.09027858541049184,1.1152249171150848,0.18433165119983827,index points per contract
fixed 11:00,flatten,1279,0.03913117227021354,0.029965387656129314,0.009165784614084228,1.8171349401107044,0.4212717351777628,premium,0.471917528610543,0.49852580483934306,-0.02660827622880003,1.0138123429890327,-0.05668298713683117,index points per contract
fixed 13:30,flatten,1279,0.03838140117160272,0.026247653310092198,0.012133747861510521,1.5944505072983137,0.4949280868114459,premium,0.43551564219909034,0.2926580067222524,0.14285763547683808,1.2191083405006244,0.3952094767209392,index points per contract
