quarter,expanding,rolling 126,rolling 252,ewma hl 63
2020Q1,flat (0/39),flat (0/39),flat (0/39),flat (0/39)
2020Q2,15:00 (17/41),15:00 (17/41),15:00 (17/41),15:00 (17/41)
2020Q3,15:00 (40/40),15:00 (40/40),15:00 (40/40),15:00 (40/40)
2020Q4,15:00 (38/38),15:00 (38/38),15:00 (38/38),15:00 (38/38)
2021Q1,15:00 (38/38),15:00 (38/38),15:00 (38/38),15:00 (38/38)
2021Q2,15:00 (39/39),15:00 (39/39),15:00 (39/39),15:00 (39/39)
2021Q3,15:00 (41/41),15:00 (41/41),15:00 (41/41),15:00 (41/41)
2021Q4,15:00 (40/40),15:00 (40/40),15:00 (40/40),15:00 (40/40)
2022Q1,15:00 (39/39),15:00 (39/39),15:00 (39/39),15:00 (39/39)
2022Q2,15:00 (54/54),15:00 (54/54),15:00 (54/54),15:00 (54/54)
2022Q3,15:00 (64/64),15:00 (64/64),15:00 (64/64),15:00 (64/64)
2022Q4,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2023Q1,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2023Q2,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2023Q3,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2023Q4,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2024Q1,15:00 (61/61),15:00 (61/61),15:00 (61/61),15:00 (61/61)
2024Q2,15:00 (63/63),15:00 (63/63),15:00 (63/63),15:00 (63/63)
2024Q3,15:00 (63/63),15:00 (63/63),15:00 (63/63),15:00 (63/63)
2024Q4,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2025Q1,15:00 (60/60),15:00 (60/60),15:00 (60/60),15:00 (60/60)
2025Q2,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
2025Q3,15:00 (63/63),15:00 (63/63),15:00 (63/63),15:00 (63/63)
2025Q4,15:00 (62/62),15:00 (62/62),15:00 (62/62),15:00 (62/62)
