book,unit,reference,sample,n,mean_diff,sd_diff,t_hac,t_lag,d_Sharpe
E1 ratio of sums | expanding | hold,premium,fixed 11:00,deck in-sample,866,-0.04324193365567136,0.2932888603354211,-4.4230323544508385,14,-1.6385363315754309
E1 ratio of sums | expanding | hold,premium,fixed 11:00,unseen,413,-0.021058869477466744,0.3246804228487031,-1.2552865196027199,11,-0.6713486265575426
E1 ratio of sums | expanding | hold,premium,fixed 11:00,all,1279,-0.036078833182177604,0.30382981075646326,-4.199224057324146,16,-1.2893435163180886
E1 ratio of sums | expanding | hold,premium,fixed 13:30,deck in-sample,866,-0.024865532372830138,0.49614706434172406,-1.4353237390097462,14,-0.029024884069506873
E1 ratio of sums | expanding | hold,premium,fixed 13:30,unseen,413,-0.059425163627766536,0.5242559664861238,-2.676638244817928,11,-1.441361651936703
E1 ratio of sums | expanding | hold,premium,fixed 13:30,all,1279,-0.03602513183200819,0.5054475561352614,-2.6427196398837016,16,-0.5160555466362815
E1 ratio of sums | expanding | hold,premium,fixed 15:00,deck in-sample,866,-0.024223823740341204,0.7334929080017192,-0.9349362630171716,14,0.5441308724271434
E1 ratio of sums | expanding | hold,premium,fixed 15:00,unseen,413,-0.0266152295425551,0.7818836508489871,-0.6073721028833353,11,-0.014858595082783088
E1 ratio of sums | expanding | hold,premium,fixed 15:00,all,1279,-0.02499602905411317,0.7491543317740966,-1.1073671349169751,16,0.3338770504363733
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.031474278707368214,0.33196821649697816,-2.8312453645756874,14,-0.9208793592078761
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,unseen,413,-0.042082242895624275,0.32599172920831204,-3.0602351267819192,11,-1.4816764275752123
E1 ratio of sums | expanding | hold,premium,43 P&L-Sharpe rolling 252,all,1279,-0.03489968074782933,0.32996000070760767,-4.037951533033906,16,-1.131148743948496
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,deck in-sample,866,-0.6065243855074847,6.029028404529711,-3.0082534799182667,14,-1.3872359199324968
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,unseen,413,-0.3637909200747658,8.478175979101099,-0.7756401944879825,11,-0.5598000179257485
E1 ratio of sums | expanding | hold,index points per contract,fixed 11:00,all,1279,-0.5281436808759655,6.912875011687345,-2.6689326109992706,16,-1.0707858479061547
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,deck in-sample,866,0.1205796322982569,8.255636917284125,0.42562609379775024,14,0.2802105968706945
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,unseen,413,-1.0085980483391148,11.411358039938042,-1.7055459961748807,11,-1.8462995676232932
E1 ratio of sums | expanding | hold,index points per contract,fixed 13:30,all,1279,-0.24404146395134,9.401551505848882,-0.9084607365214817,16,-0.6548543524632762
E1 ratio of sums | expanding | hold,index points per contract,fixed 15:00,deck in-sample,866,0.34618890543776715,8.986283243666712,1.1333766728745294,14,0.7594167871667901
E1 ratio of sums | expanding | hold,index points per contract,fixed 15:00,unseen,413,-0.08350068773719098,11.900570052606403,-0.12196171910203046,11,-0.24492140620304081
E1 ratio of sums | expanding | hold,index points per contract,fixed 15:00,all,1279,0.2074384738652437,10.01767347797732,0.6970451487579673,16,0.21804695059465795
E1 ratio of sums | expanding | hold,index points per contract,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.2655794426200001,5.764017615537836,-1.533755720665239,14,-0.768065105879828
E1 ratio of sums | expanding | hold,index points per contract,43 P&L-Sharpe rolling 252,unseen,413,-0.8338072581840555,7.8436904075730025,-2.437306335162313,11,-1.056909763009827
E1 ratio of sums | expanding | hold,index points per contract,43 P&L-Sharpe rolling 252,all,1279,-0.4490650468639054,6.510893525913993,-2.850523868044952,16,-0.8106603530599508
E1 ratio of sums | expanding | flatten,premium,fixed 11:00,deck in-sample,866,-0.023673099021236668,0.2558746489268169,-2.826327337720711,14,-1.166182244252495
E1 ratio of sums | expanding | flatten,premium,fixed 11:00,unseen,413,-0.0057946478966571235,0.25173363217087413,-0.4607299395113237,11,-0.20973527340979037
E1 ratio of sums | expanding | flatten,premium,fixed 11:00,all,1279,-0.017899994787889246,0.25458378081411004,-2.5976616257926413,16,-0.8174390727201024
E1 ratio of sums | expanding | flatten,premium,fixed 13:30,deck in-sample,866,-0.006909066238524423,0.3608738593533926,-0.5598485270329286,14,-0.14303441581973542
E1 ratio of sums | expanding | flatten,premium,fixed 13:30,unseen,413,-0.0386244182470338,0.4070940114210571,-2.0356349638016034,11,-1.486548472044685
E1 ratio of sums | expanding | flatten,premium,fixed 13:30,all,1279,-0.01715022368927843,0.37655166579861127,-1.6363944893206854,16,-0.5947546399077117
E1 ratio of sums | expanding | flatten,premium,fixed 15:00,deck in-sample,866,0.01504013325358782,0.4267119889392525,1.0286653720786818,14,0.7740796605956661
E1 ratio of sums | expanding | flatten,premium,fixed 15:00,unseen,413,-0.00399636403856961,0.39723038774485103,-0.19635790353564375,11,-0.532861332024249
E1 ratio of sums | expanding | flatten,premium,fixed 15:00,all,1279,0.008893086043532296,0.41735954976821565,0.7510334069502519,16,0.41736216545289206
E1 ratio of sums | expanding | flatten,premium,43 P&L-Sharpe rolling 252,deck in-sample,866,-0.020904716239054315,0.2657566154319064,-2.4362651793541077,14,-1.0505285366342532
E1 ratio of sums | expanding | flatten,premium,43 P&L-Sharpe rolling 252,unseen,413,-0.028384826816112117,0.26986751177796436,-2.3409125549560055,11,-1.2523856721793512
E1 ratio of sums | expanding | flatten,premium,43 P&L-Sharpe rolling 252,all,1279,-0.023320107692005744,0.26700824388856065,-3.3653877964096592,16,-1.119025263825796
E1 ratio of sums | expanding | flatten,index points per contract,fixed 11:00,deck in-sample,866,-0.3135172340755771,5.104465944316983,-1.953769851488779,14,-0.8710839324197734
E1 ratio of sums | expanding | flatten,index points per contract,fixed 11:00,unseen,413,-0.1638379573343499,6.912904479508186,-0.4537742070209632,11,-0.22604137427859802
