,2020,2021,2022,2023,2024H1,2024H2,2025,deck in-sample,unseen,all
10:00,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16,0.0,2.220446049250313e-16
10:30,0.0,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16,0.0
11:00,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16,1.1102230246251565e-16,2.220446049250313e-16
11:30,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,1.1102230246251565e-16,0.0,1.1102230246251565e-16,0.0
12:00,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
12:30,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0
13:00,1.1102230246251565e-16,2.220446049250313e-16,0.0,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0
13:30,1.1102230246251565e-16,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,2.220446049250313e-16,0.0,2.220446049250313e-16
14:00,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16
14:30,0.0,0.0,0.0,0.0,0.0,0.0,2.220446049250313e-16,0.0,0.0,2.220446049250313e-16
15:00,0.0,2.220446049250313e-16,0.0,0.0,0.0,1.1102230246251565e-16,0.0,0.0,1.1102230246251565e-16,0.0
