,quarter,pick_E1 ratio of sums | expanding,score_E1 ratio of sums | expanding,pick_E1 ratio of sums | rolling 126,score_E1 ratio of sums | rolling 126,pick_E1 ratio of sums | rolling 252,score_E1 ratio of sums | rolling 252,pick_E1 ratio of sums | ewma hl 63,score_E1 ratio of sums | ewma hl 63,pick_E2 relative ratio of sums | rolling 126,score_E2 relative ratio of sums | rolling 126,pick_E2 relative ratio of sums | rolling 252,score_E2 relative ratio of sums | rolling 252,pick_E2 relative ratio of sums | ewma hl 63,score_E2 relative ratio of sums | ewma hl 63,p26_pick_rolling 252,E1_expanding_score_10:00,E1_expanding_score_10:30,E1_expanding_score_11:00,E1_expanding_score_11:30,E1_expanding_score_12:00,E1_expanding_score_12:30,E1_expanding_score_13:00,E1_expanding_score_13:30,E1_expanding_score_14:00,E1_expanding_score_14:30,E1_expanding_score_15:00,I_10:00,R_10:00,I_10:30,R_10:30,I_11:00,R_11:00,I_11:30,R_11:30,I_12:00,R_12:00,I_12:30,R_12:30,I_13:00,R_13:00,I_13:30,R_13:30,I_14:00,R_14:00,I_14:30,R_14:30,I_15:00,R_15:00
2020-01-03,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5708787908626467e-05,1.0720171592700388e-05,1.8027941415404283e-05,1.0720085567334531e-05,1.8466078484897874e-05,9.860721380623753e-06,1.3001909179002527e-05,9.694244852476477e-06,9.121659863354451e-06,7.046350651026315e-06,7.008226935132125e-06,6.755003185122013e-06,6.337308223692639e-06,6.6599499634250865e-06,5.313738181700859e-06,6.659340606907351e-06,6.519710890359276e-06,4.493962706258386e-06,6.610731794057359e-06,4.358959756254066e-06,3.987624888196902e-06,2.6222029803454237e-06
2020-01-06,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9800211192374973e-05,8.104597993360959e-06,1.2315785664754073e-05,5.856805518002064e-06,1.0761618970743735e-05,5.674394419310467e-06,9.12933124087795e-06,5.632716000273347e-06,7.614248961362656e-06,5.63224623072112e-06,5.824449736846677e-06,5.631779749307261e-06,5.200135345236535e-06,5.528319766645234e-06,3.976946017005855e-06,3.9307872223682825e-06,3.637388531167775e-06,3.904991681830675e-06,2.965236143829547e-06,3.2100876394969688e-06,2.4078808633662503e-06,3.1899339498946997e-06
2020-01-08,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,2.11645008975223e-05,3.4309837032936194e-05,2.416255733604936e-05,3.330064532109846e-05,2.464510719267674e-05,3.313493795218532e-05,1.5927094954906637e-05,2.758048191212407e-05,8.294395358289073e-06,2.1907029121322706e-05,6.1946796919594845e-06,2.1680795491647607e-05,5.778002938782197e-06,2.1624996378655447e-05,4.164855026212362e-06,2.1558505316054936e-05,4.034218824226275e-06,2.116606390366099e-05,3.847225815764699e-06,2.0552970196361193e-05,3.102436135985421e-06,1.9271710580299404e-05
2020-01-10,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0432040329103514e-05,6.410526470002176e-06,9.09885195900372e-06,6.379248691883563e-06,7.073137912445679e-06,6.293600194941371e-06,8.069390246260857e-06,4.80514658198654e-06,8.629853200144602e-06,4.341653778416407e-06,7.493135816640006e-06,4.052585653097362e-06,5.698592593007428e-06,3.98191426868608e-06,4.2575967556241725e-06,3.509808541326155e-06,4.253717181851443e-06,3.472841741111501e-06,4.3370659504444635e-06,1.9879948869028267e-06,3.7890792381972445e-06,1.9140240483120344e-06
2020-01-13,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.65130335339696e-06,6.329743213311209e-06,7.629030597056558e-06,6.285360241079908e-06,6.936655528377397e-06,5.57555569229556e-06,6.156626927269856e-06,5.5504070682787755e-06,4.850720832542438e-06,4.4178479304827456e-06,3.653568580441138e-06,4.263407782342752e-06,3.5770759126282302e-06,4.2010201968246485e-06,3.384824385208233e-06,4.195216853417725e-06,2.854595891415756e-06,4.121619434012543e-06,2.910257795102951e-06,3.378105148127888e-06,2.3757881348907756e-06,3.358485144510407e-06
2020-01-15,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.456593711069863e-05,1.6529844481011904e-05,1.3308406407354188e-05,1.633066949838574e-05,1.0903353601868206e-05,1.4893612349278046e-05,1.1213461143845555e-05,1.443170229677118e-05,1.0063441374808284e-05,1.4430779311081256e-05,7.926015911104641e-06,1.4430188603828965e-05,8.455587945429031e-06,1.2160502585761495e-05,6.0683753250947774e-06,1.2160271142331717e-05,5.839562564409174e-06,1.1632055168683083e-05,4.0277670152122056e-06,6.8724090548586725e-06,2.8907906043110815e-06,5.6504858994849816e-06
2020-01-17,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0216994934547438e-05,5.9503945754998445e-06,7.714945124028015e-06,5.950068564163781e-06,7.962471551224904e-06,4.86068854270995e-06,7.468577852143941e-06,4.583173844706195e-06,5.802645748425697e-06,3.9227883007049595e-06,4.851234005080283e-06,3.4849925441169877e-06,5.037832865782726e-06,2.88743026969959e-06,4.803672712750092e-06,2.810792702388325e-06,4.45732084032313e-06,2.8009494908026123e-06,3.6934217530713423e-06,2.781806714717725e-06,3.157802499149879e-06,2.6723249264979264e-06
2020-01-21,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.33311561381512e-06,1.0655960458576058e-05,8.686264213081013e-06,1.0475644292422484e-05,7.6949094852857e-06,1.0219641353443937e-05,5.23835338333931e-06,7.499223818184148e-06,5.055364893087687e-06,6.770537236469014e-06,4.5690206139906075e-06,6.770501054984927e-06,4.062896960267825e-06,6.770464873936107e-06,4.873963805186087e-06,4.807400242661005e-06,6.096750358362181e-06,1.9838343457480473e-06,3.454472927874365e-06,1.52837840029031e-06,2.6077269568838903e-06,1.2280485960428876e-06
2020-01-22,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.453375015008223e-06,9.897669384023366e-06,6.882827064140794e-06,9.87695839806672e-06,6.895106348682008e-06,8.812223899429006e-06,7.74581919029733e-06,7.46856338056685e-06,6.58398524737077e-06,7.4561975169081385e-06,5.82106935344511e-06,6.706826587585099e-06,4.433852032861905e-06,5.1439458018507595e-06,3.4411248700194743e-06,4.9596108144101846e-06,3.7037920087816338e-06,4.448856232381688e-06,3.21391701519427e-06,4.444083540159025e-06,2.41522374226463e-06,4.431721837055431e-06
2020-01-24,2020Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,9.293980862287196e-06,6.094333251917242e-05,1.6222725719695958e-05,4.740514500630115e-05,1.3530621967055337e-05,4.7184148660484606e-05,1.6149999894104384e-05,4.5210316792193914e-05,1.525120002207871e-05,4.077938208315883e-05,2.4408125121762924e-05,3.3650014044247236e-05,1.1625796897627181e-05,2.9359684569066315e-05,1.6381620874890198e-05,2.19932290463725e-05,1.791910879515019e-05,2.0135818338306684e-05,1.8002985105363563e-05,1.2236812474705404e-05,1.0901539827439478e-05,1.2906606708170785e-06
