sample,route,forecast,n,n_no_shat,n_sell_sell,n_sell_buy,n_buy_sell,n_buy_buy,hit_rate,frac_predicted_sell,frac_actual_sell,precision_sell,corr_pearson_shat_s1100,corr_spearman_shat_s1100,corr_pearson_shat_s1530,corr_spearman_shat_s1530,corr_pearson_s1100_s1530
whole,A_persistence_profile,a0,865,0,359,142,220,144,0.5815028901734104,0.5791907514450867,0.669364161849711,0.716566866267465,0.9998354685909903,0.9999832203814701,0.5617734248061245,0.19892664210353006,0.570126598733815
era,A_persistence_profile,a0,489,0,190,81,122,96,0.5848670756646217,0.5541922290388548,0.6380368098159509,0.7011070110701108,0.9999958711967455,0.9999953818397522,0.43403832263131664,0.21752212098758847,0.43348230616072486
whole,B_direct_regression,a0,865,0,252,86,327,200,0.522543352601156,0.39075144508670523,0.669364161849711,0.7455621301775148,0.4046122842635607,0.6406976390613203,-0.13633997611127024,0.12227977353262699,0.570126598733815
era,B_direct_regression,a0,489,0,151,59,161,118,0.5501022494887525,0.4294478527607362,0.6380368098159509,0.719047619047619,0.9302912974297769,0.7356937605576276,0.37972636773640306,0.1393856204857484,0.43348230616072486
whole,A_persistence_profile,blk2,865,0,338,162,181,184,0.6034682080924856,0.5780346820809249,0.6,0.676,0.9998519024141411,0.9999860942387874,0.39125638826023823,0.2435400322761988,0.39437324212197966
era,A_persistence_profile,blk2,489,0,185,102,85,117,0.6175869120654397,0.5869120654396728,0.5521472392638037,0.6445993031358885,0.9999960125324755,0.9999946634592692,0.5068339551182,0.27488377630042266,0.5060091979974
whole,B_direct_regression,blk2,865,0,243,97,276,249,0.5687861271676301,0.3930635838150289,0.6,0.7147058823529412,0.4759964619991273,0.6785749301745376,0.303517601271509,0.1780018088614185,0.39437324212197966
era,B_direct_regression,blk2,489,0,145,71,125,148,0.5991820040899796,0.44171779141104295,0.5521472392638037,0.6712962962962963,0.9360813482185604,0.720235444072027,0.446486270746404,0.18296976439172677,0.5060091979974
whole,A_persistence_profile,blk2_inc,865,0,328,159,182,196,0.6057803468208093,0.5630057803468208,0.5895953757225434,0.6735112936344969,0.9998506937758753,0.9999874291918637,0.39512946508159147,0.25850550519815896,0.3984337238999909
era,A_persistence_profile,blk2_inc,489,0,175,102,86,126,0.6155419222903885,0.5664621676891616,0.5337423312883436,0.631768953068592,0.9999960516022508,0.9999963054718016,0.5097263676985553,0.2753472343377662,0.5089497343525954
whole,B_direct_regression,blk2_inc,865,0,239,97,271,258,0.5745664739884393,0.3884393063583815,0.5895953757225434,0.7113095238095238,0.4733418160601118,0.6825429113250002,0.299348727602925,0.19609871088031255,0.3984337238999909
era,B_direct_regression,blk2_inc,489,0,141,74,120,154,0.6032719836400818,0.4396728016359918,0.5337423312883436,0.6558139534883721,0.9370852774597507,0.7184035738402775,0.45974614072048375,0.19113405595568211,0.5089497343525954
whole,A_persistence_profile,lgbm,865,0,355,148,221,141,0.5734104046242775,0.5815028901734104,0.6658959537572254,0.705765407554672,0.9998446275531397,0.9999842586783073,0.3155165313129836,0.1865255769593032,0.32038068642059414
era,A_persistence_profile,lgbm,489,0,186,94,111,98,0.5807770961145194,0.5725971370143149,0.6073619631901841,0.6642857142857143,0.9999959500042169,0.9999930214467364,0.2636004793703805,0.20147986379506047,0.2626660171768949
whole,B_direct_regression,lgbm,865,0,230,89,346,200,0.49710982658959535,0.36878612716763004,0.6658959537572254,0.7210031347962382,0.5608478843063655,0.6477826243990856,0.49827438968440596,0.10918729539990002,0.32038068642059414
era,B_direct_regression,lgbm,489,0,140,66,157,126,0.5439672801635992,0.4212678936605317,0.6073619631901841,0.6796116504854369,0.940410314683562,0.728143786932454,0.1983081818325364,0.11586019905296929,0.2626660171768949
whole,A_persistence_profile,xgb,865,0,357,138,230,140,0.5745664739884393,0.5722543352601156,0.6786127167630058,0.7212121212121212,0.9998532122927488,0.9999846851216512,0.228204141500159,0.18013834563715084,0.23322871034934506
era,A_persistence_profile,xgb,489,0,189,90,116,94,0.5787321063394683,0.5705521472392638,0.623721881390593,0.6774193548387096,0.9999959233611985,0.9999944582077026,0.1730200121741968,0.19081293987976367,0.17223382017411382
whole,B_direct_regression,xgb,865,0,236,90,351,188,0.49017341040462425,0.376878612716763,0.6786127167630058,0.7239263803680982,0.4929025647341811,0.648600005043156,0.43081635652993217,0.09157813332028045,0.23322871034934506
era,B_direct_regression,xgb,489,0,142,66,163,118,0.5316973415132924,0.42535787321063395,0.623721881390593,0.6826923076923077,0.9399787620886658,0.7100329018261233,0.10376475593278398,0.08114087030769264,0.17223382017411382
whole,A_persistence_profile,lasso_t,865,0,336,150,208,171,0.5861271676300578,0.561849710982659,0.6289017341040463,0.691358024691358,0.9998450543694509,0.9999828866432011,0.29104210619191406,0.23151783423146008,0.2956520328734608
era,A_persistence_profile,lasso_t,489,0,171,102,103,113,0.5807770961145194,0.558282208588957,0.5603271983640081,0.6263736263736264,0.9999959293406655,0.9999944582077026,0.4396520247183223,0.24771524218658605,0.4389127122748463
whole,B_direct_regression,lasso_t,865,0,233,88,311,233,0.5387283236994219,0.37109826589595374,0.6289017341040463,0.7258566978193146,0.3964527559209425,0.6413876058506544,0.21189906874561537,0.1268854358102646,0.2956520328734608
era,B_direct_regression,lasso_t,489,0,137,67,137,148,0.5828220858895705,0.4171779141104294,0.5603271983640081,0.6715686274509803,0.9354437581822386,0.7161066035586519,0.3717566987237324,0.17103551467856581,0.4389127122748463
whole,A_persistence_profile,lasso_f,865,0,328,175,179,183,0.5907514450867052,0.5815028901734104,0.5861271676300578,0.6520874751491054,0.999845921595733,0.9999842215962774,0.37936794437469024,0.25611579086328445,0.3826234505820236
era,A_persistence_profile,lasso_f,489,0,177,114,80,118,0.6032719836400818,0.5950920245398773,0.5255623721881391,0.6082474226804123,0.9999960206956295,0.9999928161951698,0.5204102527061854,0.2810670823695062,0.5195915275537517
whole,B_direct_regression,lasso_f,865,0,233,109,274,249,0.5572254335260116,0.3953757225433526,0.5861271676300578,0.6812865497076024,0.46258876021168754,0.6823882792603174,0.3043990223674715,0.18242489776484355,0.3826234505820236
era,B_direct_regression,lasso_f,489,0,135,85,122,147,0.5766871165644172,0.4498977505112474,0.5255623721881391,0.6136363636363636,0.9374519923795772,0.7228685137939316,0.46134410561062,0.17508851473808879,0.5195915275537517
whole,A_persistence_profile,enet,865,0,346,145,212,162,0.5872832369942197,0.5676300578034682,0.6450867052023121,0.7046843177189409,0.9998405017915727,0.9999850188599203,0.21526971834864067,0.2131559811089307,0.2180123616123645
era,A_persistence_profile,enet,489,0,184,93,103,109,0.5991820040899796,0.5664621676891616,0.5869120654396728,0.6642599277978339,0.9999959764445856,0.9999930214467364,0.46151879033169996,0.2536604564384338,0.46074447403101776
whole,B_direct_regression,enet,865,0,233,85,325,222,0.5260115606936416,0.3676300578034682,0.6450867052023121,0.7327044025157232,0.35272216260070927,0.6241796713345525,0.30949443949498134,0.13127591106839262,0.2180123616123645
era,B_direct_regression,enet,489,0,135,63,152,139,0.5603271983640081,0.4049079754601227,0.5869120654396728,0.6818181818181818,0.9355893140143894,0.6995289476546931,0.3996265158499401,0.1704050844918074,0.46074447403101776
