loss_source,loss_book,loss_pts,loss_dollars,loss_units_of_median_rep_book,budget_frac_of_capital,capital_pts,capital_dollars,capital_over_entry_premium,mean_frozen_pts,ann_mean_frozen_dollars,ann_return_on_capital_frozen,worst20_frozen_pts,worst20_frozen_frac_capital,mean_regime_pts,ann_mean_regime_dollars,ann_return_on_capital_regime,worst20_regime_pts,worst20_regime_frac_capital,mean_realised_2020_2024_pts,ann_return_on_capital_realised
"replay frozen IV, 0.5th percentile session (1-in-200)",median premium 2023-01-23,-81.28623166440863,-8128.623166440863,-6.9773590268264245,0.05,1625.7246332881725,162572.46332881725,139.5471805365285,-1.978588656853953,-49860.434152719616,-0.30669667624997754,-1971.8970959737944,-1.2129342544225692,-2.0349690046735596,-51281.218917773695,-0.3154360699699363,-2039.376646467099,-1.254441622344295,0.7983451428262665,0.12374972481367198
"replay frozen IV, 0.5th percentile session (1-in-200)",median premium 2023-01-23,-81.28623166440863,-8128.623166440863,-6.9773590268264245,0.1,812.8623166440863,81286.23166440862,69.77359026826424,-1.978588656853953,-49860.434152719616,-0.6133933524999551,-1971.8970959737944,-2.4258685088451384,-2.0349690046735596,-51281.218917773695,-0.6308721399398726,-2039.376646467099,-2.50888324468859,0.7983451428262665,0.24749944962734396
"replay regime-scaled IV, 0.5th percentile session (1-in-200)",median premium 2023-01-23,-81.3467491172216,-8134.674911722161,-6.982553658032955,0.05,1626.934982344432,162693.4982344432,139.65107316065908,-1.978588656853953,-49860.434152719616,-0.30646851099648836,-1971.8970959737944,-1.2120318988606835,-2.0349690046735596,-51281.218917773695,-0.3152014030940368,-2039.376646467099,-1.2535083876113684,0.7983451428262665,0.12365766190749194
"replay regime-scaled IV, 0.5th percentile session (1-in-200)",median premium 2023-01-23,-81.3467491172216,-8134.674911722161,-6.982553658032955,0.1,813.467491172216,81346.7491172216,69.82553658032954,-1.978588656853953,-49860.434152719616,-0.6129370219929767,-1971.8970959737944,-2.424063797721367,-2.0349690046735596,-51281.218917773695,-0.6304028061880736,-2039.376646467099,-2.507016775222737,0.7983451428262665,0.2473153238149839
"proposal 45 stress, last bar +5%",proposal 45 representative day 2020-11-23,-27.865294203053395,-2786.5294203053395,-2.391870776413155,0.05,557.3058840610679,55730.58840610679,47.837415528263094,-1.978588656853953,-49860.434152719616,-0.8946690781261527,-1971.8970959737944,-3.538267139052348,-2.0349690046735596,-51281.218917773695,-0.9201628833359753,-2039.376646467099,-3.659348850950998,0.7983451428262665,0.36099201846965273
"proposal 45 stress, last bar +5%",proposal 45 representative day 2020-11-23,-27.865294203053395,-2786.5294203053395,-2.391870776413155,0.1,278.65294203053395,27865.294203053396,23.918707764131547,-1.978588656853953,-49860.434152719616,-1.7893381562523054,-1971.8970959737944,-7.076534278104696,-2.0349690046735596,-51281.218917773695,-1.8403257666719506,-2039.376646467099,-7.318697701901996,0.7983451428262665,0.7219840369393055
"proposal 45 stress, last bar -5%",proposal 45 representative day 2020-11-23,-305.7312058144976,-30573.120581449763,-26.243022280565842,0.05,6114.624116289952,611462.4116289952,524.8604456113169,-1.978588656853953,-49860.434152719616,-0.08154292595007856,-1971.8970959737944,-0.3224886858900237,-2.0349690046735596,-51281.218917773695,-0.08386651074945972,-2039.376646467099,-0.33352445018394533,0.7983451428262665,0.03290193676112456
"proposal 45 stress, last bar -5%",proposal 45 representative day 2020-11-23,-305.7312058144976,-30573.120581449763,-26.243022280565842,0.1,3057.312058144976,305731.2058144976,262.43022280565845,-1.978588656853953,-49860.434152719616,-0.16308585190015712,-1971.8970959737944,-0.6449773717800474,-2.0349690046735596,-51281.218917773695,-0.16773302149891944,-2039.376646467099,-0.6670489003678907,0.7983451428262665,0.06580387352224912
"proposal 45 stress, mid-day 14:00->14:30 +5%",proposal 45 representative day 2020-11-23,-132.7014620416614,-13270.146204166138,-11.390683576919463,0.05,2654.0292408332275,265402.92408332275,227.81367153838923,-1.978588656853953,-49860.434152719616,-0.1878669359990398,-1971.8970959737944,-0.7429824305005476,-2.0349690046735596,-51281.218917773695,-0.1932202484011595,-2039.376646467099,-0.7684077534228072,0.7983451428262665,0.07580284832470728
"proposal 45 stress, mid-day 14:00->14:30 +5%",proposal 45 representative day 2020-11-23,-132.7014620416614,-13270.146204166138,-11.390683576919463,0.1,1327.0146204166138,132701.46204166138,113.90683576919461,-1.978588656853953,-49860.434152719616,-0.3757338719980796,-1971.8970959737944,-1.4859648610010951,-2.0349690046735596,-51281.218917773695,-0.386440496802319,-2039.376646467099,-1.5368155068456144,0.7983451428262665,0.15160569664941456
"proposal 45 stress, mid-day 14:00->14:30 -5%",proposal 45 representative day 2020-11-23,-201.6932182739606,-20169.32182739606,-17.312722811207337,0.05,4033.864365479212,403386.4365479212,346.25445622414674,-1.978588656853953,-49860.434152719616,-0.12360463722928455,-1971.8970959737944,-0.4888357459038012,-2.0349690046735596,-51281.218917773695,-0.12712678035638816,-2039.376646467099,-0.5055640105105087,0.7983451428262665,0.04987351030289764
"proposal 45 stress, mid-day 14:00->14:30 -5%",proposal 45 representative day 2020-11-23,-201.6932182739606,-20169.32182739606,-17.312722811207337,0.1,2016.932182739606,201693.2182739606,173.12722811207337,-1.978588656853953,-49860.434152719616,-0.2472092744585691,-1971.8970959737944,-0.9776714918076024,-2.0349690046735596,-51281.218917773695,-0.2542535607127763,-2039.376646467099,-1.0111280210210174,0.7983451428262665,0.09974702060579528
