day_role,rep_date,entry_clock,terminal,convention,era,n_sessions,mean_premium_pts,total_mean_pts,total_sd_pts,total_p1_pts,total_min_pts,total_mean_dollars,total_p1_dollars,option_mean_pts,option_sd_pts,option_p1_pts,option_min_pts,option_mean_dollars,option_p1_dollars,hedge_mean_pts,hedge_sd_pts,hedge_p1_pts,hedge_min_pts,hedge_mean_dollars,hedge_p1_dollars,total_mean_units,total_p1_units
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,1998-2007,2493,14.117980752068204,-1.8853446403252445,10.815006127920256,-42.22480122107447,-129.63164505630098,-188.53446403252445,-4222.480122107447,-2.883559225500198,18.120525384695323,-69.53239503459005,-164.30215370485197,-288.3559225500198,-6953.239503459005,0.9982145851749534,15.640861616520093,-37.160545039769,-134.12323205937474,99.82145851749534,-3716.0545039769,-0.11624663545744063,-2.45549078510184
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2008-2009,501,24.55762572794779,-4.754881160596972,29.592859432580827,-119.08605051123897,-397.31390897829425,-475.48811605969723,-11908.605051123897,-5.329922828988845,37.89605564967157,-155.72143342207977,-315.01741780070506,-532.9922828988846,-15572.143342207977,0.5750416683918721,35.20969153976067,-85.55846639447844,-259.64121264618916,57.50416683918721,-8555.846639447844,-0.13318667984553093,-3.399720219801672
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2010-2019,2511,10.566939932157247,1.1245894793393494,8.452547577628701,-26.27597341768908,-130.7430027662283,112.45894793393494,-2627.597341768908,0.4447972726365818,13.178959446214552,-55.613060292511335,-111.01463603314465,44.479727263658184,-5561.306029251134,0.6797922067027676,9.794238751003686,-22.126863606182,-62.56789895132878,67.97922067027676,-2212.6863606182,0.13271432511792292,-2.4930383067289834
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,2020-2024,1088,13.972700276069645,-0.821590181658019,16.337344104191452,-52.89309915063513,-266.87786801370765,-82.1590181658019,-5289.3099150635135,-1.7323852103589479,19.361641527675847,-89.23792820657057,-161.54114265075714,-173.2385210358948,-8923.792820657058,0.910795028700929,16.230022407910603,-37.43173129674135,-173.81908868322148,91.0795028700929,-3743.1731296741345,-0.04949944984263139,-3.387813505228563
p25 premium,2021-05-26,13:30,flatten at 15:30,repriced premium + repriced implied,1998-2007,2493,14.117980752068204,-1.7670517878497467,8.160083396941156,-32.525309440309485,-115.68734278420345,-176.70517878497466,-3252.5309440309484,-2.548507407496919,13.108826909650237,-50.12080638048021,-137.79093467938603,-254.8507407496919,-5012.080638048021,0.7814556196471731,10.779692306698553,-24.047752359136993,-74.78876265773144,78.14556196471732,-2404.7752359136994,-0.11796455881350791,-1.9078290954299046
p25 premium,2021-05-26,13:30,flatten at 15:30,repriced premium + repriced implied,2008-2009,501,24.55762572794779,-2.930320217064684,24.122181739711195,-78.25441518998568,-397.31390899989947,-293.0320217064684,-7825.4415189985675,-2.203507489969999,24.548715030463438,-121.7624353508496,-201.4980973412493,-220.3507489969999,-12176.24353508496,-0.7268127270946845,22.317552057660713,-49.96207821913396,-247.7866128614109,-72.68127270946844,-4996.2078219133955,-0.07940212946676259,-2.317934627107433
p25 premium,2021-05-26,13:30,flatten at 15:30,repriced premium + repriced implied,2010-2019,2511,10.566939932157247,0.6855000262222898,5.803520118181223,-21.681746583671597,-83.96220239545852,68.55000262222897,-2168.1746583671597,0.3482175163304903,9.161752623880796,-35.58370070344975,-108.47611756800731,34.82175163304903,-3558.370070344975,0.33728250989179936,6.7329311829082625,-16.171626712366834,-41.35424008863802,33.728250989179934,-1617.1626712366833,0.07734705704672092,-1.8157600995864474
p25 premium,2021-05-26,13:30,flatten at 15:30,repriced premium + repriced implied,2020-2024,1088,13.972700276069645,-0.14553492285584824,10.034834199279576,-36.44899301820048,-154.41208583770887,-14.553492285584824,-3644.899301820048,-0.5324752091737942,12.050020018625274,-49.60289545852536,-95.70919930948708,-53.24752091737942,-4960.289545852536,0.3869402863179459,10.820329400972666,-32.965188939459715,-126.38784541779852,38.694028631794595,-3296.5188939459713,-0.013151223047265452,-2.4418458069017106
p25 premium,2021-05-26,13:30,hold to cash settlement,"repriced premium, frozen implied",1998-2007,2493,14.117980752068204,-1.8246645531078909,12.199217146888314,-55.0258860160895,-152.19648342772808,-182.4664553107891,-5502.58860160895,-2.883559225500198,18.120525384695323,-69.53239503459005,-164.30215370485197,-288.3559225500198,-6953.239503459005,1.0588946723923072,19.03795072396598,-52.154749912298755,-116.22619274543496,105.88946723923071,-5215.474991229876,-0.11080538898633568,-2.734358224630468
p25 premium,2021-05-26,13:30,hold to cash settlement,"repriced premium, frozen implied",2008-2009,501,24.55762572794779,-4.690707017899118,35.587833051839134,-132.27055801360186,-428.76914355967534,-469.0707017899118,-13227.055801360186,-5.329922828988845,37.89605564967157,-155.72143342207977,-315.01741780070506,-532.9922828988846,-15572.143342207977,0.6392158110897275,43.50689038303142,-117.46295603907916,-291.09644722757025,63.921581108972745,-11746.295603907916,-0.1343468377846678,-4.00592363596858
