day_role,rep_date,entry_clock,terminal,convention,n_sessions,n_rv_fallback,n_premium_clipped_low,n_premium_clipped_high,n_implied_clipped_low,n_implied_clipped_high,mean_premium_pts,median_premium_pts,min_premium_pts,max_premium_pts,mean_hedge_cost_pts,mean_halfspread_pts,mean_pts_net_of_rep_halfspread,total_pts_mean,total_pts_median,total_pts_sd,total_pts_min,total_pts_max,total_pts_p1,total_pts_p0.5,total_pts_p0.1,total_pts_ES_below_p1,total_pts_n_below_p1,total_units_mean,total_units_median,total_units_sd,total_units_min,total_units_max,total_units_p1,total_units_p0.5,total_units_p0.1,total_units_ES_below_p1,total_units_n_below_p1,option_pts_mean,option_pts_median,option_pts_sd,option_pts_min,option_pts_max,option_pts_p1,option_pts_p0.5,option_pts_p0.1,option_pts_ES_below_p1,option_pts_n_below_p1,option_units_mean,option_units_median,option_units_sd,option_units_min,option_units_max,option_units_p1,option_units_p0.5,option_units_p0.1,option_units_ES_below_p1,option_units_n_below_p1,hedge_pts_mean,hedge_pts_median,hedge_pts_sd,hedge_pts_min,hedge_pts_max,hedge_pts_p1,hedge_pts_p0.5,hedge_pts_p0.1,hedge_pts_ES_below_p1,hedge_pts_n_below_p1,hedge_units_mean,hedge_units_median,hedge_units_sd,hedge_units_min,hedge_units_max,hedge_units_p1,hedge_units_p0.5,hedge_units_p0.1,hedge_units_ES_below_p1,hedge_units_n_below_p1,total_dollars_mean,total_dollars_median,total_dollars_sd,total_dollars_min,total_dollars_max,total_dollars_p1,total_dollars_p0.5,total_dollars_p0.1,total_dollars_ES_below_p1,total_dollars_n_below_p1,w1_n,w1_total_pts,w1_n_last_bar,w1_share_n_last_bar,w1_pts_last_bar,w1_share_loss_last_bar,w1_mean_pts_last_bar,w1_n_earlier_bar,w1_share_n_earlier_bar,w1_pts_earlier_bar,w1_share_loss_earlier_bar,w1_mean_pts_earlier_bar,w1_n_whipsaw,w1_share_n_whipsaw,w1_pts_whipsaw,w1_share_loss_whipsaw,w1_mean_pts_whipsaw
p25 premium,2021-05-26,13:30,hold to cash settlement,repriced premium + repriced implied,6593,21,71,7,95,0,13.534867370638327,11.605899676266823,5.133255784107049,69.22784854863947,0.35648793871745077,0.43104652470072713,-1.212542897340305,-0.7814963726395778,1.3452911773775553,13.597867881243522,-397.31390897829425,65.57441003691497,-47.72044391753265,-66.4362516544936,-138.91059543955066,-87.60453327200824,66.0,-0.01170015468765189,0.11602639408401955,0.7630581555019742,-9.966625054923997,0.992810803410398,-2.755760307413329,-3.463992733294216,-6.257978621789863,-4.171773737263384,66.0,-1.6118540336380227,3.0041885888810445,19.086158026306254,-315.01741780070506,69.22784854863947,-75.74570611610993,-98.41015345393609,-158.09587478738013,-113.38296808938708,66.0,-0.07625698209474326,0.2718548775599879,1.222932783577876,-13.420418697690051,1.0,-4.66816190991861,-5.4861830629920565,-9.103661503646006,-6.229016997240482,66.0,0.830357660998445,-0.7223433417088034,16.32483704523413,-259.64121264618916,274.9717932391983,-37.42944177036673,-51.520519148172035,-109.91592318639874,-66.18901748850864,66.0,0.06455682740709137,-0.07159442289955247,0.9848444282628364,-7.375200363338537,8.591768996689307,-2.2764219286703633,-2.805722298530443,-4.583603541031399,-3.166816104529998,66.0,-78.14963726395777,134.52911773775554,1359.7867881243521,-39731.39089782943,6557.441003691497,-4772.044391753265,-6643.62516544936,-13891.059543955067,-8760.453327200825,66.0,66.0,-5781.899195952544,37.0,0.5606060606060606,-3214.739813451003,0.5560006676874255,-86.88485982300008,9.0,0.13636363636363635,-733.297910131991,0.12682647781983394,-81.47754557022122,20.0,0.30303030303030304,-1833.8614723695496,0.3171728544927405,-91.69307361847748
p25 premium,2021-05-26,13:30,flatten at 15:30,repriced premium + repriced implied,6593,21,71,7,95,0,13.534867370638327,11.605899676266823,5.133255784107049,69.22784854863947,0.26808629110574034,0.43104652470072713,-1.0848311396077224,-0.6537846149069952,1.4370564826040466,10.016243501541076,-397.31390899989947,31.846888884496057,-34.63595878233522,-44.48836584162935,-92.02962125536385,-59.985235439173806,66.0,-0.023351461006526908,0.12830842148730112,0.5694593177695699,-9.342984104372011,0.6097092387414559,-2.072423992724592,-2.6981675032709003,-4.406483093899711,-3.1461433337709033,66.0,-1.0863559932413192,2.892831844885734,12.973577888879543,-201.4980973412493,32.952079598212535,-50.111998221325926,-62.91945285751873,-124.34969678885159,-77.18475362258191,66.0,-0.0633522741916765,0.2657248656804974,0.8789254769654091,-10.98149014025681,0.6588475025993701,-3.3823761049066796,-4.169087042790876,-6.794111416492426,-4.851402174740819,66.0,0.43257137833432413,-0.39993194223842127,10.88236266448301,-247.7866128614109,156.6713300884526,-25.806360380846677,-39.63619032974356,-68.23648173830927,-47.46997861489169,66.0,0.04000081318514957,-0.03639897037183095,0.6835996314479381,-7.647326466177082,8.20419989963018,-1.6263958226316195,-1.9525840694579764,-3.1680481795876037,-2.3561496860385427,66.0,-65.37846149069951,143.70564826040467,1001.6243501541077,-39731.39089998994,3184.6888884496057,-3463.5958782335224,-4448.836584162935,-9202.962125536385,-5998.523543917381,66.0,66.0,-3959.0255389854706,13.0,0.19696969696969696,-584.9960787713027,0.14776264336026795,-44.999698367023285,20.0,0.30303030303030304,-1164.1962394528393,0.2940613107919413,-58.209811972641965,33.0,0.5,-2209.8332207613294,0.558176045847791,-66.96464305337362
p25 premium,2021-05-26,13:30,hold to cash settlement,"repriced premium, frozen implied",6593,21,71,7,0,0,13.534867370638327,11.605899676266823,5.133255784107049,69.22784854863947,0.4248930579639817,0.43104652470072713,-1.1039004724519685,-0.6728539477512415,2.0467498674632694,15.695348166848643,-428.76914355967534,57.73738358733098,-57.44158367659072,-77.58123726455369,-159.7962096005949,-103.59470142474851,66.0,-0.006248210887856153,0.1769773043844232,0.8137313056426724,-11.402182474520624,0.9921224916823707,-3.065391050084317,-4.035808276241435,-7.01917914470728,-4.635621929348762,66.0,-1.6118540336380227,3.0041885888810445,19.086158026306254,-315.01741780070506,69.22784854863947,-75.74570611610993,-98.41015345393609,-158.09587478738013,-113.38296808938708,66.0,-0.07625698209474326,0.2718548775599879,1.222932783577876,-13.420418697690051,1.0,-4.66816190991861,-5.4861830629920565,-9.103661503646006,-6.229016997240482,66.0,0.9390000858867814,-0.6777665336249628,19.913067768441383,-291.09644722757025,324.57355163236394,-50.577374352190546,-66.70131546329779,-116.7307921692418,-84.50915978362245,66.0,0.07000877120688713,-0.06901613223943737,1.1036845257629933,-6.956660760205402,8.558870996292335,-2.4811733003679577,-3.357941907051602,-5.244276469107381,-3.6448707038426718,66.0,-67.28539477512413,204.67498674632694,1569.5348166848642,-42876.914355967536,5773.738358733098,-5744.158367659072,-7758.123726455369,-15979.620960059488,-10359.470142474851,66.0,66.0,-6837.2502940334025,37.0,0.5606060606060606,-3730.447471457088,0.5456063930718613,-100.82290463397536,9.0,0.13636363636363635,-935.1245408369061,0.13676909585319003,-103.90272675965623,20.0,0.30303030303030304,-2171.678281739408,0.31762451107494855,-108.5839140869704
p25 premium,2021-05-26,13:30,flatten at 15:30,"repriced premium, frozen implied",6593,21,71,7,0,0,13.534867370638327,11.605899676266823,5.133255784107049,69.22784854863947,0.33818328804922126,0.43104652470072713,0.2650687798682092,0.6961153045689363,2.1406813217697445,12.182013423728018,-428.76914355967534,57.33095724425231,-39.44171652194263,-58.28032522162723,-114.5595962130423,-75.27473307118252,66.0,0.04760353152247617,0.21037085644655568,0.629494529906219,-11.40218247449665,0.8404886181978258,-2.313993818246951,-2.995996399260069,-4.8636452524006915,-3.5182852710439088,66.0,0.19764377471382452,3.0356056955381394,14.103613548577531,-201.4980973412493,60.65819350964702,-50.111997537940844,-62.903877806920654,-124.34951449840536,-77.18325373952626,66.0,0.0032158554383803677,0.3242468675445985,0.9187997605161975,-10.98149014025681,0.9474470534300186,-3.3823760971815684,-4.169087042781862,-6.794111416492426,-4.851402179100256,66.0,0.4984715298551118,-0.38772204164149626,14.38761532639353,-279.2418474278204,206.27308846266266,-39.32615708446274,-53.121755737188806,-102.97889543881226,-66.84962267110829,66.0,0.04438767608409581,-0.03926285677374035,0.8031278733482192,-9.706580175403449,8.156846955243587,-1.9337025063814135,-2.3510514570940426,-4.039870427880079,-2.8342514085828783,66.0,69.61153045689363,214.06813217697444,1218.2013423728017,-42876.914355967536,5733.095724425231,-3944.171652194263,-5828.032522162724,-11455.95962130423,-7527.473307118253,66.0,66.0,-4968.132382698048,15.0,0.22727272727272727,-941.5214500886341,0.18951215015275444,-62.7680966725756,19.0,0.2878787878787879,-1433.096638265125,0.28845782033828415,-75.42613885605921,32.0,0.48484848484848486,-2593.5142943442875,0.5220300295089612,-81.04732169825898
p25 premium,2021-05-26,13:30,hold to cash settlement,49 frozen (reproduced),6593,21,0,0,0,0,7.6000001430511475,7.6000001430511475,7.6000001430511475,7.6000001430511475,0.4248930579639817,0.2420381049683478,-6.8497592803067695,-6.607721175338422,-2.6319946734462554,18.320526520119326,-467.655048360077,7.530320832302195,-77.57004473343672,-100.44585851949604,-186.6130336688873,-127.9189863135549,66.0,-0.8417479178687374,-0.3352859446436198,2.3338250273218604,-59.573891329901244,0.9592765362332816,-9.881534330935361,-12.795650727952097,-23.772360904727396,-16.29541221975057,66.0,-7.546721261225204,-0.9678234021994285,21.487199841809655,-366.0193195520915,7.6000001430511475,-90.05035198676552,-120.73190937564428,-194.94983644611656,-138.89729112174342,66.0,-0.9613657628413321,-0.12328960500127073,2.7372229014712324,-46.62666476948091,0.9681528815246604,-11.4713823838556,-15.379861020249658,-24.83437399414254,-17.693922382151268,66.0,0.9390000858867814,-0.6777665336249628,19.913067768441383,-291.09644722757025,324.57355163236394,-50.577374352190546,-66.70131546329779,-116.7307921692418,-84.50915978362245,66.0,0.11961784497259485,-0.08633968554986805,2.5366965233072385,-37.08234985266983,41.34694912695234,-6.442977604914393,-8.496982835759736,-14.870164562383367,-10.765498028911207,66.0,-660.7721175338421,-263.19946734462553,1832.0526520119327,-46765.5048360077,753.0320832302195,-7757.004473343671,-10044.585851949603,-18661.303366888733,-12791.898631355489,66.0,66.0,-8442.653096694623,39.0,0.5909090909090909,-4803.752766056775,0.5689861600422134,-123.17314784760961,9.0,0.13636363636363635,-1140.0967371633162,0.13504010221735566,-126.67741524036848,18.0,0.2727272727272727,-2498.80359347453,0.29597373774043073,-138.8224218596961
p25 premium,2021-05-26,13:30,flatten at 15:30,49 frozen (reproduced),6593,21,0,0,0,0,7.6000001430511475,7.6000001430511475,7.6000001430511475,7.6000001430511475,0.33818328804922126,0.2420381049683478,-5.4807900279865915,-5.238751923018244,-1.8212215103090754,14.202164009047602,-467.655048360077,4.2489275134189395,-57.33149079571539,-78.32230615454876,-150.4292459537386,-98.90210237144741,66.0,-0.6673569308416833,-0.23200273946212727,1.8091928618997557,-59.573891329901244,0.5412646497470299,-7.303374601476354,-9.977363811040748,-19.162961209790826,-12.598993894403055,66.0,-5.737223452873357,0.08551722103402426,15.768297170032996,-247.7188563823902,4.412703303395574,-65.94409296820609,-83.7895776656317,-153.23564005367706,-98.47909222704492,66.0,-0.7308564885921502,0.010893913474432245,2.0087002703365413,-31.556542118474344,0.5621278076424717,-8.400521371709816,-10.67383151734366,-19.520463641818207,-12.545107251967675,66.0,0.4984715298551118,-0.38772204164149626,14.38761532639353,-279.2418474278204,206.27308846266266,-39.32615708446274,-53.121755737188806,-102.97889543881226,-66.84962267110829,66.0,0.06349955775046678,-0.049391342734256674,1.8328172334644284,-35.57220975537743,26.27682647594577,-5.009701524206643,-6.767102621127199,-13.118330589305335,-8.515875473639998,66.0,-523.8751923018244,-182.12215103090753,1420.2164009047601,-46765.5048360077,424.8927513418939,-5733.149079571539,-7832.230615454876,-15042.924595373857,-9890.21023714474,66.0,66.0,-6527.53875651553,16.0,0.24242424242424243,-1549.0098828031423,0.23730382010478027,-96.8131176751964,16.0,0.24242424242424243,-1604.5701797573267,0.24581549640830683,-100.28563623483292,34.0,0.5151515151515151,-3373.95869395506,0.5168806834869129,-99.23407923397235
median premium,2023-01-23,13:30,hold to cash settlement,repriced premium + repriced implied,6593,21,71,7,95,0,12.99489849587234,11.142886303676592,4.928466311574556,66.466027360471,0.31860910300896034,0.1673161321356636,-0.7090664688990655,-0.5417503367634019,1.4245635507663739,12.951786339406455,-359.791818334588,61.597874216216454,-44.57138200650524,-61.74996662031435,-130.3796260438268,-82.4388093594856,66.0,0.011884049203431462,0.12685095107456104,0.7663630999191618,-9.565413207617281,1.0304213209050197,-2.6728797760986143,-3.3898301243328848,-6.133639271993441,-4.051905349626428,66.0,-1.2606067173807531,3.4559847048520727,18.389503360279644,-299.8923520813722,66.466027360471,-72.79520575568603,-93.19204644705971,-149.23114001087256,-108.40018254771894,66.0,-0.047043458095476644,0.3244214074359784,1.2377757935313736,-13.744716014133836,1.0,-4.6903573641324785,-5.494757807165092,-9.235861750061582,-6.2934253313808375,66.0,0.718856380617351,-0.737476382309893,15.141801448738827,-230.16908110460403,266.5737628122881,-34.825173664271624,-47.3209438111461,-103.65261519335327,-60.93255092052905,66.0,0.05892750729890813,-0.07421708598160555,0.9619370389263823,-7.161440066525409,9.149079697764947,-2.2190184451752177,-2.7692407961736687,-4.289180590494652,-3.0654955043679784,66.0,-54.175033676340206,142.45635507663738,1295.1786339406456,-35979.1818334588,6159.787421621645,-4457.138200650524,-6174.996662031435,-13037.96260438268,-8243.88093594856,66.0,66.0,-5440.96141772605,36.0,0.5454545454545454,-3007.571846254747,0.5527647809551471,-83.5436623959652,11.0,0.16666666666666666,-785.4030099931095,0.14435004215143918,-71.40027363573724,19.0,0.2878787878787879,-1647.9865614781934,0.30288517689341365,-86.73613481464176
median premium,2023-01-23,13:30,flatten at 15:30,repriced premium + repriced implied,6593,21,71,7,95,0,12.99489849587234,11.142886303676592,4.928466311574556,66.466027360471,0.23041170882002027,0.1673161321356636,-1.2492527062813397,-1.0819365741456761,1.086125316748829,9.307925279167712,-359.79182040247224,26.34029287454681,-33.09225166438376,-43.59947897598828,-85.24598322087604,-56.93991400209174,66.0,-0.054923134582971475,0.09634047012673116,0.5538994817478022,-8.821508865940187,0.5685158800268273,-2.084541235577126,-2.524197620495135,-4.047115214932137,-3.0579620713022244,66.0,-1.4243991503686941,2.570118862034805,12.172820729325585,-195.81748110058737,27.49069010077072,-47.681992886683524,-62.011784564413595,-117.28622094301717,-73.45140584486114,66.0,-0.08894390021377756,0.24394137733532786,0.8633494495376989,-11.230127836664026,0.5875650430541971,-3.5376374203856145,-4.378136564979132,-6.657953666387841,-4.885022167594897,66.0,0.342462576223018,-0.41372057415582564,9.960985048209768,-218.78741780332308,152.99285836147172,-25.53898224160927,-34.92053287487514,-69.22494233556729,-42.91000959305358,66.0,0.03402076563080608,-0.04163297571965525,0.6609575771465064,-6.977135727486713,8.729739265524357,-1.5559043105247752,-1.932556714762053,-3.091046492980009,-2.2526926765683695,66.0,-108.19365741456761,108.61253167488289,930.7925279167712,-35979.18204024722,2634.0292874546813,-3309.225166438376,-4359.947897598828,-8524.598322087604,-5693.991400209175,66.0,66.0,-3758.0343241380547,15.0,0.22727272727272727,-659.5772212046563,0.1755112285612073,-43.97181474697709,19.0,0.2878787878787879,-1079.3444474477835,0.28720984279337114,-56.807602497251764,32.0,0.48484848484848486,-2019.1126554856144,0.5372789286454214,-63.09727048392545
median premium,2023-01-23,13:30,hold to cash settlement,"repriced premium, frozen implied",6593,21,71,7,0,0,12.99489849587234,11.142886303676592,4.928466311574556,66.466027360471,0.32272158620847374,0.1673161321356636,-0.6510062931172755,-0.4836901609816119,1.7999136313596544,14.395972029574732,-398.86135340880946,55.966005168666854,-50.28940033958825,-69.94088117247247,-144.56074977516673,-93.47431144413862,66.0,0.012350149710312048,0.15204087357181748,0.7994359400190022,-9.811919851424694,1.013117952142769,-2.8430984225040556,-3.650231967133507,-6.482459105988074,-4.2737989911016285,66.0,-1.2606067173807531,3.4559847048520727,18.389503360279644,-299.8923520813722,66.466027360471,-72.79520575568603,-93.19204644705971,-149.23114001087256,-108.40018254771894,66.0,-0.047043458095476644,0.3244214074359784,1.2377757935313736,-13.744716014133836,1.0,-4.6903573641324785,-5.494757807165092,-9.235861750061582,-6.2934253313808375,66.0,0.7769165563991411,-0.5959484439098368,17.509103902302666,-270.64138693371416,303.80343866266077,-42.26889297000103,-57.1422768073377,-118.13332653573383,-75.27938736866838,66.0,0.059393607805788694,-0.06637192518733656,0.9681411356627971,-6.988056806467126,8.517299016512109,-2.1605476747484205,-2.9316227541479924,-4.569151024214742,-3.217211631972638,66.0,-48.369016098161175,179.99136313596546,1439.5972029574732,-39886.135340880945,5596.600516866685,-5028.940033958825,-6994.088117247247,-14456.074977516673,-9347.431144413862,66.0,66.0,-6169.304555313148,36.0,0.5454545454545454,-3372.5102278675554,0.5466597081778158,-93.68083966298765,10.0,0.15151515151515152,-860.3992668445477,0.13946454728086846,-86.03992668445477,20.0,0.30303030303030304,-1936.3950606010455,0.31387574454131584,-96.81975303005228
median premium,2023-01-23,13:30,flatten at 15:30,"repriced premium, frozen implied",6593,21,71,7,0,0,12.99489849587234,11.142886303676592,4.928466311574556,66.466027360471,0.23774280793008487,0.1673161321356636,-1.0729963059457093,-0.9056801738100457,0.0553564966804907,10.774664439772026,-398.86135340880946,53.55636366547635,-37.083356482353025,-50.47788978284135,-94.79784833378031,-65.66671794939607,66.0,-0.11832557653631161,0.005004234580426181,0.5793619008784657,-9.811897649541905,0.8057704934735974,-2.1599151910986794,-2.8160247721477307,-4.101688719685828,-3.3061800626717965,66.0,-1.2619830326203636,0.874892115665725,12.901511291035348,-195.81748110058737,55.77562977252113,-47.68199237946479,-62.010154628977965,-117.28421470573949,-73.44513963996938,66.0,-0.15126197222828222,0.09556573636900666,0.8570690401823554,-11.230127836664026,0.9007978519237092,-3.53764885986733,-4.378139883921617,-6.657953731182316,-4.885098974544674,66.0,0.3563028588103179,-0.33355890208628386,12.180199289961468,-257.8569515574837,190.2225317496107,-32.48735448073776,-45.293444425772236,-91.76998767039095,-57.096736377256235,66.0,0.032936395691970606,-0.037156268538572845,0.6750846038110945,-7.967685514306448,8.678270439415625,-1.655478034886221,-2.0700158616829967,-3.36840040101453,-2.4543649844929702,66.0,-90.56801738100458,5.53564966804907,1077.4664439772027,-39886.135340880945,5355.636366547635,-3708.335648235303,-5047.788978284135,-9479.784833378031,-6566.671794939606,66.0,66.0,-4334.00338466014,18.0,0.2727272727272727,-926.5887741029728,0.21379512009209778,-51.47715411683183,17.0,0.25757575757575757,-1145.1922969364798,0.26423428763110723,-67.3642527609694,31.0,0.4696969696969697,-2262.2223136206867,0.5219705922767949,-72.97491334260279
