entry,flatten,signal,tercile_of_s_over_median,n,z_mean,G_ask_mean_pts,G_ask_t_hac,G_mid_mean_pts,frac_G_positive
11:00,15:00,stale,low (rich),267,-2.4241672315850242,-1.246974190626385,-4.337297507409967,-0.7896708460857242,0.2397003745318352
11:00,15:00,stale,middle,267,-0.3850492737139791,-1.1013535901852085,-5.2162992615094,-0.8297244052472739,0.18726591760299627
11:00,15:00,stale,high (cheap),268,0.9294671282609116,-0.790284020394549,-2.6789100295928225,-0.4994258062225288,0.24253731343283583
11:00,15:00,stale,"spearman(z, G)",802,0.0767152342696321,,,,
11:00,15:00,fresh,low (rich),267,-2.8403170603524264,-1.4190663356114812,-4.816556168283171,-0.9772124472995661,0.2247191011235955
11:00,15:00,fresh,middle,267,-0.5669940009388693,-0.9424928793593573,-4.002458869903954,-0.6574741357331142,0.20224719101123595
11:00,15:00,fresh,high (cheap),268,0.45804975866044517,-0.7771019572582866,-2.851420560972512,-0.48419153173068147,0.24253731343283583
11:00,15:00,fresh,"spearman(z, G)",802,0.10392516058280844,,,,
11:00,15:30,stale,low (rich),267,-2.3348722146127114,-1.2502805725993633,-3.810501617183248,-0.7444754048147352,0.2209737827715356
11:00,15:30,stale,middle,267,-0.5841880787257345,-0.6890127262820142,-3.1232960911946903,-0.36607262878113356,0.18726591760299627
11:00,15:30,stale,high (cheap),268,0.06497471337342468,-0.352651974376907,-1.8246732577021278,-0.0674840525628403,0.25
11:00,15:30,stale,"spearman(z, G)",802,0.15126096075523338,,,,
11:00,15:30,fresh,low (rich),267,-3.3243955978577295,-1.0682926770832302,-3.54259546004989,-0.6108957254222142,0.21348314606741572
11:00,15:30,fresh,middle,267,-0.2989967368249901,-0.7218716423315643,-3.8991940334319364,-0.41110385084297624,0.19101123595505617
11:00,15:30,fresh,high (cheap),268,1.107344809754503,-0.5012245024275701,-1.9345123028204843,-0.15570210520198652,0.2537313432835821
11:00,15:30,fresh,"spearman(z, G)",802,0.11443749663346124,,,,
13:30,15:00,stale,low (rich),268,-2.42017703385536,-1.0094800961520536,-2.388306692988957,-0.6106927773328372,0.3358208955223881
13:30,15:00,stale,middle,267,-0.38276677228118994,-1.0262576365638807,-4.5715800501658395,-0.8123999679270465,0.2883895131086142
13:30,15:00,stale,high (cheap),268,0.9358685740048203,-0.8724653514551783,-2.641945091994078,-0.6273160901161806,0.2835820895522388
13:30,15:00,stale,"spearman(z, G)",803,0.028046647011400336,,,,
13:30,15:00,fresh,low (rich),268,-2.825302690636772,-1.4880637427885501,-3.4701640593834306,-1.1251906106703455,0.2947761194029851
13:30,15:00,fresh,middle,267,-0.5634961760301732,-0.6127236491729932,-2.279884698633383,-0.37264872848521075,0.3146067415730337
13:30,15:00,fresh,high (cheap),268,0.48569196864786873,-0.8058726549431855,-2.53568075947077,-0.5509286333867702,0.29850746268656714
13:30,15:00,fresh,"spearman(z, G)",803,0.10128590625441936,,,,
13:30,15:30,stale,low (rich),268,-2.3355612654878795,-1.1052065298869125,-3.0340010239854527,-0.6753558037000724,0.26119402985074625
13:30,15:30,stale,middle,267,-0.5827680422816317,-0.520919317259852,-1.8933351271399437,-0.2659567721832367,0.24719101123595505
13:30,15:30,stale,high (cheap),268,0.06930817477612113,-0.14337632716938967,-0.5537405318947614,0.09617592870341414,0.26865671641791045
13:30,15:30,stale,"spearman(z, G)",803,0.12706530823551704,,,,
13:30,15:30,fresh,low (rich),268,-3.3103576124995335,-1.2847396818812609,-3.788758297034835,-0.9065680381872601,0.23134328358208955
13:30,15:30,fresh,middle,267,-0.29854580400981634,-0.6258891363745478,-2.9972696593419528,-0.37869812824300136,0.2546816479400749
13:30,15:30,fresh,high (cheap),268,1.1057834739518417,0.14073496551012216,0.39680674035157,0.4397088425486508,0.291044776119403
13:30,15:30,fresh,"spearman(z, G)",803,0.15846202137451115,,,,
