rule,part,mean_weight,ann_growth,ann_vol,Sharpe,max_drawdown,worst_20,worst_day,weight_changes_per_year,dSharpe_lo,dSharpe_hi
buy and hold,whole,1.0,0.06515072541914324,0.19491438707780426,0.42147987338341025,-0.5677538774277283,-0.309439016740319,-0.11984055240393414,0.0,0.0,0.0
buy and hold,to 2011-03-17,1.0,0.02132746349129966,0.21419456210057078,0.20560804043522612,-0.5677538774277283,-0.2816010179905727,-0.09034977808622592,,,
buy and hold,from 2011-03-18,1.0,0.11085436201098697,0.17350483576483566,0.6931498920868139,-0.3392496000265325,-0.309439016740319,-0.11984055240393414,,,
BRK L0 (from the prior close),whole,0.9553110773899848,0.06410529313700097,0.159651609206076,0.4692002545220646,-0.5659985390755402,-0.16882534648589115,-0.06801408216529653,2.0649468892261003,-0.11347944400143622,0.23647938507198168
BRK L0 (from the prior close),to 2011-03-17,0.9344461305007588,0.024447706411430792,0.16936419365637406,0.22736010673424176,-0.5659985390755402,-0.16882534648589115,-0.06801408216529653,,,
BRK L0 (from the prior close),from 2011-03-18,0.9761760242792109,0.10529807211792352,0.1492992317293405,0.7455530005928972,-0.2552543851643311,-0.15159647346877128,-0.06663446415643753,,,
BRK L1 (a session late),whole,0.9553110773899848,0.06085047825588097,0.16079407955697078,0.44794681815769266,-0.5696885565219614,-0.16882534648589115,-0.06801408216529653,2.0649468892261003,-0.13346489018435076,0.21013638098738333
BRK L1 (a session late),to 2011-03-17,0.9344461305007588,0.021690904348513396,0.17069601927041408,0.21111876090402737,-0.5696885565219614,-0.16882534648589115,-0.06801408216529653,,,
BRK L1 (a session late),from 2011-03-18,0.9761760242792109,0.10151096816639571,0.15023284237318438,0.7189989808243189,-0.25036348710172784,-0.16518856304599866,-0.06663446415643753,,,
VM L0 (from the prior close),whole,0.9175992472703051,0.06026455958205257,0.145377221845211,0.47537251722144563,-0.48908356225977867,-0.15064578685063174,-0.06801408216529653,85.00698027314112,-0.06698157765293741,0.1794709614785272
VM L0 (from the prior close),to 2011-03-17,0.9169178739842485,0.028224191064417203,0.16196012542949412,0.25290879625441093,-0.48908356225977867,-0.1394771136257796,-0.06801408216529653,,,
VM L0 (from the prior close),from 2011-03-18,0.9182806205563617,0.09330333411237213,0.12664168895377495,0.7679582626408997,-0.21529083342512656,-0.15064578685063212,-0.04097922480422794,,,
VM L1 (a session late),whole,0.9175992472703051,0.05991784477526996,0.14692640377846902,0.4696873610840293,-0.49022655648845614,-0.14472282773520567,-0.06801408216529653,85.00698027314112,-0.0748483719139948,0.18108900017252078
VM L1 (a session late),to 2011-03-17,0.917020634811913,0.027902643294128726,0.16313122496442692,0.25033308149861444,-0.49022655648845614,-0.14472282773520567,-0.06801408216529653,,,
VM L1 (a session late),from 2011-03-18,0.9181778597286973,0.09293019626138932,0.1286980663254292,0.7551147446833137,-0.23178718064870318,-0.14161909047726454,-0.0546170346997451,,,
MA200 L0 (from the prior close),whole,0.7224582701062215,0.04678442619393586,0.11852048212460913,0.44525520543583147,-0.28281011691931424,-0.17403899126388134,-0.06801408216529653,7.571471927162367,-0.2723201419960354,0.3164141470779309
MA200 L0 (from the prior close),to 2011-03-17,0.629742033383915,0.03211717609783182,0.1225509927437431,0.3193637465210342,-0.28281011691931424,-0.1394771136257796,-0.06801408216529653,,,
MA200 L0 (from the prior close),from 2011-03-18,0.8151745068285281,0.061660110206618546,0.11436018698300579,0.5806686820199707,-0.19670080830884784,-0.17403899126388134,-0.058944059274438035,,,
MA200 L1 (a session late),whole,0.7224582701062215,0.05736180200946239,0.1185059926022094,0.5301366403884514,-0.2306513631921906,-0.1394771136257796,-0.06801408216529653,7.571471927162367,-0.18921544629996118,0.3980191955708178
MA200 L1 (a session late),to 2011-03-17,0.629742033383915,0.04329525928858957,0.12197556106099508,0.40862550999766767,-0.2266034671600845,-0.1394771136257796,-0.06801408216529653,,,
MA200 L1 (a session late),from 2011-03-18,0.8151745068285281,0.07161800113139405,0.11494445835012389,0.6595047104520585,-0.23065136319218982,-0.10624492041096406,-0.058944059274438035,,,
