,s,r_mid,r_ask,r_bid,sign_crossed,"size_(i) rank of s, trailing 252","crossed_(i) rank of s, trailing 252",size_(ii) top trailing quintile x2,crossed_(ii) top trailing quintile x2,"size_(iii) Kelly by s-quintile, expanding","crossed_(iii) Kelly by s-quintile, expanding",size_(iv) month-end x2,crossed_(iv) month-end x2,tag
2021-08-11,-1.2811461541992173e-07,0.8174342713417679,0.7265625,0.9184027438975662,-0.9184027438975662,-1.0,-0.9184027438975662,-1.0,-0.9184027438975662,-1.0,-0.9184027438975662,-1.0,-0.9184027438975662,sub_live_ridge
2021-08-13,-3.596252179141241e-07,0.6438356271759165,0.5384615008412508,0.7647058328542755,-0.7647058328542755,-1.0,-0.7647058328542755,-1.0,-0.7647058328542755,-1.0,-0.7647058328542755,-1.0,-0.7647058328542755,sub_live_ridge
2021-08-16,-4.308466461019421e-07,1.0478090926470491,0.9624836459762396,1.140891520837569,-1.140891520837569,-1.0,-1.140891520837569,-1.0,-1.140891520837569,-1.0,-1.140891520837569,-1.0,-1.140891520837569,sub_live_ridge
2021-08-18,-1.3929087315338385e-06,2.6878468823271935,2.5872691761363638,2.7942271523925766,-2.7942271523925766,-1.0,-2.7942271523925766,-1.0,-2.7942271523925766,-1.0,-2.7942271523925766,-1.0,-2.7942271523925766,sub_live_ridge
2021-08-20,1.626886540671789e-08,-1.0,-1.0,-1.0,-1.0,0.021052631578947368,-0.021052631578947368,0.8333333333333334,-0.8333333333333334,0.7651991731917392,-0.7651991731917392,0.9545454545454545,-0.9545454545454545,sub_live_ridge
2021-08-23,3.832621037596692e-08,1.5150413626098933,1.4312065972222223,1.604864329604391,1.4312065972222223,0.0625,0.0894504123263889,0.8333333333333334,1.192672164351852,0.7651991731917392,1.095158104861007,0.9545454545454545,1.3661517518939394,sub_live_ridge
2021-08-25,3.020916994606577e-08,-1.0,-1.0,-1.0,-1.0,0.041666666666666664,-0.041666666666666664,0.8333333333333334,-0.8333333333333334,0.7651991731917392,-0.7651991731917392,0.9545454545454545,-0.9545454545454545,sub_live_ridge
2021-08-27,1.0058721035863917e-07,-0.6850585843640145,-0.7000557899500434,-0.6684827261031643,-0.7000557899500434,0.18556701030927836,-0.1299072599907297,0.8333333333333334,-0.5833798249583695,0.7651991731917392,-0.5356821116578631,0.9545454545454545,-0.6682350722250413,sub_live_ridge
2021-08-30,-9.003145108083409e-08,-0.2985733550232048,-0.34596706923965415,-0.24377442533113913,0.24377442533113913,-1.0,0.24377442533113913,-1.0,0.24377442533113913,-1.0,0.24377442533113913,-1.0,0.24377442533113913,sub_live_ridge
2021-08-31,1.6215406587304494e-07,-0.059587472710223355,-0.09146577812232182,-0.025390625,-0.09146577812232182,0.2708333333333333,-0.02477198157479549,0.8333333333333334,-0.07622148176860152,0.7651991731917392,-0.06998953779453973,1.909090909090909,-0.17461648550625072,sub_live_ridge
