,sign(s),tail: p-hat > break-even p*,tail: p-hat > trailing top quintile,sign(s) AND p-hat > trailing median,sign(s) OR break-even
2021-08-11,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662,-0.9184027438975662
2021-08-13,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755,-0.7647058328542755
2021-08-16,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569,-1.140891520837569
2021-08-18,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766,-2.7942271523925766
2021-08-20,1.0,1.0,1.0,1.0,1.0
2021-08-23,1.4312065972222223,-1.604864329604391,-1.604864329604391,-1.604864329604391,0.9023736610052137
2021-08-25,1.0,1.0,1.0,1.0,1.0
2021-08-27,-0.7000557899500434,0.6684827261031643,0.6684827261031643,0.6684827261031643,-0.4413841490887371
2021-08-30,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913,0.24377442533113913
2021-08-31,0.025390625,0.025390625,0.025390625,0.025390625,0.025390625
2021-09-01,-0.5209703887258127,0.44839018339734027,0.44839018339734027,0.44839018339734027,-0.3284710662054245
2021-09-03,1.0,1.0,1.0,1.0,1.0
2021-09-07,-1.0,1.0,1.0,1.0,-0.6304985337243403
2021-09-08,-1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2021-09-10,-1.3305964824595926,-1.3305964824595926,-1.3305964824595926,-1.3305964824595926,-1.3305964824595926
2021-09-13,-0.3456174397256898,0.3092628883562638,0.3092628883562638,0.3092628883562638,-0.21791128897660797
2021-09-15,-1.0,1.0,1.0,1.0,-0.6304985337243403
2021-09-17,1.0,1.0,1.0,1.0,1.0
2021-09-20,1.9817182688206851,-2.1157282761017995,-2.1157282761017995,-2.1157282761017995,1.24947046274618
2021-09-22,-0.12769434532040647,-0.12769434532040647,-0.12769434532040647,-0.12769434532040647,-0.12769434532040647
2021-09-24,1.0,1.0,1.0,1.0,1.0
2021-09-27,0.36995442708333337,-0.34793457253985977,0.36995442708333337,0.36995442708333337,-0.2693687013211818
2021-09-29,-1.4666727923840481,1.0745185965353963,-1.4666727923840481,-1.4666727923840481,0.8318853650596618
2021-09-30,-1.590562259365936,-1.590562259365936,-1.590562259365936,-1.590562259365936,-1.590562259365936
2021-10-01,0.6155894791142222,-0.5167921943548349,0.6155894791142222,0.6155894791142222,-0.40009718272632383
2021-10-04,0.41290737791224474,0.41290737791224474,0.41290737791224474,0.41290737791224474,0.41290737791224474
2021-10-06,-0.13997395833333326,0.055969700668797355,-0.13997395833333326,-0.13997395833333326,0.04333138116293989
2021-10-08,-0.6654147245485864,-0.6654147245485864,-0.6654147245485864,-0.6654147245485864,-0.6654147245485864
2021-10-11,-0.5189755696600693,-0.5189755696600693,-0.5189755696600693,-0.5189755696600693,-0.5189755696600693
2021-10-13,0.35596526556275354,-0.32319746087133805,0.35596526556275354,0.35596526556275354,-0.25021738906168106
2021-10-15,1.0,1.0,1.0,1.0,1.0
2021-10-18,-0.5437622138297228,0.5050979952877175,0.5050979952877175,0.5050979952877175,-0.34284127851434143
2021-10-20,0.5509655232351942,0.5509655232351942,0.5509655232351942,0.5509655232351942,0.5509655232351942
2021-10-22,1.0,1.0,1.0,1.0,1.0
2021-10-25,1.0,1.0,1.0,1.0,1.0
2021-10-27,1.7183314203081048,-1.9274337715134768,-1.9274337715134768,-1.9274337715134768,1.083405440956723
2021-10-29,-1.4423253676470589,-1.4423253676470589,-1.4423253676470589,-1.4423253676470589,-1.4423253676470589
2021-11-01,0.1838458025484948,-0.3106862946451532,-0.3106862946451532,-0.3106862946451532,0.11591450893820056
2021-11-03,-0.3752651744293789,-0.3752651744293789,-0.3752651744293789,-0.3752651744293789,-0.3752651744293789
2021-11-05,0.503963685577312,0.503963685577312,0.503963685577312,0.503963685577312,0.503963685577312
2021-11-08,1.0,1.0,1.0,1.0,1.0
2021-11-10,1.0,1.0,1.0,1.0,1.0
2021-11-12,1.0,1.0,1.0,1.0,1.0
2021-11-15,1.0,1.0,1.0,1.0,1.0
2021-11-17,0.4884314716203936,0.4884314716203936,0.4884314716203936,0.4884314716203936,0.4884314716203936
2021-11-19,0.489990234375,0.489990234375,0.489990234375,0.489990234375,0.489990234375
2021-11-22,9.742046563081965,-10.954857978662613,-10.954857978662613,-10.954857978662613,6.142346073497428
2021-11-24,-1.0,1.0,1.0,1.0,-0.6304985337243403
2021-11-29,-0.8186879705034769,0.5518193129486302,-0.8186879705034769,-0.8186879705034769,0.42721495196022985
2021-11-30,0.7169811422606722,-0.5962527019127826,0.7169811422606722,0.7169811422606722,-0.461614995029251
2021-12-01,-0.5583793136675759,-0.5583793136675759,-0.5583793136675759,-0.5583793136675759,-0.5583793136675759
2021-12-03,-0.1890435987903225,-0.1890435987903225,-0.1890435987903225,-0.1890435987903225,-0.1890435987903225
2021-12-06,1.0,-0.8143939393939394,1.0,1.0,-0.6304985337243403
2021-12-08,-0.7153033088235294,-0.5825386795343138,0.6936807790142883,0.6936807790142883,-0.4509976873814043
2021-12-10,-1.4282868675573663,-1.4282868675573663,-1.4282868675573663,-1.4282868675573663,-1.4282868675573663
2021-12-13,-0.9350500921634237,-0.9350500921634237,-0.9350500921634237,-0.9350500921634237,-0.9350500921634237
2021-12-15,0.0050406024447586795,0.0050406024447586795,0.0050406024447586795,0.0050406024447586795,0.0050406024447586795
2021-12-17,-0.03308371765037155,-0.03308371765037155,-0.03308371765037155,-0.03308371765037155,-0.03308371765037155
2021-12-20,0.7067942256965596,-0.5866637748711938,0.7067942256965596,0.7067942256965596,-0.4541913095776985
