,w0p5_K_c,w0p5_K_p,w0p5_entry,w0p5_ask,w0p5_pay,w1_K_c,w1_K_p,w1_entry,w1_ask,w1_pay,w2_K_c,w2_K_p,w2_entry,w2_ask,w2_pay
2020-01-03,3255.0,3220.0,0.10000000149011612,0.15000000223517418,0.0,3275.0,3205.0,0.05000000074505806,0.10000000149011612,0.0,3305.0,3170.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-06,3260.0,3220.0,0.05000000074505806,0.10000000149011612,0.0,3275.0,3205.0,0.05000000074505806,0.10000000149011612,0.0,3310.0,3175.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-08,3285.0,3250.0,0.07500000111758709,0.15000000223517418,0.0,3300.0,3230.0,0.05000000074505806,0.10000000149011612,0.0,3335.0,3200.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-10,3285.0,3250.0,0.15000000409781933,0.20000000670552254,0.0,3305.0,3230.0,0.07500000111758709,0.15000000223517418,0.0,3335.0,3200.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-13,3300.0,3265.0,0.07500000111758709,0.15000000223517418,0.0,3320.0,3245.0,0.05000000074505806,0.10000000149011612,0.0,3350.0,3215.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-15,3305.0,3265.0,0.1250000037252903,0.20000000670552254,0.0,3320.0,3250.0,0.05000000074505806,0.10000000149011612,0.0,3355.0,3215.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-17,3345.0,3305.0,0.10000000149011612,0.15000000223517418,0.0,3360.0,3290.0,0.05000000074505806,0.10000000149011612,0.0,3395.0,3255.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-21,3345.0,3305.0,0.05000000074505806,0.10000000149011612,0.0,3360.0,3290.0,0.05000000074505806,0.10000000149011612,0.0,3395.0,3255.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-22,3340.0,3305.0,0.1750000026077032,0.2500000037252903,0.0,3355.0,3285.0,0.05000000074505806,0.10000000149011612,0.0,3390.0,3255.0,0.05000000074505806,0.10000000149011612,0.0
2020-01-24,3315.0,3280.0,0.27500000409781933,0.3500000014901161,0.0,3335.0,3260.0,0.05000000074505806,0.10000000149011612,0.0,3365.0,3230.0,0.05000000074505806,0.10000000149011612,0.0
