era,bars_summed,n,q_a0,q_blk2,dq,dm
all,2,273462,0.1870452638682223,0.19221696092789625,0.005171697059673936,7.7122183264068385
rth,2,63945,0.27016616038275915,0.27099588809640196,0.0008297277136428637,0.5935692913624052
all,4,273510,0.14158844918445096,0.14731644872215205,0.005727999537701081,11.192633086078821
rth,4,63972,0.19635168051345814,0.19907485077265527,0.0027231702591971095,2.384709610928701
all,6,273516,0.12273046563037904,0.12973456983289114,0.007004104202512096,13.930883915699008
rth,6,63972,0.16997642529300663,0.17468986124453123,0.004713435951524596,4.57434254503312
all,8,273520,0.11289592386126389,0.12082234422839264,0.007926420367128768,15.217841845032229
rth,8,63972,0.1555830427333193,0.16212145729789984,0.006538414564580552,6.318174320328417
all,11,273524,0.10493405431432956,0.11344032218512876,0.008506267870799231,15.900227676179354
rth,11,63972,0.14431175921143927,0.15171146672815586,0.007399707516716621,7.714015079093282
