segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1000,reclasso,500,500,all bars,common,3119,2012-03-23,0.1295069399710262,0.11813654519302624,0.011370394777999945,9.624790330055422,-0.005145302131372235,0.041905137364142565,0.8072860981924884,False
bar1000,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.1595135289853862,0.11757588867662526,0.04193764030876094,35.668571831172024,-0.0019157780780873696,0.12283805682628635,1.0711667883820581,False
bar1000,reclasso,500,500,10:00,common,3119,2012-03-23,0.1295069399710262,0.11813654519302624,0.011370394777999945,9.624790330055422,-0.005145302131372235,0.041905137364142565,0.8072860981924884,False
bar1000,reclasso,500,500,10:00,deck period,1116,2020-01-03,0.1595135289853862,0.11757588867662526,0.04193764030876094,35.668571831172024,-0.0019157780780873696,0.12283805682628635,1.0711667883820581,False
bar1000,reclasso,2000,500,all bars,common,1619,2018-01-19,0.13008126682516946,0.12464449003626199,0.005436776788907483,4.361826814266557,-0.005025874462036766,0.019133788006105205,0.9142010462621579,False
bar1000,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.1262425404789693,0.11757588867662526,0.008666651802344034,7.37111315924675,-0.004077247411027437,0.02621744316879229,1.2022736478853358,False
bar1000,reclasso,2000,500,10:00,common,1619,2018-01-19,0.13008126682516946,0.12464449003626199,0.005436776788907483,4.361826814266557,-0.005025874462036766,0.019133788006105205,0.9142010462621579,False
bar1000,reclasso,2000,500,10:00,deck period,1116,2020-01-03,0.1262425404789693,0.11757588867662526,0.008666651802344034,7.37111315924675,-0.004077247411027437,0.02621744316879229,1.2022736478853358,False
bar1000,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.13008126682516946,0.12552679588780144,0.004554470937368057,3.628285821490211,-0.0054232200886570265,0.017430281456256153,0.8050791131466871,False
bar1000,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.1262425404789693,0.12108813403600417,0.005154406442965119,4.2567395096141425,-0.007511900395446459,0.020709819281065103,0.7770537715166219,False
bar1000,reclasso,2000,2000,10:00,common,1619,2018-01-19,0.13008126682516946,0.12552679588780144,0.004554470937368057,3.628285821490211,-0.0054232200886570265,0.017430281456256153,0.8050791131466871,False
bar1000,reclasso,2000,2000,10:00,deck period,1116,2020-01-03,0.1262425404789693,0.12108813403600417,0.005154406442965119,4.2567395096141425,-0.007511900395446459,0.020709819281065103,0.7770537715166219,False
bar1030,reclasso,500,500,all bars,common,3119,2012-03-23,0.14967289755733115,0.1496407765695655,3.212098776565092e-05,0.021465397669009297,-0.004835570260575919,0.005106314851235372,0.014268205421073054,False
bar1030,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.16625964731251763,0.1561827928390792,0.010076854473438422,6.451962018518243,0.0014563452418502897,0.01950431328108953,2.446845385235139,False
bar1030,reclasso,500,500,10:30,common,3119,2012-03-23,0.14967289755733115,0.1496407765695655,3.212098776565092e-05,0.021465397669009297,-0.004835570260575919,0.005106314851235372,0.014268205421073054,False
bar1030,reclasso,500,500,10:30,deck period,1116,2020-01-03,0.16625964731251763,0.1561827928390792,0.010076854473438422,6.451962018518243,0.0014563452418502897,0.01950431328108953,2.446845385235139,False
bar1030,reclasso,2000,500,all bars,common,1619,2018-01-19,0.15801365793653388,0.16113335140683677,-0.0031196934703028576,-1.9360941996583405,-0.009206053518083332,0.0035360330811549513,-0.9471656220842498,False
bar1030,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.1507735041111567,0.1561827928390792,-0.005409288727922496,-3.4634344985083483,-0.013300404033608174,0.003025148312665269,-1.3553565098892684,False
bar1030,reclasso,2000,500,10:30,common,1619,2018-01-19,0.15801365793653388,0.16113335140683677,-0.0031196934703028576,-1.9360941996583405,-0.009206053518083332,0.0035360330811549513,-0.9471656220842498,False
bar1030,reclasso,2000,500,10:30,deck period,1116,2020-01-03,0.1507735041111567,0.1561827928390792,-0.005409288727922496,-3.4634344985083483,-0.013300404033608174,0.003025148312665269,-1.3553565098892684,False
bar1030,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.15801365793653388,0.1647064671710226,-0.006692809234488707,-4.063476892828526,-0.012465151314326156,-0.0003748002638833472,-2.0738556601103073,True
bar1030,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.1507735041111567,0.1615814665606271,-0.010807962449470394,-6.688862701598967,-0.017499407236176694,-0.003077636864471495,-2.7230462345722346,True
bar1030,reclasso,2000,2000,10:30,common,1619,2018-01-19,0.15801365793653388,0.1647064671710226,-0.006692809234488707,-4.063476892828526,-0.012465151314326156,-0.0003748002638833472,-2.0738556601103073,True
bar1030,reclasso,2000,2000,10:30,deck period,1116,2020-01-03,0.1507735041111567,0.1615814665606271,-0.010807962449470394,-6.688862701598967,-0.017499407236176694,-0.003077636864471495,-2.7230462345722346,True
bar1100,reclasso,500,500,all bars,common,3119,2012-03-23,0.1282179204438331,0.1318391118351109,-0.0036211913912778154,-2.7466745951738374,-0.006598468763803489,-0.0004874469665760736,-2.315448860157571,True
bar1100,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.14723750184986634,0.14744187796077612,-0.00020437611090981273,-0.1386146959985024,-0.006110875116731293,0.006409376352768492,-0.06585110945278053,False
bar1100,reclasso,500,500,11:00,common,3119,2012-03-23,0.1282179204438331,0.1318391118351109,-0.0036211913912778154,-2.7466745951738374,-0.006598468763803489,-0.0004874469665760736,-2.315448860157571,True
bar1100,reclasso,500,500,11:00,deck period,1116,2020-01-03,0.14723750184986634,0.14744187796077612,-0.00020437611090981273,-0.1386146959985024,-0.006110875116731293,0.006409376352768492,-0.06585110945278053,False
bar1100,reclasso,2000,500,all bars,common,1619,2018-01-19,0.14079130265913206,0.13972108822293294,0.0010702144361991117,0.7659648588561834,-0.002946459502900214,0.005282570112397295,0.555723173099908,False
bar1100,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.15125937526666344,0.14744187796077612,0.0038174973058873137,2.5891540169495673,-0.0007230743983193612,0.008701167811192392,1.8433230414688009,False
bar1100,reclasso,2000,500,11:00,common,1619,2018-01-19,0.14079130265913206,0.13972108822293294,0.0010702144361991117,0.7659648588561834,-0.002946459502900214,0.005282570112397295,0.555723173099908,False
bar1100,reclasso,2000,500,11:00,deck period,1116,2020-01-03,0.15125937526666344,0.14744187796077612,0.0038174973058873137,2.5891540169495673,-0.0007230743983193612,0.008701167811192392,1.8433230414688009,False
bar1100,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.14079130265913206,0.14387421799948058,-0.0030829153403485253,-2.142785123850095,-0.0062225464896247095,0.00021711307330273712,-1.9730952702594116,False
bar1100,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.15125937526666344,0.15373129215154263,-0.002471916884879202,-1.6079464696377348,-0.006341863003855729,0.0010832903460533064,-1.3869354453372231,False
bar1100,reclasso,2000,2000,11:00,common,1619,2018-01-19,0.14079130265913206,0.14387421799948058,-0.0030829153403485253,-2.142785123850095,-0.0062225464896247095,0.00021711307330273712,-1.9730952702594116,False
bar1100,reclasso,2000,2000,11:00,deck period,1116,2020-01-03,0.15125937526666344,0.15373129215154263,-0.002471916884879202,-1.6079464696377348,-0.006341863003855729,0.0010832903460533064,-1.3869354453372231,False
bar1130,reclasso,500,500,all bars,common,3121,2012-03-21,0.12926177890017174,0.1339445091196099,-0.004682730219438154,-3.496022532179027,-0.007832470552827724,-0.0015819112212555934,-3.1926812756627583,True
bar1130,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.134071765221108,0.14286621849073636,-0.008794453269628385,-6.155726218930215,-0.013799964022662554,-0.0037342102274152177,-3.5539342346426213,True
bar1130,reclasso,500,500,11:30,common,3121,2012-03-21,0.12926177890017174,0.1339445091196099,-0.004682730219438154,-3.496022532179027,-0.007832470552827724,-0.0015819112212555934,-3.1926812756627583,True
bar1130,reclasso,500,500,11:30,deck period,1116,2020-01-03,0.134071765221108,0.14286621849073636,-0.008794453269628385,-6.155726218930215,-0.013799964022662554,-0.0037342102274152177,-3.5539342346426213,True
bar1130,reclasso,2000,500,all bars,common,1621,2018-01-17,0.13077431544399365,0.1362881649018981,-0.005513849457904449,-4.045728740917002,-0.010959411541378463,-0.0001253450419952816,-2.1797731057703387,True
