segment,bar_end,estimator,train_win,sample,comparison,n,QLIKE_a,QLIKE_b,diff,pct,ci_lo,ci_hi,improves,worse,blown
bar1000,10:00,reclasso,500,common,coefficients,3056,0.1203436558661388,0.11949278849776529,0.000850867368373515,0.7120658736568255,-0.0027551150094665758,0.004607806876788205,False,False,False
bar1000,10:00,reclasso,500,common,package,3056,0.1203436558661388,0.12128818855627256,-0.0009445326901337677,-0.7787507599683087,-0.0037866031864964107,0.0019678426620515317,False,False,False
bar1000,10:00,reclasso,500,common,calibration,3056,0.11949278849776529,0.12128818855627256,-0.0017954000585072838,-1.4802760927328835,-0.003483508802052648,-0.0002742135532621955,True,False,False
bar1000,10:00,reclasso,500,common,as scored,3056,0.11935036831286452,0.11936292317652634,-1.2554863661817882e-05,-0.010518227375556511,-0.003100589713347418,0.0032064977242567314,False,False,False
bar1000,10:00,reclasso,500,deck period,coefficients,1116,0.12318873433958302,0.11607585288813424,0.007112881451448804,6.12778736875076,0.0005195456643465193,0.01495780772126181,False,True,False
bar1000,10:00,reclasso,500,deck period,package,1116,0.12318873433958302,0.11979469963568047,0.003394034703902576,2.833209410954334,-0.0016490168343504584,0.008585439891542325,False,False,False
bar1000,10:00,reclasso,500,deck period,calibration,1116,0.11607585288813424,0.11979469963568047,-0.003718846747546227,-3.1043499911565204,-0.007606884277188744,-0.0006138713711915019,True,False,False
bar1000,10:00,reclasso,500,deck period,as scored,1116,0.12099282606268963,0.116076770337654,0.004916055725035592,4.235176177572266,-0.00040115028206834494,0.011028444042682146,False,False,False
bar1000,10:00,reclasso,2000,common,coefficients,1556,0.12748390107043336,0.12560822152034587,0.0018756795500875017,1.4932776910496113,-0.0028051358280099296,0.006369456744479123,False,False,False
bar1000,10:00,reclasso,2000,common,package,1556,0.12748390107043336,0.13076762780531745,-0.0032837267348840697,-2.5111159313624425,-0.007025314726789724,0.000731828426529558,False,False,False
bar1000,10:00,reclasso,2000,common,calibration,1556,0.12560822152034587,0.13076762780531745,-0.005159406284971571,-3.9454766990594377,-0.007973550672256795,-0.002590018480901012,True,False,False
bar1000,10:00,reclasso,2000,common,as scored,1556,0.12697017690273352,0.12691989506222126,5.02818405122838e-05,0.03961698872161343,-0.004256767773379192,0.004261406447996647,False,False,False
bar1000,10:00,reclasso,2000,deck period,coefficients,1116,0.12535779342872866,0.11928531584704676,0.006072477581681894,5.0907167731091985,0.0012606545597133648,0.011299356617973358,False,True,False
bar1000,10:00,reclasso,2000,deck period,package,1116,0.12535779342872866,0.12543422839460697,-7.643496587829966e-05,-0.06093629056164862,-0.004106779721610313,0.004560786220723075,False,False,False
