bucket,estimator,arm,qlike_pct_vs_incumbent_16,d_ci,qlike_pct_mean_13_bars,bars_better,trade_deck_days,trade_pct_buy,trade_Sharpe_mid,trade_Sharpe_crossed,trade_ridge_Sharpe_mid_same_days,qlike_pct_vs_incumbent_16_deck,d_ci_deck,qlike_pct_mean_13_bars_deck
live_feasible (incumbent),ridge,bar1600,0.0,,0.0,,866,40.184757505773675,1.9024666283565088,1.439631199377035,1.3383216004229939,,,
vix_only,ridge,bar1600,-5.920450481112038,"[-0.0180, +0.0012]",3.3059625161415678,6/13,866,33.8337182448037,1.4785684046083984,1.0045646873703833,1.3383216004229939,-5.460085757156907,"[-0.0182, +0.0030]",2.5554314286386055
vix_rvol,ridge,bar1600,-5.031316810025544,"[-0.0169, +0.0027]",3.205427138411759,6/13,866,34.52655889145497,1.3315426838060023,0.8564568308819562,1.3383216004229939,-4.051617911043081,"[-0.0171, +0.0048]",2.097751674876743
live_vix_only,ridge,bar1600,-0.038524146749219224,"[-0.0016, +0.0015]",-0.4448523332678961,8/13,866,40.531177829099306,1.8605095388013078,1.3939874642438448,1.3383216004229939,-0.02822110037927761,"[-0.0020, +0.0019]",-0.5306717893162436
live_vix_rvol,ridge,bar1600,-0.12356074592346777,"[-0.0016, +0.0012]",-0.4354405371261802,10/13,866,41.454965357967666,1.7055901753682088,1.2395543234992095,1.3383216004229939,-0.11359811236582029,"[-0.0018, +0.0013]",-0.7392827316663226
live_feasible (incumbent),enet,bar1600,0.0,,0.0,,866,37.75981524249423,1.4107677128902967,0.9427859527964674,1.3383216004229939,,,
vix_only,enet,bar1600,-0.5967059240774231,"[-0.0061, +0.0047]",3.3419045066464843,5/13,866,34.41108545034642,1.335776647618652,0.8616162926911823,1.3383216004229939,-0.7562926558614347,"[-0.0057, +0.0042]",2.070349682016123
vix_rvol,enet,bar1600,0.03241874375354836,"[-0.0054, +0.0054]",3.2922648729701924,4/13,866,34.64203233256351,1.2620586372514342,0.786068695065864,1.3383216004229939,0.3343846558814034,"[-0.0049, +0.0055]",2.0715702248060377
live_vix_only,enet,bar1600,0.13985154579463366,"[-0.0011, +0.0014]",-0.5057966774689103,8/13,866,38.33718244803695,1.8980827967846245,1.4332680348235312,1.3383216004229939,0.06697178214658539,"[-0.0015, +0.0017]",-0.4303630559979279
live_vix_rvol,enet,bar1600,0.03139832130940601,"[-0.0010, +0.0012]",-0.6423766502428919,8/13,866,38.106235565819865,1.866598028744733,1.3999190621628803,1.3383216004229939,-0.08861757310916207,"[-0.0015, +0.0013]",-0.7143721077659363
live_feasible (incumbent),lasso,bar1600,0.0,,0.0,,866,38.91454965357968,1.8262315571390573,1.3631530115787844,1.3383216004229939,,,
vix_only,lasso,bar1600,-1.7335187926747264,"[-0.0082, +0.0041]",3.108238699289385,5/13,866,31.177829099307157,1.4198244363844301,0.9428413063617105,1.3383216004229939,-1.1073023333988297,"[-0.0062, +0.0041]",1.968933452619227
vix_rvol,lasso,bar1600,-0.9831272778593414,"[-0.0073, +0.0050]",3.2113641678216074,5/13,866,33.37182448036952,1.6805474538622576,1.206839475614202,1.3383216004229939,0.1968750873655667,"[-0.0053, +0.0054]",2.0215231728542524
live_vix_only,lasso,bar1600,0.09757276982720331,"[-0.0007, +0.0010]",-0.10289075664091324,8/13,866,37.99076212471132,1.8500544358025477,1.3841413468604933,1.3383216004229939,0.1409969774955444,"[-0.0009, +0.0013]",0.18033048125108644
live_vix_rvol,lasso,bar1600,0.9762067620053605,"[-0.0025, +0.0045]",0.36829570981084075,6/13,866,38.68360277136259,1.6390060684667875,1.1733562845986758,1.3383216004229939,2.4457294379258476,"[-0.0000, +0.0062]",0.6625931244498733
