segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1000,reclasso,500,500,all bars,common,3119,2012-03-23,0.13987930837659435,0.11468079875177987,0.025198509624814493,21.97273641192127,-0.012480999051702359,0.10226525595049606,0.8627884734164767,False
bar1000,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.20348870808687505,0.11622769915532742,0.0872610089315476,75.07763602455164,-0.015852873374515714,0.2869480823539177,1.1360548324227688,False
bar1000,reclasso,500,500,10:00,common,3119,2012-03-23,0.13987930837659435,0.11468079875177987,0.025198509624814493,21.97273641192127,-0.012480999051702359,0.10226525595049606,0.8627884734164767,False
bar1000,reclasso,500,500,10:00,deck period,1116,2020-01-03,0.20348870808687505,0.11622769915532742,0.0872610089315476,75.07763602455164,-0.015852873374515714,0.2869480823539177,1.1360548324227688,False
bar1000,reclasso,2000,500,all bars,common,1619,2018-01-19,0.1141960938214877,0.12263967851653733,-0.008443584695049635,-6.884871843423058,-0.014996650219799058,-0.001953437150192712,-2.576805179177891,True
bar1000,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.11114228523109818,0.11622769915532742,-0.005085413924229266,-4.37538896595818,-0.012515431093594567,0.00238383594449315,-1.367429199196472,False
bar1000,reclasso,2000,500,10:00,common,1619,2018-01-19,0.1141960938214877,0.12263967851653733,-0.008443584695049635,-6.884871843423058,-0.014996650219799058,-0.001953437150192712,-2.576805179177891,True
bar1000,reclasso,2000,500,10:00,deck period,1116,2020-01-03,0.11114228523109818,0.11622769915532742,-0.005085413924229266,-4.37538896595818,-0.012515431093594567,0.00238383594449315,-1.367429199196472,False
bar1000,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.1141960938214877,0.11770941769947267,-0.003513323877984973,-2.9847432318074514,-0.00872466479062355,0.0022848084825126333,-1.2625262885297515,False
bar1000,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.11114228523109818,0.11308311759745901,-0.0019408323663608295,-1.716288344003385,-0.008763608500191125,0.004900093308784085,-0.5672438824171367,False
bar1000,reclasso,2000,2000,10:00,common,1619,2018-01-19,0.1141960938214877,0.11770941769947267,-0.003513323877984973,-2.9847432318074514,-0.00872466479062355,0.0022848084825126333,-1.2625262885297515,False
bar1000,reclasso,2000,2000,10:00,deck period,1116,2020-01-03,0.11114228523109818,0.11308311759745901,-0.0019408323663608295,-1.716288344003385,-0.008763608500191125,0.004900093308784085,-0.5672438824171367,False
bar1000,reclasticnet,500,500,all bars,common,3119,2012-03-23,0.10308904142349098,0.1140929962542478,-0.011003954830756816,-9.644724209219044,-0.01581401496690494,-0.005598800599877912,-4.089728668502565,True
bar1000,reclasticnet,500,500,all bars,deck period,1116,2020-01-03,0.1042557739968441,0.11457769204030185,-0.010321918043457752,-9.008662907808523,-0.020674397912602158,0.0015412843725444137,-1.8161116766564596,False
bar1000,reclasticnet,500,500,10:00,common,3119,2012-03-23,0.10308904142349098,0.1140929962542478,-0.011003954830756816,-9.644724209219044,-0.01581401496690494,-0.005598800599877912,-4.089728668502565,True
bar1000,reclasticnet,500,500,10:00,deck period,1116,2020-01-03,0.1042557739968441,0.11457769204030185,-0.010321918043457752,-9.008662907808523,-0.020674397912602158,0.0015412843725444137,-1.8161116766564596,False
bar1000,reclasticnet,2000,500,all bars,common,1619,2018-01-19,0.11514649368072623,0.12140450763271027,-0.0062580139519840434,-5.154680064200462,-0.014203788832139594,0.0027696102711188865,-1.605157432240296,False
bar1000,reclasticnet,2000,500,all bars,deck period,1116,2020-01-03,0.11307058512553958,0.11457769204030185,-0.0015071069147623041,-1.3153580665878577,-0.011093511248649457,0.009877650637171158,-0.3146038429084755,False
bar1000,reclasticnet,2000,500,10:00,common,1619,2018-01-19,0.11514649368072623,0.12140450763271027,-0.0062580139519840434,-5.154680064200462,-0.014203788832139594,0.0027696102711188865,-1.605157432240296,False
bar1000,reclasticnet,2000,500,10:00,deck period,1116,2020-01-03,0.11307058512553958,0.11457769204030185,-0.0015071069147623041,-1.3153580665878577,-0.011093511248649457,0.009877650637171158,-0.3146038429084755,False
bar1000,reclasticnet,2000,2000,all bars,common,1619,2018-01-19,0.11514649368072623,0.1175775111606237,-0.002431017479897466,-2.067587122656841,-0.009183421359727112,0.006235379929806559,-0.6992309656621759,False
bar1000,reclasticnet,2000,2000,all bars,deck period,1116,2020-01-03,0.11307058512553958,0.11306825306398957,2.3320615499878774e-06,0.0020625254983537033,-0.008853389692373639,0.010432095691950746,0.0005190039868414244,False
bar1000,reclasticnet,2000,2000,10:00,common,1619,2018-01-19,0.11514649368072623,0.1175775111606237,-0.002431017479897466,-2.067587122656841,-0.009183421359727112,0.006235379929806559,-0.6992309656621759,False
bar1000,reclasticnet,2000,2000,10:00,deck period,1116,2020-01-03,0.11307058512553958,0.11306825306398957,2.3320615499878774e-06,0.0020625254983537033,-0.008853389692373639,0.010432095691950746,0.0005190039868414244,False
