segment,estimator,train_win,pooled_train_win,bar_end,sample,n,first,QLIKE_subsection,QLIKE_pooled,diff,pct,ci_lo,ci_hi,dm_stat,improves
bar1000,reclasso,500,500,all bars,common,3119,2012-03-23,0.1295139981751186,0.11813603777899957,0.011377960396118996,9.631235827803932,-0.00513316963607005,0.0419250410009894,0.8077962939150911,False
bar1000,reclasso,500,500,all bars,deck period,1116,2020-01-03,0.1595334796087525,0.1175758900376374,0.04195758957111511,35.68553855529735,-0.001847853114724568,0.12283605373436794,1.0716491463084408,False
bar1000,reclasso,500,500,10:00,common,3119,2012-03-23,0.1295139981751186,0.11813603777899957,0.011377960396118996,9.631235827803932,-0.00513316963607005,0.0419250410009894,0.8077962939150911,False
bar1000,reclasso,500,500,10:00,deck period,1116,2020-01-03,0.1595334796087525,0.1175758900376374,0.04195758957111511,35.68553855529735,-0.001847853114724568,0.12283605373436794,1.0716491463084408,False
bar1000,reclasso,2000,500,all bars,common,1619,2018-01-19,0.13008352921424507,0.12464449111070404,0.005439038103541024,4.363640988120604,-0.005027263551020681,0.019137229117077607,0.9144557690942489,False
bar1000,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.1262459232983899,0.1175758900376374,0.008670033260752516,7.373989053348555,-0.00407584065834152,0.02625174596942744,1.2025260161944906,False
bar1000,reclasso,2000,500,10:00,common,1619,2018-01-19,0.13008352921424507,0.12464449111070404,0.005439038103541024,4.363640988120604,-0.005027263551020681,0.019137229117077607,0.9144557690942489,False
bar1000,reclasso,2000,500,10:00,deck period,1116,2020-01-03,0.1262459232983899,0.1175758900376374,0.008670033260752516,7.373989053348555,-0.00407584065834152,0.02625174596942744,1.2025260161944906,False
bar1000,reclasso,2000,2000,all bars,common,1619,2018-01-19,0.13008352921424507,0.12552679588780144,0.004556733326443636,3.63008813713093,-0.005408191033965362,0.017445864967295215,0.8053833948129496,False
bar1000,reclasso,2000,2000,all bars,deck period,1116,2020-01-03,0.1262459232983899,0.12108813403600417,0.0051577892623857185,4.259533193278962,-0.007497095666653649,0.020738682337683195,0.7774311214684873,False
bar1000,reclasso,2000,2000,10:00,common,1619,2018-01-19,0.13008352921424507,0.12552679588780144,0.004556733326443636,3.63008813713093,-0.005408191033965362,0.017445864967295215,0.8053833948129496,False
bar1000,reclasso,2000,2000,10:00,deck period,1116,2020-01-03,0.1262459232983899,0.12108813403600417,0.0051577892623857185,4.259533193278962,-0.007497095666653649,0.020738682337683195,0.7774311214684873,False
bar1000,reclasticnet,500,500,all bars,common,3119,2012-03-23,0.12859613400547956,0.11752356240301887,0.01107257160246065,9.42157587470836,-0.006004807434898755,0.04262643238135339,0.7629123174441682,False
bar1000,reclasticnet,500,500,all bars,deck period,1116,2020-01-03,0.1560880723840765,0.11652438536159834,0.03956368702247817,33.953139422022424,-0.005962903323706572,0.12400312682675275,0.981159130143719,False
bar1000,reclasticnet,500,500,10:00,common,3119,2012-03-23,0.12859613400547956,0.11752356240301887,0.01107257160246065,9.42157587470836,-0.006004807434898755,0.04262643238135339,0.7629123174441682,False
bar1000,reclasticnet,500,500,10:00,deck period,1116,2020-01-03,0.1560880723840765,0.11652438536159834,0.03956368702247817,33.953139422022424,-0.005962903323706572,0.12400312682675275,0.981159130143719,False
bar1000,reclasticnet,2000,500,all bars,common,1619,2018-01-19,0.12897722001572526,0.12381726152201274,0.005159958493712523,4.167398333870568,-0.005735357964186648,0.020044493133157957,0.8419831896053379,False
bar1000,reclasticnet,2000,500,all bars,deck period,1116,2020-01-03,0.12485281676158697,0.11652438536159834,0.008328431399988644,7.147372092239633,-0.004971833655670937,0.02663115380103173,1.1270507982645463,False
bar1000,reclasticnet,2000,500,10:00,common,1619,2018-01-19,0.12897722001572526,0.12381726152201274,0.005159958493712523,4.167398333870568,-0.005735357964186648,0.020044493133157957,0.8419831896053379,False
bar1000,reclasticnet,2000,500,10:00,deck period,1116,2020-01-03,0.12485281676158697,0.11652438536159834,0.008328431399988644,7.147372092239633,-0.004971833655670937,0.02663115380103173,1.1270507982645463,False
bar1000,reclasticnet,2000,2000,all bars,common,1619,2018-01-19,0.12897722001572526,0.1253373237061357,0.003639896309589563,2.9040801271005416,-0.00663869535852688,0.016946939298105784,0.6287174165460421,False
bar1000,reclasticnet,2000,2000,all bars,deck period,1116,2020-01-03,0.12485281676158697,0.12094004126005163,0.003912775501535315,3.235301940340718,-0.008875169538696564,0.020160726824495795,0.5798130766234072,False
bar1000,reclasticnet,2000,2000,10:00,common,1619,2018-01-19,0.12897722001572526,0.1253373237061357,0.003639896309589563,2.9040801271005416,-0.00663869535852688,0.016946939298105784,0.6287174165460421,False
bar1000,reclasticnet,2000,2000,10:00,deck period,1116,2020-01-03,0.12485281676158697,0.12094004126005163,0.003912775501535315,3.235301940340718,-0.008875169538696564,0.020160726824495795,0.5798130766234072,False
bar1000,ridge,500,500,all bars,common,3119,2012-03-23,0.12908307619225723,0.11737774024900725,0.011705335943249975,9.972364366887678,-0.004924093134577496,0.042190478866141995,0.8483379583656396,False
bar1000,ridge,500,500,all bars,deck period,1116,2020-01-03,0.15691883144554944,0.11711489018954432,0.03980394125600511,33.98708839805469,-0.003927104892393563,0.12044253893711099,1.0385378636642237,False
bar1000,ridge,500,500,10:00,common,3119,2012-03-23,0.12908307619225723,0.11737774024900725,0.011705335943249975,9.972364366887678,-0.004924093134577496,0.042190478866141995,0.8483379583656396,False
bar1000,ridge,500,500,10:00,deck period,1116,2020-01-03,0.15691883144554944,0.11711489018954432,0.03980394125600511,33.98708839805469,-0.003927104892393563,0.12044253893711099,1.0385378636642237,False
bar1000,ridge,2000,500,all bars,common,1619,2018-01-19,0.12663172873950015,0.1240896292909126,0.002542099448587539,2.0485994382559602,-0.007829378725196474,0.016585887188334748,0.4364909490823383,False
bar1000,ridge,2000,500,all bars,deck period,1116,2020-01-03,0.12144419192040388,0.11711489018954432,0.0043293017308595645,3.696627921396516,-0.008561295351688834,0.021893346203682634,0.6000285432948395,False
bar1000,ridge,2000,500,10:00,common,1619,2018-01-19,0.12663172873950015,0.1240896292909126,0.002542099448587539,2.0485994382559602,-0.007829378725196474,0.016585887188334748,0.4364909490823383,False
bar1000,ridge,2000,500,10:00,deck period,1116,2020-01-03,0.12144419192040388,0.11711489018954432,0.0043293017308595645,3.696627921396516,-0.008561295351688834,0.021893346203682634,0.6000285432948395,False
bar1000,ridge,2000,2000,all bars,common,1619,2018-01-19,0.12663172873950015,0.12394825230014522,0.002683476439354946,2.16499739976713,-0.007525154828499817,0.01654552731225062,0.4593621221144721,False
bar1000,ridge,2000,2000,all bars,deck period,1116,2020-01-03,0.12144419192040388,0.1198466602168172,0.0015975317035866814,1.3329797431956403,-0.011956310922159907,0.018894358076927617,0.22110681730475282,False
bar1000,ridge,2000,2000,10:00,common,1619,2018-01-19,0.12663172873950015,0.12394825230014522,0.002683476439354946,2.16499739976713,-0.007525154828499817,0.01654552731225062,0.4593621221144721,False
bar1000,ridge,2000,2000,10:00,deck period,1116,2020-01-03,0.12144419192040388,0.1198466602168172,0.0015975317035866814,1.3329797431956403,-0.011956310922159907,0.018894358076927617,0.22110681730475282,False
bar1030,reclasso,500,500,all bars,common,3119,2012-03-23,9.391768086048167,0.14964096438076882,9.242127121667398,6176.201256061375,9.189017910501812,9.293954821449832,355.4777042483318,False
bar1030,reclasso,500,500,all bars,deck period,1116,2020-01-03,9.414036841448256,0.15618279410223065,9.257854047346024,5927.576145990975,9.161215636152928,9.358279211250917,201.745030801107,False
bar1030,reclasso,500,500,10:30,common,3119,2012-03-23,9.391768086048167,0.14964096438076882,9.242127121667398,6176.201256061375,9.189017910501812,9.293954821449832,355.4777042483318,False
bar1030,reclasso,500,500,10:30,deck period,1116,2020-01-03,9.414036841448256,0.15618279410223065,9.257854047346024,5927.576145990975,9.161215636152928,9.358279211250917,201.745030801107,False
bar1030,reclasso,2000,500,all bars,common,1619,2018-01-19,0.1580025114053535,0.16113335289025169,-0.0031308414848981985,-1.9430126840534512,-0.009149382187632008,0.0035635308905777366,-0.949848118245779,False
bar1030,reclasso,2000,500,all bars,deck period,1116,2020-01-03,0.1507573702635132,0.15618279410223065,-0.005425423838717442,-3.4737653849156964,-0.013303230750173934,0.002989540692726031,-1.3581536400702992,False
bar1030,reclasso,2000,500,10:30,common,1619,2018-01-19,0.1580025114053535,0.16113335289025169,-0.0031308414848981985,-1.9430126840534512,-0.009149382187632008,0.0035635308905777366,-0.949848118245779,False
