series,quintile,n,n_month_end,contrib_mean,share_buy,pnl_mid,pnl_crossed,pnl_mid_other,pnl_crossed_other
realized variance (target),1,174,11,-0.18682712188533673,0.41379310344827586,0.18769119912031734,0.14792370247368491,0.20516045655819606,0.16535983824230832
realized variance (target),2,173,12,-0.08010368389396501,0.37572254335260113,0.08181142319998451,0.05037980252014128,0.10837431131120101,0.07769301506953025
realized variance (target),3,173,9,-0.019990352769014653,0.4797687861271676,0.05031290937214139,0.023752561350479356,0.08058698670936279,0.05526524947434011
realized variance (target),4,173,4,0.052870318019415066,0.42196531791907516,0.14717236128351321,0.11884830275924553,0.1348139473806298,0.10724168315352849
realized variance (target),5,173,16,0.26384042705611105,0.3179190751445087,0.12720062669236484,0.08683214238631158,0.17045036064101984,0.13016426328676098
absolute return,1,174,9,-0.0892445100741501,0.367816091954023,0.17962828204188622,0.1438740879701089,0.18888876160635718,0.15340677239479805
absolute return,2,173,12,-0.05237273128976247,0.3988439306358382,0.15123731171780602,0.11777513649580172,0.17892256501787263,0.14570528170606947
absolute return,3,173,8,-0.023938361411003955,0.5202312138728323,0.1362516553929492,0.10762147351140253,0.1776459050851821,0.15082576916803622
absolute return,4,173,7,0.014468474008322687,0.3872832369942196,0.04487666033229284,0.0182888715921467,0.03866209154089653,0.012735914484322583
absolute return,5,173,16,0.1553670107738396,0.3352601156069364,0.08224121664048786,0.04020035009672414,0.11431393580013428,0.07206549200960378
4th-power returns (tails),1,174,14,-0.07517538241950308,0.3620689655172414,-0.024179410882546812,-0.06256187151385308,0.011510647532616538,-0.026578957795328657
4th-power returns (tails),2,173,9,-0.0004769812499976106,0.4393063583815029,0.19335095364384552,0.1643075949944391,0.1631103929544726,0.13441154728879778
4th-power returns (tails),3,173,7,0.014055849206797701,0.4624277456647399,0.20209016774492497,0.16871029824153674,0.24984546248699066,0.2171227903706144
4th-power returns (tails),4,173,11,0.025661191584609062,0.37572254335260113,0.0668305644640248,0.041751847242261386,0.08559304690695636,0.061378669652013065
4th-power returns (tails),5,173,11,0.04364889989375068,0.3699421965317919,0.15732093030502578,0.1167453221439037,0.1834427139930362,0.1438813306740236
signed return,1,174,9,-0.07273979193905848,0.26436781609195403,0.09076417007807937,0.05540332869136597,0.09817189820968689,0.06354740543482927
signed return,2,173,8,-0.030177700683320565,0.3583815028901734,0.14884737408015494,0.11926233837423057,0.1606419574977813,0.13037247138335778
signed return,3,173,12,-0.0064250492171726336,0.48554913294797686,0.10770187875020754,0.07293522394861333,0.13856910232200695,0.104653457771471
signed return,4,173,12,0.024885885525885297,0.4624277456647399,0.07799998923900954,0.04631726736021689,0.10969808779149487,0.0799862399306788
signed return,5,173,11,0.09865349661077856,0.4393063583815029,0.16943537936504477,0.13435315296388864,0.19120150795299595,0.15655304171236542
VIX,1,174,10,-0.008919657310062366,0.5,0.11511797308552488,0.08973529253869551,0.13228190329621478,0.10884735669857314
VIX,2,173,11,-0.003488385993043232,0.3988439306358382,0.22053859150262548,0.18672185081008247,0.27921176030378875,0.24662158963292638
VIX,3,173,6,0.0011200043311458267,0.3583815028901734,0.08933506685022125,0.05923100571865817,0.0848357853424956,0.053933314844843525
VIX,4,173,12,0.010155707292052426,0.3468208092485549,0.027230539298951244,-0.00042302211872883243,0.05630758085701604,0.028980747332896354
VIX,5,173,13,0.07821857347079393,0.4046242774566474,0.1423858473473846,0.09280773373153106,0.14681446317763774,0.09755584902290586
