reg,candidate,date,p_actual,p_fixed100,p_fixed1000,verdict
A0,penalty 100 to 1000,2019-06-26,0.7129839465957555,0.6719746219306169,0.7267534343788926,none
A0,COVID crash start,2020-02-20,0.8668892629331673,0.7239997901612175,0.9746921388797113,none
A0,COVID crash end,2020-05-01,0.19117196308447817,0.6232059129709944,0.19360166998939138,none
A0,penalty 1000 to 100,2020-06-23,0.11949579130527263,0.4348016035336978,0.10523313749688885,none
A0,penalty 100 to 1000,2021-06-21,0.034265081936104974,0.5985819861951492,0.21015409473937183,penalty (only the arm of record rejects)
A0,every-day expirations,2022-04-26,0.039522246957334084,0.5889150947415782,0.20423009280385454,penalty (only the arm of record rejects)
A0,COVID episode (inside vs outside),2020-02-20..2020-04-30,3.69789531068046e-14,8.691908814851536e-10,2.7426908020550263e-15,data (both held penalties reject)
A1,penalty 100 to 1000,2019-06-26,0.002127282439842947,0.022958061268651346,0.46381472462459106,depends on the penalty held
A1,COVID crash start,2020-02-20,0.15851559548026725,0.1805491935770169,0.6480785439727598,none
A1,COVID crash end,2020-05-01,0.11900681720344926,0.1030613502164877,0.005895335820486273,depends on the penalty held
A1,penalty 1000 to 100,2020-06-23,0.047000971991788515,0.14892337467196298,0.021334610803577722,depends on the penalty held
A1,penalty 100 to 1000,2021-06-21,0.23191707863237102,0.1898646695019534,0.07571048617452947,none
A1,every-day expirations,2022-04-26,0.022153578096858237,0.2797672110723381,0.007559041502995451,depends on the penalty held
A1,COVID episode (inside vs outside),2020-02-20..2020-04-30,3.614308555607752e-11,1.8971115408903653e-07,4.3730894751885747e-10,data (both held penalties reject)
