split,n,series,target,corr,lo,hi
all,866,log forecast rv_hat,pnl_mid,-0.04873451902094569,-0.11319219875314106,0.01999454281089272
all,866,log forecast rv_hat,pnl_crossed,-0.05251754840580102,-0.11762762972722109,0.017765854714580354
all,866,log forecast rv_hat,buy_decision,-0.01991646744606872,-0.12151444744775675,0.07439024683622461
all,866,log implied iv_var,pnl_mid,-0.058974039519737835,-0.12177051411835244,0.00921690284657863
all,866,log implied iv_var,pnl_crossed,-0.06189027044504375,-0.12461993745123871,0.008388092615162513
all,866,log implied iv_var,buy_decision,-0.25149349975874385,-0.36461343707314003,-0.1464664582051944
all,866,log(rv_hat / iv_var),pnl_mid,0.04248708891386078,-0.024362198975704862,0.10239072161057072
all,866,log(rv_hat / iv_var),pnl_crossed,0.04034264714911026,-0.02742907414645089,0.10089281889890239
all,866,log(rv_hat / iv_var),buy_decision,0.7621596003740772,0.7393819731744901,0.7866886584726046
month_end,52,log forecast rv_hat,pnl_mid,-0.01644167564218961,-0.3193222716118139,0.27765939783506605
month_end,52,log forecast rv_hat,pnl_crossed,-0.01596545533931343,-0.3259043712656879,0.2794901236997973
month_end,52,log forecast rv_hat,buy_decision,0.027623682085279346,-0.2669996129722023,0.28332734181459046
month_end,52,log implied iv_var,pnl_mid,-0.07191770377632889,-0.4054135666580966,0.25813163667349115
month_end,52,log implied iv_var,pnl_crossed,-0.06788513272461769,-0.4070650313408131,0.261915574100033
month_end,52,log implied iv_var,buy_decision,-0.19873081115270835,-0.46091772658869984,0.029448067602723248
month_end,52,log(rv_hat / iv_var),pnl_mid,0.17237002014096658,-0.08573497529528633,0.40546739751738514
month_end,52,log(rv_hat / iv_var),pnl_crossed,0.1613574046289724,-0.08811431899836752,0.39242086343655647
month_end,52,log(rv_hat / iv_var),buy_decision,0.6971854664922573,0.5590686634684517,0.791344269567184
other,814,log forecast rv_hat,pnl_mid,-0.04715173382761331,-0.118136254126874,0.025470611837234983
other,814,log forecast rv_hat,pnl_crossed,-0.051211556539330884,-0.12127959873686155,0.0220551970481651
other,814,log forecast rv_hat,buy_decision,-0.016145498361230314,-0.12574027537187046,0.07774384087189219
other,814,log implied iv_var,pnl_mid,-0.04992785622881327,-0.1172855289951205,0.022683132969646053
other,814,log implied iv_var,pnl_crossed,-0.0531180158954794,-0.12171281201333299,0.019444365639190074
other,814,log implied iv_var,buy_decision,-0.2452299044085171,-0.36653131821278295,-0.13892325963124535
