block,row,har_ma_1_x_open,har_ma_1_x_close,har_ma_5_x_open,har_ma_5_x_close,har_ma_25_x_open,har_ma_25_x_close,har_ma_125_x_open,har_ma_125_x_close,har_ma_625_x_open,har_ma_625_x_close,har_ma_3125_x_open,har_ma_3125_x_close,cumrv_x_close,har5rank_x_close
0,48000,-0.043824,0.027945,-0.000000,0.009456,-0.000000,0.045133,0.000000,0.056153,0.000000,0.000000,-0.000000,0.017445,-0.003994,-0.048727
1,48480,-0.044201,0.031418,-0.000000,0.007885,-0.000000,0.043982,0.000000,0.057125,0.000000,0.000000,-0.000000,0.016871,-0.003965,-0.049831
2,48960,-0.042150,0.030170,-0.000000,0.011620,-0.000000,0.038179,0.000000,0.051618,0.000000,0.000000,-0.000000,0.022475,-0.003853,-0.050281
3,49440,-0.041589,0.031833,-0.000000,0.014498,-0.000000,0.037207,0.000000,0.048535,0.000000,0.000000,-0.000000,0.021522,-0.003765,-0.051940
4,49920,-0.042349,0.030106,-0.000000,0.019499,-0.000000,0.037795,0.000000,0.047322,0.000000,0.000000,-0.000000,0.020176,-0.003757,-0.052503
5,50400,-0.041178,0.029832,-0.000000,0.020455,-0.000000,0.037957,0.000000,0.046728,0.000000,0.000000,-0.000000,0.019561,-0.003746,-0.051798
6,50880,-0.041059,0.031035,-0.000000,0.020447,-0.000000,0.037839,0.000000,0.047074,0.000000,0.000000,-0.000000,0.019136,-0.003772,-0.052103
7,51360,-0.040251,0.030994,-0.000000,0.020644,-0.000000,0.037203,0.000000,0.046687,0.000000,0.000000,-0.000000,0.023288,-0.003837,-0.051048
8,51840,-0.040521,0.031681,-0.000000,0.017482,-0.000000,0.037336,0.000000,0.047236,0.000000,0.000000,-0.000000,0.024430,-0.003806,-0.049704
9,52320,-0.040157,0.030230,-0.000000,0.014670,-0.000000,0.037957,0.000000,0.047005,0.000000,0.000000,-0.000000,0.025534,-0.003747,-0.049611
10,52800,-0.040004,0.029876,-0.000000,0.013446,-0.000000,0.038408,0.000000,0.046650,0.000000,0.000000,-0.000000,0.026633,-0.003712,-0.050267
11,53280,-0.038729,0.030199,-0.000000,0.011246,-0.000000,0.038710,0.000000,0.046949,0.000000,0.000000,-0.000000,0.026927,-0.003643,-0.049739
12,53760,-0.039955,0.029530,-0.000000,0.009597,-0.000000,0.039496,0.000000,0.047480,0.000000,0.000000,-0.000000,0.028113,-0.003592,-0.049490
13,54240,-0.039409,0.034527,-0.000000,0.002436,-0.000000,0.036929,0.000000,0.046943,0.000000,0.000000,-0.000000,0.030907,-0.003532,-0.048167
