window,views,representation,weighting,d,captured,null_mean,null_std
2013-11-06..2015-09-24,resid,raw960,binary,1,0.0005087564800709666,0.00010107019097822558,0.00018119252027067113
2013-11-06..2015-09-24,resid,raw960,binary,2,0.0005158876499263672,0.00017071350898834818,0.0002530227914687052
2013-11-06..2015-09-24,resid,raw960,binary,3,0.0006123987374059504,0.0002283315028791439,0.0002593408616882912
2013-11-06..2015-09-24,resid,raw960,binary,4,0.0006509423648697211,0.0002789005903166666,0.00025311952434626823
2013-11-06..2015-09-24,resid,raw960,binary,5,0.0012436109444066692,0.00037644173709296656,0.0002642944919458634
2013-11-06..2015-09-24,resid,raw960,binary,6,0.0016518432947613623,0.00046099314207789284,0.00031397803296141785
2013-11-06..2015-09-24,resid,raw960,binary,7,0.0017511998018998605,0.000672953791653689,0.0003892904250193609
2013-11-06..2015-09-24,resid,raw960,binary,8,0.0018097048878333954,0.000814092688620856,0.0004309158805521867
2013-11-06..2015-09-24,resid,raw960,binary,9,0.0019047302764763515,0.0009032687475682997,0.00038164934984866384
2013-11-06..2015-09-24,resid,raw960,binary,10,0.002275343459951602,0.0009770533194804925,0.00040449835342664016
2013-11-06..2015-09-24,resid,raw960,binary,11,0.002490387175063352,0.0011091986223814127,0.00047193322071556254
2013-11-06..2015-09-24,resid,raw960,binary,12,0.0028744945568084145,0.0011522599390739574,0.0004853150534767308
2013-11-06..2015-09-24,resid,raw960,binary,13,0.0029305599055996765,0.0012522035486290184,0.0005042212834508379
2013-11-06..2015-09-24,resid,raw960,binary,14,0.0037013338152595008,0.0013239297557941262,0.0005310974338572818
2013-11-06..2015-09-24,resid,raw960,binary,15,0.003785410932366423,0.0014165753446461111,0.0005382413798872505
2013-11-06..2015-09-24,resid,raw960,binary,16,0.003930230630759546,0.001493155393361562,0.000554321248942913
2013-11-06..2015-09-24,resid,raw960,binary,17,0.003932655894437097,0.0016364805200773426,0.0005538067119405047
2013-11-06..2015-09-24,resid,raw960,binary,18,0.003985908041560046,0.0018327653621628818,0.0005705057947182207
2013-11-06..2015-09-24,resid,raw960,binary,19,0.004533053728562861,0.0018858193707605524,0.0005928518020321016
2013-11-06..2015-09-24,resid,raw960,binary,20,0.004596233489319848,0.0019764746811877167,0.0005939602128318978
2013-11-06..2015-09-24,resid,raw960,binary,21,0.0046168744752222044,0.002067297248132439,0.000610454856652579
2013-11-06..2015-09-24,resid,raw960,binary,22,0.004659830529591948,0.0021250885615798224,0.0006018227827781198
2013-11-06..2015-09-24,resid,raw960,binary,23,0.0047722384233558285,0.0022861931940115674,0.0006873536392050193
2013-11-06..2015-09-24,resid,raw960,binary,24,0.005213463070219107,0.002354822524331639,0.0006822495832851083
2013-11-06..2015-09-24,resid,raw960,binary,25,0.0052157604846014794,0.0024391916373619625,0.0006476188909615668
2013-11-06..2015-09-24,resid,raw960,binary,26,0.005711993029449844,0.002653500613209894,0.0007364696261777245
2013-11-06..2015-09-24,resid,raw960,binary,27,0.005714237824836418,0.0027470430800421467,0.0007462778406299742
2013-11-06..2015-09-24,resid,raw960,binary,28,0.005722358778367077,0.0028201830964558307,0.0007867135163450267
2013-11-06..2015-09-24,resid,raw960,binary,29,0.005820182058385781,0.002897608021870982,0.0007855677703189854
2013-11-06..2015-09-24,resid,raw960,binary,30,0.005894222039268744,0.0029306905320174333,0.0007945588393622023
2013-11-06..2015-09-24,resid,raw960,binary,31,0.0059016418184976846,0.003031728428019131,0.0007846648905860016
2013-11-06..2015-09-24,resid,raw960,binary,32,0.005971926360466776,0.0030956891525309527,0.0008170355015375599
2013-11-06..2015-09-24,resid,raw960,binary,33,0.006018107911829943,0.0031727436055242813,0.0008578925909147769
2013-11-06..2015-09-24,resid,raw960,binary,34,0.006040932279602964,0.00327814842536315,0.0009125935668896558
2013-11-06..2015-09-24,resid,raw960,binary,35,0.006087797502944277,0.003327812829308628,0.0008693037376613682
2013-11-06..2015-09-24,resid,raw960,binary,36,0.006379566605151111,0.0034492547694632302,0.000928294544218228
2013-11-06..2015-09-24,resid,raw960,binary,37,0.006741085762727009,0.0035752505467574235,0.0009653323664782809
2013-11-06..2015-09-24,resid,raw960,binary,38,0.007071623321724336,0.003676300123318851,0.0010033729822796632
2013-11-06..2015-09-24,resid,raw960,binary,39,0.007073420042412316,0.0037182349071461116,0.0010227821381756568
2013-11-06..2015-09-24,resid,raw960,binary,40,0.007183549816988233,0.003787141630277894,0.0010444724660038283
2013-11-06..2015-09-24,resid,raw960,binary,41,0.0075484599283168995,0.0038360041181305605,0.0010300408002314344
2013-11-06..2015-09-24,resid,raw960,binary,42,0.007625294009384855,0.0038997656763143053,0.001049131582789763
2013-11-06..2015-09-24,resid,raw960,binary,43,0.0077325624427013575,0.0040165969532119155,0.0010835777020147656
2013-11-06..2015-09-24,resid,raw960,binary,44,0.00788221938809956,0.004189323048330472,0.0011868108122023268
2013-11-06..2015-09-24,resid,raw960,binary,45,0.007926530815267873,0.004261730422339622,0.0011687610826104544
2013-11-06..2015-09-24,resid,raw960,binary,46,0.007988038014300227,0.004436363002116422,0.0011429262425368212
2013-11-06..2015-09-24,resid,raw960,binary,47,0.008059484910828764,0.004473605316730083,0.001150654850251376
2013-11-06..2015-09-24,resid,raw960,binary,48,0.008080803887352961,0.004551178230461284,0.0011398970530379043
2013-11-06..2015-09-24,resid,raw960,binary,49,0.008084333358500922,0.004658868818304046,0.0011582900980972382
2013-11-06..2015-09-24,resid,raw960,binary,50,0.008231626712245574,0.0047351764662030265,0.0011226771008963914
2013-11-06..2015-09-24,resid,raw960,binary,51,0.008245149731861724,0.004791183009248372,0.001139353065339171
2013-11-06..2015-09-24,resid,raw960,binary,52,0.008254862589271368,0.004867952211257007,0.0011815631880600706
2013-11-06..2015-09-24,resid,raw960,binary,53,0.00825541624327738,0.004914180138430148,0.0011998851093635743
2013-11-06..2015-09-24,resid,raw960,binary,54,0.008265277628780437,0.004999502431321833,0.0012047906874667338
2013-11-06..2015-09-24,resid,raw960,binary,55,0.008287011343338603,0.005120459542194681,0.0011295396379582643
2013-11-06..2015-09-24,resid,raw960,binary,56,0.008301108747331132,0.005158070361644101,0.0011242060654249066
2013-11-06..2015-09-24,resid,raw960,binary,57,0.00839651498014887,0.005328354531907728,0.0011520458108381813
2013-11-06..2015-09-24,resid,raw960,binary,58,0.008460499397623849,0.005401990400607339,0.0011385827676901761
2013-11-06..2015-09-24,resid,raw960,binary,59,0.008499337628633306,0.005494255158141924,0.0011488778236893855
2013-11-06..2015-09-24,resid,raw960,binary,60,0.008499505143546101,0.005571846529443989,0.0011402086553537725
2013-11-06..2015-09-24,resid,raw960,binary,61,0.008940253621973475,0.005625051727634224,0.0011817995285331266
2013-11-06..2015-09-24,resid,raw960,binary,62,0.008964288992780955,0.005756733456423774,0.0012078062365989523
2013-11-06..2015-09-24,resid,raw960,binary,63,0.009012699129605336,0.005864817452361586,0.0011720725753087498
2013-11-06..2015-09-24,resid,raw960,binary,64,0.009070328907443316,0.005940539272252067,0.001182810527749095
