window,views,representation,weighting,mse_const,mse_base_metric,n_components,mse_embed_d8,mse_embed_d16
2013-11-06..2015-09-24,resid,raw960,binary,0.08612373264864355,0.08695960883266049,1,0.08767422997064116,0.08836564317086106
2013-11-06..2015-09-24,resid,raw960,heat,0.08612373264864355,0.08695960883266049,1,0.088122842233944,0.08935110096568706
2013-11-06..2015-09-24,resid,recw,binary,0.08612373264864355,0.08733195704068078,1,0.08718832699468855,0.08728043887556547
2013-11-06..2015-09-24,resid,recw,heat,0.08612373264864355,0.08733195704068078,1,0.08729301908069526,0.08775731615839501
2013-11-06..2015-09-24,resid,multiscale,binary,0.08612373264864355,0.0869388321980038,1,0.08830373893686695,0.08799355591365089
2013-11-06..2015-09-24,resid,multiscale,heat,0.08612373264864355,0.0869388321980038,1,0.08831974905306544,0.0880595630318401
2013-11-06..2015-09-24,resid,rawW240,binary,0.08612373264864355,0.08594680361760755,1,0.08805057081593637,0.08788085848617394
2013-11-06..2015-09-24,resid,rawW240,heat,0.08612373264864355,0.08594680361760755,1,0.0879855424019454,0.08801320358289175
2013-11-06..2015-09-24,resid,rawW48,binary,0.08612373264864355,0.08658016002470773,1,0.0888443882080739,0.0880680958917876
2013-11-06..2015-09-24,resid,rawW48,heat,0.08612373264864355,0.08658016002470773,1,0.08750623797343084,0.0891182460492969
2013-11-06..2015-09-24,resid,har,binary,0.08612373264864355,0.08819630593441845,1,0.0871613206330381,0.08794667052990263
2013-11-06..2015-09-24,resid,har,heat,0.08612373264864355,0.08819630593441845,1,0.08736969484707478,0.08757849480424353
2013-11-06..2015-09-24,raw,raw960,binary,0.2853087443241398,0.1914961292020937,1,0.24180449101477108,0.22132612085897851
2013-11-06..2015-09-24,raw,raw960,heat,0.2853087443241398,0.1914961292020937,1,0.23953370154974474,0.2212434584295191
2013-11-06..2015-09-24,raw,recw,binary,0.2853087443241398,0.17159092920241228,1,0.20344900133669985,0.207194395047285
2013-11-06..2015-09-24,raw,recw,heat,0.2853087443241398,0.17159092920241228,1,0.21048020449676624,0.20708313346018242
2013-11-06..2015-09-24,raw,multiscale,binary,0.2853087443241398,0.1188953844304021,1,0.12570984301985877,0.12437634564775044
2013-11-06..2015-09-24,raw,multiscale,heat,0.2853087443241398,0.1188953844304021,1,0.1292695479226973,0.125756371130308
2013-11-06..2015-09-24,raw,rawW240,binary,0.2853087443241398,0.16771248441443717,1,0.18784194266137705,0.18768903816972027
2013-11-06..2015-09-24,raw,rawW240,heat,0.2853087443241398,0.16771248441443717,1,0.1870936603204843,0.18591794916363794
2013-11-06..2015-09-24,raw,rawW48,binary,0.2853087443241398,0.14380178548818684,1,0.15486400515301005,0.15899712280812686
2013-11-06..2015-09-24,raw,rawW48,heat,0.2853087443241398,0.14380178548818684,1,0.15388958186902724,0.15749685204589658
2013-11-06..2015-09-24,raw,har,binary,0.2853087443241398,0.12856076284588747,1,0.1630783550210676,0.1513747114287572
2013-11-06..2015-09-24,raw,har,heat,0.2853087443241398,0.12856076284588747,1,0.169318931915399,0.15954681678429936
