window,views,representation,weighting,n_views,n_components,rayleigh,rayleigh_null_mean,rayleigh_null_std,smoothness_z,captured_d8,null_d8,captured_d16,null_d16
2013-11-06..2015-09-24,resid,raw960,binary,11520,1,0.992701537184606,1.0002181156778378,0.0022375246972861267,3.3593276098130356,0.0018097048878333954,0.000814092688620856,0.003930230630759546,0.001493155393361562
2013-11-06..2015-09-24,resid,raw960,heat,11520,1,0.9927208481388184,1.0006681344528054,0.0011041826187343762,7.197438339589379,0.0019971515327791814,0.000790875413328254,0.004348631729376013,0.0014016595634294246
2013-11-06..2015-09-24,resid,recw,binary,11520,1,0.9955430138475426,1.0003944170911772,0.001476985163711697,3.284666198977143,0.0026349264166581187,0.0006178503092899256,0.006286385408191792,0.001399058753385154
2013-11-06..2015-09-24,resid,recw,heat,11520,1,0.9960444498168384,1.0003556178865463,0.0011340338031366377,3.8016221895534072,0.0011134874183160812,0.0009297047163683901,0.006663026101900987,0.0014277624140812471
2013-11-06..2015-09-24,resid,multiscale,binary,11520,1,0.9861072046636333,0.9997254262407186,0.003497419508309037,3.893791278035591,0.009360013896771926,0.0008351197124123518,0.01137190187834476,0.0016878674973196607
2013-11-06..2015-09-24,resid,multiscale,heat,11520,1,0.9878328696731427,0.9991449067221158,0.002332313974516945,4.850134747109244,0.008093414653048258,0.0008087891405481855,0.01250916119997172,0.0014289143320382728
2013-11-06..2015-09-24,raw,raw960,binary,11520,1,0.4830143376467246,1.000097451808098,0.0032961355177414478,156.87556272434,0.03971249326218136,0.0007302252439143355,0.1501147563743128,0.0015362084818488653
2013-11-06..2015-09-24,raw,raw960,heat,11520,1,0.4685529042193382,1.0005267880432778,0.002598670394643441,204.71002591189745,0.04167803893091859,0.0005731642712838127,0.15383032788668644,0.0012693619565796717
2013-11-06..2015-09-24,raw,recw,binary,11520,1,0.47776255268201007,1.0000718259323769,0.0036942496759652453,141.3843998277935,0.055202176681785314,0.0005659016003764581,0.20266318072603412,0.0012971285335387278
2013-11-06..2015-09-24,raw,recw,heat,11520,1,0.4644445209326767,0.9990973164731253,0.005061415003116052,105.6330680671888,0.057513190836233304,0.000717468321700696,0.20533227868802523,0.0014126126451066503
2013-11-06..2015-09-24,raw,multiscale,binary,11520,1,0.40240791041052204,1.0028109895772463,0.005721201649879312,104.94352688641725,0.4835326363878884,0.0006676409533054614,0.5524274525487913,0.00135437144931932
2013-11-06..2015-09-24,raw,multiscale,heat,11520,1,0.39930559214342454,0.9987856304095276,0.005407614574576298,110.85849962098567,0.5004308540833723,0.0007578959928215701,0.5567264312528342,0.0016331683878403678
