entry_hour,k_bars,n,mean_cum_pnl,mean_final_pnl,realized_fraction
ALL,1,34491,0.006629299577861223,0.016165373614682458,0.410092567971337
10:00,1,3825,0.003188873600251854,0.02690191426281193,0.11853705164245572
10:30,1,3772,0.0036438018775731967,0.02657264880137642,0.13712603153752792
11:00,1,3499,0.006813165949090427,0.02785468537364891,0.24459676559606086
11:30,1,3556,0.005395608480705902,0.0007716847270012915,6.991985576380173
12:00,1,3230,0.008886296212506764,0.006420284363985057,1.3840969821142093
12:30,1,3205,-0.0011270172184953207,0.0001619170547002601,-6.960460221942946
13:00,1,3238,0.007082315392174863,0.025853600937152534,0.27393922453553954
13:30,1,3153,-0.0037973734781060493,-0.021477804669563567,0.17680454480933747
14:00,1,2927,0.010273052448831458,0.007026193116953611,1.4621078979516589
14:30,1,2272,0.02559137521499061,0.03458994864042896,0.7398500495337319
15:00,1,1814,0.01952611018350766,0.06494788206539207,0.30064275481451436
ALL,2,32669,0.007610292105659618,0.013452538767051244,0.5657141924986826
10:00,2,3825,0.012052070556572722,0.02690191426281193,0.44800048200410014
10:30,2,3772,0.0050726488087578115,0.02657264880137642,0.19089737145417948
11:00,2,3499,0.011449706458145395,0.02785468537364891,0.41105136549045523
11:30,2,3556,0.004255926738703974,0.0007716847270012915,5.515110756749305
12:00,2,3230,0.006554631559743786,0.006420284363985057,1.0209254276200532
12:30,2,3205,-0.006757850771513654,0.0001619170547002601,-41.73649764086771
13:00,2,3238,0.003149916157726241,0.025853600937152534,0.12183665112582831
13:30,2,3153,-0.0034487683031273423,-0.021477804669563567,0.1605735947498689
14:00,2,2927,0.01504074260549396,0.007026193116953611,2.1406674076751346
14:30,2,2264,0.03768929741779054,0.034595807868577785,1.0894180462836502
ALL,3,30361,0.003124737944311026,0.011668275073992379,0.2677977614082658
10:00,3,3825,0.016270004130027004,0.02690191426281193,0.6047898291207466
10:30,3,3772,0.012126267149630813,0.02657264880137642,0.4563439362131897
11:00,3,3499,0.01715799910850161,0.02785468537364891,0.6159825134744986
11:30,3,3556,1.4771288922288456e-05,0.0007716847270012915,0.01914161108214305
12:00,3,3230,0.005099826832888732,0.006420284363985057,0.7943303666573547
12:30,3,3205,-0.018219935784775678,0.0001619170547002601,-112.5263538081539
13:00,3,3237,0.007769683006890074,0.025432478363957938,0.30550239326659606
13:30,3,3152,-0.006934650257351059,-0.021788251575247,0.3182747469847151
14:00,3,2885,-0.01197963088552708,0.0055515303365273735,-2.1578970408762372
ALL,4,27400,0.0006464129649761941,0.012047482035592558,0.05365544128361924
10:00,4,3825,0.02010799673010751,0.02690191426281193,0.7474559815211348
10:30,4,3772,0.01331377471110223,0.02657264880137642,0.501033028758977
11:00,4,3499,0.013361181835981945,0.02785468537364891,0.479674484085966
11:30,4,3556,-0.00478549645471961,0.0007716847270012915,-6.201362146061498
12:00,4,3230,-0.005907565164512503,0.006420284363985057,-0.9201407335867112
12:30,4,3204,-0.010850542199118084,-0.00020878617623411254,51.96963896187907
13:00,4,3233,0.008918312879987036,0.024672868723950976,0.36146234066935473
13:30,4,3081,-0.037046677431794024,-0.0237177710944423,1.5619797191007987
ALL,5,24226,0.004847937198828105,0.016403018642574367,0.2955515264882517
10:00,5,3825,0.021935431536789507,0.02690191426281193,0.8153855269367251
10:30,5,3772,0.010617347501715288,0.02657264880137642,0.3995592453382113
11:00,5,3499,0.012990746887869588,0.02785468537364891,0.46637564609360455
11:30,5,3556,-0.014058915003795565,0.0007716847270012915,-18.218469942287758
12:00,5,3230,-0.002459935330268472,0.006420284363985057,-0.38315052586574144
12:30,5,3198,-0.0007180721346274218,-0.000667221170523953,1.0762130555053233
13:00,5,3146,0.0026304292340326766,0.023978473012399516,0.10969961401096953
ALL,6,20966,0.003142169318614888,0.014995858621775346,0.20953580570919583
10:00,6,3821,0.021090052015546753,0.027049894474181862,0.7796722473603894
10:30,6,3772,0.013700199890766464,0.02657264880137642,0.5155752440478126
11:00,6,3499,-0.00016290708412284308,0.02785468537364891,-0.005848462545441509
11:30,6,3556,-0.00703979885377528,0.0007716847270012915,-9.122635977430065
12:00,6,3222,0.0006485043430515643,0.005431486128393746,0.11939721978878487
12:30,6,3096,-0.013846726481665675,-0.002226876459236978,6.21800388801548
ALL,7,17739,0.008274981724605593,0.017824308927495487,0.4642525978575664
10:00,7,3821,0.021048553343112102,0.027049894474181862,0.7781380945201904
10:30,7,3769,0.01051818013030664,0.0261243828371354,0.40261927701332
11:00,7,3494,0.009468925284933682,0.027971822210725673,0.33851656905294014
11:30,7,3541,0.0013254866608503803,0.0004384807794243888,3.0229070988935924
12:00,7,3114,-0.0035509362986537855,0.004842248915097292,-0.733323784240538
ALL,8,14448,0.013333652363945793,0.020934441193624906,0.6369242073682027
10:00,8,3806,0.018891638806086058,0.027353346349759167,0.6906518333999887
10:30,8,3762,0.014472293401472365,0.026511479415839246,0.5458878086156864
11:00,8,3482,0.017897011618379415,0.02848649425778992,0.6282630448106227
11:30,8,3398,0.0011715332038814562,-0.00016838976153692463,-6.957270995508605
ALL,9,10829,0.021041402105514157,0.028052765117089724,0.7500651724594433
10:00,9,3795,0.021011640707931295,0.027249846088495913,0.7710737389009252
10:30,9,3739,0.019310593861023267,0.026751170050074956,0.7218597850066435
11:00,9,3295,0.023039713647237486,0.03045450765702349,0.7565288497423472
ALL,10,7276,0.021748231961874274,0.02736873487270403,0.7946378253517551
