era,leg,theta,model,n_contracts,n_days,frac_traded,frac_long,sh_daily_mid,sh_daily_crossed,mean_per_trade_mid,hit_mid
all,call,0.0,b2,34961,633,1.0,0.4727553559680787,0.29999012244708373,-4.013644995259634,0.0002420268984269483,0.5156317038986299
all,call,0.0,a0,34961,633,1.0,0.46268699407911673,0.20207586731974164,-4.167247123646614,-2.8642817052441446e-05,0.517290695346243
all,call,0.0,b2_minus_a0_t,34961,633,,,0.34296910579729795,,0.00027066971547939195,
all,call,0.05,b2,28311,633,0.809788049540917,0.37656245530734245,0.33005496404745777,-3.553262542907329,0.001981251469498661,0.5195507046730953
all,call,0.05,a0,28586,633,0.8176539572666686,0.37335888561540004,-0.04290242525997384,-4.0033152583248,-0.0025574413056701096,0.5208493668229203
all,call,0.05,b2_minus_a0_t,34961,633,,,1.2425313404035145,,0.0036954957671938007,
all,call,0.1,b2,21983,633,0.6287863619461685,0.28334429793198135,0.6437395663704105,-2.9454781002215027,0.0064351125110810046,0.5259518719010144
all,call,0.1,a0,22536,633,0.6446039873001345,0.2857755785017591,0.2573312151426658,-3.3519124959367605,-0.0015809796822529717,0.5230298189563365
all,call,0.1,b2_minus_a0_t,34961,633,,,1.43123562397301,,0.005065416791577664,
all,call,0.2,b2,12480,624,0.3569691942450159,0.1337204313377764,1.1216155769498022,-1.0533939059573627,0.013260994287765634,0.5434294871794871
all,call,0.2,a0,13198,627,0.3775063642344327,0.14647750350390434,1.0735286045931112,-1.204758947811536,0.0028688846372991995,0.5350053038339142
all,call,0.2,b2_minus_a0_t,34961,633,,,1.0331345391321072,,0.0036507442369566137,
all,call,,always_short,34961,633,1.0,0.0,3.906779371423119,,0.07471457727724397,0.65447212608335
all,call,,always_long,34961,633,1.0,1.0,-3.906779371423119,,-0.07471457727724397,0.34552787391664996
all,put,0.0,b2,34889,633,1.0,0.47436154661927826,1.121455210511446,-3.0385759734741247,0.009515432429841863,0.5152626902462094
all,put,0.0,a0,34889,633,1.0,0.4675112499641721,0.7711509498816289,-3.572697513257197,0.006023495263607153,0.5155206512081172
all,put,0.0,b2_minus_a0_t,34889,633,,,1.379312922441705,,0.0034919371662347157,
all,put,0.05,b2,28256,633,0.8098827710739774,0.37891599071340537,1.287097127614893,-2.488494962649881,0.012720606846526813,0.5199957531143827
all,put,0.05,a0,28702,633,0.8226661698529623,0.37639370575252945,0.9093557267566272,-2.9499540225222227,0.00880218049558318,0.521078670475925
all,put,0.05,b2_minus_a0_t,34889,633,,,1.5591947936049197,,0.003060944207951881,
all,put,0.1,b2,21917,633,0.6281922669036086,0.2842729800223566,1.2594724592120174,-2.2329840737808886,0.012019949177908586,0.5258475156271387
all,put,0.1,a0,22663,633,0.6495743644128522,0.29115193900656366,0.9167767030508055,-2.63427909191924,0.00928360375389095,0.5224374531174161
