dim,bucket,theta,model,n_rows,n_traded,n_days,frac_traded,frac_long,sh_mid,sh_crossed,hit_mid,mean_mid,mean_crossed,sh_always_short,med_abs_sig
era,a_pre_daily,0.05,b2,29732,23432,286,0.788107090004036,0.2797883236599522,9.561771097408995,5.999380770800553,0.7797202797202797,0.16078121243250923,0.10358799455132574,3.6858756278250535,0.12802600411055032
era,b_daily_0dte,0.05,b2,36743,26930,337,0.7329287211169474,0.3267359821760119,8.74584119529787,5.563637938915299,0.7507418397626113,0.15770686145399104,0.1093773007575359,4.713686325440356,0.1039326539786584
era,ALL,0.05,b2,66475,50362,623,0.7576081233546446,0.3048925777371828,9.11997567586574,5.765844434162344,0.7640449438202247,0.15913726914488177,0.10668370195240671,4.192516403321571,0.11407951104816902
era,a_pre_daily,0.05,a0,29732,23504,286,0.7905287232611328,0.1736725663716814,10.502611474250404,6.693326798605952,0.8006993006993007,0.15656114056323064,0.10016943776208784,3.6858756278250535,0.12567475587829785
era,b_daily_0dte,0.05,a0,36743,27723,337,0.7545110633317911,0.2527504238358042,7.991855952630671,4.936689916006577,0.7626112759643917,0.1496805501589196,0.10156725970045545,4.713686325440356,0.10861151773346885
era,ALL,0.05,a0,66475,51227,623,0.7706205340353517,0.21646787826731997,9.08732523845783,5.704168507736839,0.7800963081861958,0.15283750639026103,0.10092591027848281,4.192516403321571,0.11586682027625121
era,a_pre_daily,0.1,b2,29732,17647,286,0.5935355845553613,0.2405508018360061,10.39615146947951,6.898189648619748,0.7657342657342657,0.18903217881996992,0.131192207072353,3.6858756278250535,0.12802600411055032
era,b_daily_0dte,0.1,b2,36743,18908,335,0.5146014206787688,0.2789824412946901,7.992293144519946,5.2841473603640665,0.7522388059701492,0.18407706476978036,0.1369688702523693,4.713686325440356,0.1039326539786584
era,ALL,0.1,b2,66475,36555,621,0.5499059796916134,0.2604294898098755,9.011407225384497,5.967213901189074,0.7584541062801933,0.18646915607449094,0.13418017444775304,4.192516403321571,0.11407951104816902
era,a_pre_daily,0.1,a0,29732,17692,285,0.5950491053410467,0.13599366945512095,10.576516261747841,7.123473507358121,0.8210526315789474,0.17590012052528187,0.11966000682331654,3.6858756278250535,0.12567475587829785
era,b_daily_0dte,0.1,a0,36743,19565,336,0.5324823775957325,0.20373115256836188,7.4649248751315245,4.96859091971371,0.7619047619047619,0.17390739769202943,0.12708488223078926,4.713686325440356,0.10861151773346885
era,ALL,0.1,a0,66475,37257,621,0.5604663407295976,0.17156507501945942,8.68627036359746,5.806831764953209,0.789049919484702,0.1748536695970648,0.12355907779916547,4.192516403321571,0.11586682027625121
