era,entry,n,prem_frac_med,n_cheap,sh_const_short,sh_const_short_rvsettle,sh_overlay_z,cheap_long_mean,cheap_long_hit
all,10:00,869,0.8195984372720114,1,2.4851525248685733,74.22032004200028,-0.44708994646711403,-1.0,0.0
all,10:30,870,0.8330083513228529,2,2.4421052518203736,72.89355245487376,-0.3922631779551075,-1.0,0.0
all,11:00,870,0.8579644618614021,2,2.41537432971739,82.43066941164632,-0.3322692014843552,-1.0,0.0
all,11:30,871,0.8944342279080109,2,2.325729162028277,96.61494424056487,-0.4205209844160502,-1.0,0.0
all,12:00,872,0.9163867216854065,1,2.296458240301032,116.62150749528446,-0.40406450875097866,-1.0,0.0
all,12:30,872,0.9564300701596081,0,2.26162650729755,156.62086320952955,-0.40627976547132577,,
all,13:00,867,0.9685387950795027,0,,192.7428233845408,7.453707780349349,,
all,13:30,867,0.9724465740046961,0,,224.94252965498143,7.009613852186919,,
all,14:00,866,0.9772906383884069,0,,262.6551779010004,6.904144802329213,,
all,14:30,867,0.9798013494645722,0,,274.55150988004425,6.796299455699491,,
all,15:00,867,0.9882217167249944,0,,374.5472880492515,6.640865121250891,,
all,15:30,867,0.9936659385239693,0,,459.3925965655063,6.22685264265171,,
daily_0dte,10:00,492,0.8198153170901472,0,313.9407815928593,80.28894489044804,4.637696930115005,,
daily_0dte,10:30,492,0.8364326287521471,0,300.5332399422711,81.42331663097936,5.45371823011353,,
daily_0dte,11:00,492,0.8641045954709141,0,281.39781163255685,92.40915099798077,5.895214011062295,,
daily_0dte,11:30,492,0.8957415517082544,0,271.05144292541,110.63184992165748,5.862976036493976,,
daily_0dte,12:00,492,0.9197842374611472,0,263.06718597621574,134.87200052609947,6.056335636798023,,
daily_0dte,12:30,492,0.9607335269943454,0,254.75036365296486,157.42701760038182,4.395619767285839,,
daily_0dte,13:00,490,0.9726979843306076,0,,221.58793202259457,3.725525253625402,,
daily_0dte,13:30,490,0.9765388613234174,0,,365.6684996687935,2.994375635971298,,
daily_0dte,14:00,489,0.9799797318014102,0,,577.2997078971397,3.681457100904114,,
daily_0dte,14:30,490,0.9824942242108972,0,,638.325199489997,4.57062200409965,,
daily_0dte,15:00,490,0.9897304264079647,0,,1137.9630402906398,4.832725922808886,,
daily_0dte,15:30,490,0.9944363445478481,0,,1747.7085460364126,4.419890691968085,,
