era,k,entry_et,target_et,model,n_days,qlike
all,0,10:00,10:30,M0,737,0.5324117170431226
all,0,10:00,11:00,M0,737,0.20323691884856998
all,0,10:00,11:30,M0,737,0.2829836568651489
all,0,10:00,12:00,M0,737,0.23997704005702838
all,0,10:00,12:30,M0,737,0.4781371628163556
all,0,10:00,13:00,M0,737,0.39219999844337894
all,0,10:00,13:30,M0,737,0.47553256470492977
all,0,10:00,14:00,M0,737,0.24446091208015647
all,0,10:00,14:30,M0,737,0.37887630820374923
all,0,10:00,15:00,M0,737,0.3037229833470209
all,0,10:00,15:30,M0,737,0.26536251083668844
all,0,10:00,10:30,M1,737,0.24392703003690425
all,0,10:00,11:00,M1,737,0.25479485825162784
all,0,10:00,11:30,M1,737,0.2628625962230981
all,0,10:00,12:00,M1,737,0.6062232412612658
all,0,10:00,12:30,M1,737,0.5609849246871185
all,0,10:00,13:00,M1,737,0.4996448039356035
all,0,10:00,13:30,M1,737,0.543991060627356
all,0,10:00,14:00,M1,737,0.4357890555481169
all,0,10:00,14:30,M1,737,0.38792260671538487
all,0,10:00,15:00,M1,737,0.34360746886419463
all,0,10:00,15:30,M1,737,0.38786064132978265
all,0,10:00,10:30,M2,737,0.23354088243873927
all,0,10:00,11:00,M2,737,0.2662083534461784
all,0,10:00,11:30,M2,737,0.23585566783664036
all,0,10:00,12:00,M2,737,0.3457120912188401
all,0,10:00,12:30,M2,737,0.42427816160157256
all,0,10:00,13:00,M2,737,0.46604300968690726
all,0,10:00,13:30,M2,737,0.4970227739349206
all,0,10:00,14:00,M2,737,0.37839979254118783
all,0,10:00,14:30,M2,737,0.3741552842605157
all,0,10:00,15:00,M2,737,0.33688427463830356
all,0,10:00,15:30,M2,737,0.3434623688537757
all,0,10:00,10:30,M3,737,0.3240108297085316
all,0,10:00,11:00,M3,737,0.3305863739714109
all,0,10:00,11:30,M3,737,0.3854511349102525
all,0,10:00,12:00,M3,737,0.7674023695497624
all,0,10:00,12:30,M3,737,0.694650481022629
all,0,10:00,13:00,M3,737,0.6770341134794764
all,0,10:00,13:30,M3,737,0.6297726435474854
all,0,10:00,14:00,M3,737,0.45491481190855926
all,0,10:00,14:30,M3,737,0.4969210170620285
all,0,10:00,15:00,M3,737,0.396011254434222
all,0,10:00,15:30,M3,737,0.37048775150007696
all,0,10:00,10:30,M3k,737,0.30348945294819846
all,0,10:00,11:00,M3k,737,0.3099781991882516
all,0,10:00,11:30,M3k,737,0.35563957025019605
all,0,10:00,12:00,M3k,737,0.7265686111141257
all,0,10:00,12:30,M3k,737,0.6496515640894938
all,0,10:00,13:00,M3k,737,0.6295326831588404
all,0,10:00,13:30,M3k,737,0.6103397415644685
all,0,10:00,14:00,M3k,737,0.45320737361976204
all,0,10:00,14:30,M3k,737,0.47568349947542937
all,0,10:00,15:00,M3k,737,0.3878682347519012
all,0,10:00,15:30,M3k,737,0.36635119336324057
all,0,10:00,10:30,M4,737,0.2377447121593222
all,0,10:00,11:00,M4,737,0.25478065625387925
all,0,10:00,11:30,M4,737,0.24892874106409443
all,0,10:00,12:00,M4,737,0.5985552310327141
all,0,10:00,12:30,M4,737,0.5365527171820296
all,0,10:00,13:00,M4,737,0.5058696149796484
all,0,10:00,13:30,M4,737,0.5742233746453155
all,0,10:00,14:00,M4,737,0.42811296798866394
all,0,10:00,14:30,M4,737,0.39720298468233056
all,0,10:00,15:00,M4,737,0.34405405970564223
all,0,10:00,15:30,M4,737,0.36666417554835756
daily_0dte,0,10:00,10:30,M0,489,0.5296429431659889
daily_0dte,0,10:00,11:00,M0,489,0.22699394490110789
daily_0dte,0,10:00,11:30,M0,489,0.29642696701777893
daily_0dte,0,10:00,12:00,M0,489,0.25840585905190355
daily_0dte,0,10:00,12:30,M0,489,0.5341570849394851
daily_0dte,0,10:00,13:00,M0,489,0.4342955061018339
daily_0dte,0,10:00,13:30,M0,489,0.4730523252010088
daily_0dte,0,10:00,14:00,M0,489,0.25844288701408763
daily_0dte,0,10:00,14:30,M0,489,0.41151321978401684
daily_0dte,0,10:00,15:00,M0,489,0.29819243782127663
daily_0dte,0,10:00,15:30,M0,489,0.29467268271016867
daily_0dte,0,10:00,10:30,M1,489,0.21682626745879102
daily_0dte,0,10:00,11:00,M1,489,0.24741281860980363
daily_0dte,0,10:00,11:30,M1,489,0.2696922849807826
daily_0dte,0,10:00,12:00,M1,489,0.5684224872613265
daily_0dte,0,10:00,12:30,M1,489,0.5742527475806984
daily_0dte,0,10:00,13:00,M1,489,0.5615282053186925
daily_0dte,0,10:00,13:30,M1,489,0.5481174000179188
daily_0dte,0,10:00,14:00,M1,489,0.431735128981816
daily_0dte,0,10:00,14:30,M1,489,0.4219411580978372
daily_0dte,0,10:00,15:00,M1,489,0.35157561159381084
daily_0dte,0,10:00,15:30,M1,489,0.38451972262517015
daily_0dte,0,10:00,10:30,M2,489,0.21189715201507794
daily_0dte,0,10:00,11:00,M2,489,0.26570582037994894
daily_0dte,0,10:00,11:30,M2,489,0.22865293921502677
daily_0dte,0,10:00,12:00,M2,489,0.31340627601397997
daily_0dte,0,10:00,12:30,M2,489,0.4305638123839392
daily_0dte,0,10:00,13:00,M2,489,0.5333766216894981
daily_0dte,0,10:00,13:30,M2,489,0.5003170816301661
daily_0dte,0,10:00,14:00,M2,489,0.35755808681251156
daily_0dte,0,10:00,14:30,M2,489,0.3797462008816568
daily_0dte,0,10:00,15:00,M2,489,0.3103359744974502
daily_0dte,0,10:00,15:30,M2,489,0.3062675195666165
daily_0dte,0,10:00,10:30,M3,489,0.26775826497520044
