n_samples,mse,mae,w_mse,w_mae,qlike,w_qlike,exp_id,experiment_name,model,segment,horizon,delta_mse,delta_mae,delta_qlike,oos_r2,delta_w_mse,delta_w_mae,delta_w_qlike,w_oos_r2
221915.0,0.22480740914395578,0.34306991521398034,0.1662831674132272,0.32401313881851956,0.35179318083724004,0.309176779456157,0,naive_baseline,naive,GLOBAL,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222058.0,0.06293512871596678,0.18701178986111627,0.04931097446695418,0.17805091168783954,0.13804254783175196,0.1200930675714522,1,baseline,ridge,GLOBAL,1,-0.161872280427989,-0.15605812535286406,-0.21375063300548808,0.7200486898736235,-0.11697219294627303,-0.14596222713068002,-0.1890837118847048,0.7034517971117762
217214.0,0.06168698662927954,0.1850748712082953,0.04828260381005905,0.1761725313776068,0.1321809521326087,0.11520209758680881,2,moments,ridge,GLOBAL,1,-0.16312042251467623,-0.15799504400568504,-0.21961222870463135,0.7256007403662653,-0.11800056360316816,-0.14784060744091276,-0.1939746818693482,0.7096362514548882
203433.0,0.06197025626406595,0.18564518309184833,0.0485975313208269,0.17675363430147617,0.1317343370240383,0.11534163117336572,3,liquidity,ridge,GLOBAL,1,-0.1628371528798898,-0.157424732122132,-0.22005884381320173,0.7243406856560355,-0.11768563609240032,-0.1472595045170434,-0.1938351482827913,0.7077423284820039
200687.0,0.06218229474599683,0.1861333146641725,0.04879828462942932,0.17724426171619292,0.1337514603539457,0.11715178507661296,4,market_ew,ridge,GLOBAL,1,-0.16262511439795896,-0.15693660054980785,-0.21804172048329434,0.723397485061632,-0.1174848827837979,-0.14676887710232664,-0.19202499437954407,0.7065350306434709
200687.0,0.06207360108560736,0.18594544280513212,0.048713358696363625,0.1770647298281979,0.1334669947448633,0.11682589985150346,5,market_vw,ridge,GLOBAL,1,-0.16273380805834842,-0.15712447240884822,-0.21832618609237675,0.7238809818502983,-0.1175698087168636,-0.14694840899032166,-0.19235087960465355,0.7070457614311196
138279.0,0.06518755750887724,0.18810495367789198,0.050026169112047957,0.17847059498833467,0.13966151658346515,0.12064726384493146,6,sentiment,ridge,GLOBAL,1,-0.15961985163507852,-0.15496496153608835,-0.2121316642537749,0.7100293190642383,-0.11625699830117925,-0.1455425438301849,-0.18852951561122555,0.6991507325108328
14468.0,0.05945916943324377,0.17823676531273688,0.045374673445440016,0.1687154497796805,0.12591560478466812,0.10760424569388109,7,implied_vol,ridge,GLOBAL,1,-0.165348239710712,-0.16483314990124345,-0.22587757605257192,0.7355106325914329,-0.12090849396778719,-0.15529768903883906,-0.2015725337622759,0.7271240730417394
136849.0,0.0648765103522614,0.18774935245272073,0.04986441076295272,0.1782056938217662,0.14054385569967612,0.12132868536370917,8,vol_demand,ridge,GLOBAL,1,-0.15993089879169436,-0.1553205627612596,-0.21124932513756392,0.711412935190594,-0.11641875665027449,-0.14580744499675335,-0.18784809409244785,0.7001235209873312
12890.0,0.05872778655085603,0.17580734165660994,0.043907403492801984,0.16566648816983653,0.12310718980327622,0.10419603677227002,9,all_features,ridge,GLOBAL,1,-0.16607962259309975,-0.1672625735573704,-0.2286859910339638,0.7387640079369021,-0.12237576392042523,-0.15834665064868303,-0.204980742683887,0.7359479965660715
