estimator,bucket,qlike,mse,rmse,mae,hmse,hmae,oos_r2,mz_beta,mz_r2,n,incumbent_qlike,dm,dm_p,dm_mean_diff,dm_better,family,arm_tag,view_window,embedding_dim,neighbor_k,residualizer,masked,omega
lgbm,all_features,0.1260378879120965,4.079817157188102e-11,6.387344641702138e-06,1.22200604530879e-06,0.3864614263793979,0.3877820282779229,0.0590817736972618,0.8918254985449062,0.7230923457265159,218934,0.1341525013374754,-15.428191319669576,1.0579367045167651e-53,-0.0081146134253788,a,causal-tuned,,,,,,,
xgb,all_features,0.126406446927067,4.605273083700443e-11,6.786216238597502e-06,1.2307275768248538e-06,0.356466347317925,0.3878769366712988,-0.0621028380942656,0.8401970487949607,0.700769255366378,218934,0.1341525013374754,-16.54483454351219,1.7444335809806086e-61,-0.0077460544104083,a,causal-tuned,,,,,,,
ridge,all_features,0.1278785500577159,4.5856233397652494e-11,6.771723074495331e-06,1.2424636496272952e-06,0.3187266792896216,0.3932028014332827,-0.0575710658362349,0.8840495526726259,0.6887404703149038,218934,0.1341525013374754,-19.925446139752538,2.4485455732854103e-88,-0.0062739512797595,a,causal-tuned,,,,,,,
lgbm,moments,0.1281568997042267,4.2452807623841146e-11,6.515581909840528e-06,1.229507663995804e-06,0.3873318885694141,0.391686300151351,0.0209213081861082,0.8823271862199353,0.7133908313834305,218934,0.1341525013374754,-11.26865016452752,1.8742109879324017e-29,-0.0059956016332487,a,causal-tuned,,,,,,,
reclasticnet,all_features,0.1282717234490847,4.2602922646326225e-11,6.527091438483625e-06,1.245351497924204e-06,0.3161264127779781,0.3934568677708686,0.017459242234226,0.9048160009428456,0.7076953286261181,218934,0.1341525013374754,-19.31418749603932,4.08102898754544e-83,-0.0058807778883906,a,causal-tuned,,,,,,,
lgbm,liquidity,0.1283977869063153,4.085916439589942e-11,6.392117364058596e-06,1.235808693838944e-06,0.3495672281923463,0.3929452072242728,0.0576751111537831,0.892171037104017,0.7226593996242515,218934,0.1341525013374754,-14.693714886335496,7.072758425776798e-49,-0.00575471443116,a,causal-tuned,,,,,,,
xgb,moments,0.1286263386098659,4.151422105112335e-11,6.44315303645066e-06,1.2352536569108572e-06,0.4156234863763839,0.3922130184281735,0.0425677001494667,0.8749412451108589,0.7221214988159876,218934,0.1341525013374754,-9.02968726531276,1.721630985683252e-19,-0.0055261627276094,a,causal-tuned,,,,,,,
xgb,liquidity,0.128863255911668,3.9659791294236446e-11,6.29760202729868e-06,1.2399055689775328e-06,0.3478034244096197,0.3929556277013615,0.0853359588832974,0.8790398089781496,0.7346692714028438,218934,0.1341525013374754,-13.976210710817629,2.1777836238055946e-44,-0.0052892454258074,a,causal-tuned,,,,,,,
reclasso,all_features,0.1290679259963715,4.231989079430749e-11,6.505373993423244e-06,1.244264971272752e-06,0.3238096916215838,0.394679441986581,0.0239867364313459,0.9150598660116084,0.7078958347633708,218934,0.1341525013374754,-13.229510976643397,5.927175432585593e-40,-0.0050845753411038,a,causal-tuned,,,,,,,
lgbm,market_vw,0.129632018996459,4.377856405368926e-11,6.616537164838512e-06,1.2467527331288746e-06,0.3631040321653527,0.3950987296941514,-0.0096542872492,0.8616102095180411,0.7098342324783686,218934,0.1341525013374754,-10.843800985279865,2.1341577163250004e-27,-0.0045204823410164,a,causal-tuned,,,,,,,
lgbm,vol_demand,0.1297900558781176,4.486259128250472e-11,6.69795426100423e-06,1.253467080482416e-06,0.3701504319083022,0.3956686634700186,-0.0346549413987089,0.8607582738990037,0.7023416665254992,218934,0.1341525013374754,-10.003517654724645,1.4707778860542326e-23,-0.0043624454593578,a,causal-tuned,,,,,,,
lgbm,implied_vol,0.1300052674041862,4.482799075557391e-11,6.695370845261217e-06,1.2616699806175697e-06,0.3998321125339134,0.3951118671775038,-0.0338569579309564,0.8403068903015616,0.7099400879895598,218934,0.1341525013374754,-7.840487646812495,4.488000853395348e-15,-0.0041472339332891,a,causal-tuned,,,,,,,
xgb,market_vw,0.1301152618894695,4.4954183690678785e-11,6.7047881167624375e-06,1.2512728722807036e-06,0.3863473960392152,0.3949608483977546,-0.0367673146478408,0.8548112104683341,0.7034680803007347,218934,0.1341525013374754,-8.068116687801616,7.139080105061754e-16,-0.0040372394480058,a,causal-tuned,,,,,,,
xgb,vol_demand,0.1302622774021793,4.8104108860178405e-11,6.935712570470204e-06,1.2655748980529144e-06,0.3750304792695628,0.3958307448452762,-0.1094132663971727,0.845210777627977,0.6839743589458818,218934,0.1341525013374754,-8.56783169353511,1.0545176880094989e-17,-0.003890223935296,a,causal-tuned,,,,,,,
lgbm,sentiment,0.1303779131499464,4.6106518791336113e-11,6.790178111900756e-06,1.2537051171578442e-06,0.3775254866388341,0.3959607482777527,-0.0633433364949613,0.8674099756720968,0.6912547288789712,218934,0.1341525013374754,-8.060946193196978,7.570614956925853e-16,-0.0037745881875289,a,causal-tuned,,,,,,,
lgbm,market_ew,0.1303864192955747,4.3211363074282076e-11,6.573535051574768e-06,1.2495985655832388e-06,0.4022532155828527,0.3958614937504969,0.0034269298480092,0.8672512771821443,0.7121289256026772,218934,0.1341525013374754,-6.970527092830784,3.157557047911997e-12,-0.0037660820419006,a,causal-tuned,,,,,,,
xgb,market_ew,0.1304301859316939,4.337249873593582e-11,6.585780040051127e-06,1.2501657384723182e-06,0.3956230961286258,0.3956063782951611,-0.0002893024025003,0.8648256236708254,0.7117311771802242,218934,0.1341525013374754,-7.295908084242859,2.96651380956417e-13,-0.0037223154057814,a,causal-tuned,,,,,,,
xgb,sentiment,0.1304990980765453,4.812684525296004e-11,6.9373514580825465e-06,1.259796464677557e-06,0.3684352322405803,0.3956224890877527,-0.1099376302484063,0.8536538277647755,0.68099340266469,218934,0.1341525013374754,-8.419140704238401,3.7925569509934433e-17,-0.0036534032609301,a,causal-tuned,,,,,,,
xgb,implied_vol,0.1307747133012018,4.636274653684421e-11,6.809019498932589e-06,1.2627102078327448e-06,0.4159359968040733,0.3957613130074445,-0.0692526541566183,0.8423492520794501,0.6978115039168744,218934,0.1341525013374754,-5.742018022779395,9.355486195158028e-09,-0.0033777880362735,a,causal-tuned,,,,,,,
ridge,moments,0.1308452101885342,4.2597257581295495e-11,6.526657458553766e-06,1.2492345203351302e-06,0.3106093896848621,0.39579651425859,0.0175898942398243,0.9367186680322348,0.702950089547264,218934,0.1341525013374754,-19.20586155056143,3.3059336067792886e-82,-0.0033072911489411,a,causal-tuned,,,,,,,
spectral-kNN OLS-masked W=12 passthrough k=100,market_vw,0.1309642552906875,4.2202870131291796e-11,6.496373613893508e-06,1.248203673412962e-06,0.310129127553805,0.3975332845457853,0.02668555528631,0.928051693911087,0.7068121227501121,218934,0.1341525013374754,-17.56692417311115,4.4146791286145033e-69,-0.0031882460467879,a,spectral-kNN,mask_exog,12.0,0.0,100.0,OLS,dup,1.0
reclasticnet,moments,0.1311436458392587,4.2007479102228665e-11,6.4813176979861634e-06,1.2534214391244131e-06,0.3108333377016516,0.3959139752966475,0.0311918106751647,0.933468716691468,0.7074753575107113,218934,0.1341525013374754,-17.688129604267726,5.176534758186502e-70,-0.0030088554982167,a,causal-tuned,,,,,,,
lgbm,baseline,0.1311803877757022,4.507859167213725e-11,6.714059254440436e-06,1.2585398383485483e-06,0.3979149482010153,0.3973312172775433,-0.03963650541649,0.8701009105645303,0.6978765591275911,218934,0.1341525013374754,-5.59601248821359,2.193379092827496e-08,-0.0029721135617731,a,causal-tuned,,,,,,,
ridge,liquidity,0.1312048552795551,4.3448027541225626e-11,6.591511779647036e-06,1.2737691561079494e-06,0.3181073748474521,0.3984047932754453,-0.0020312047174837,0.898038735546302,0.7029708329531712,218934,0.1341525013374754,-13.366354738306446,9.50878641537905e-41,-0.0029476460579202,a,causal-tuned,,,,,,,
spectral-kNN OLS W=12 passthrough k=100,market_vw,0.1314528295802928,4.2219650028038814e-11,6.497664967358568e-06,1.2506551669247026e-06,0.3107780733376264,0.3981597492692413,0.0262985646424521,0.930192917818638,0.7064232874671086,218934,0.1341525013374754,-14.59773723238171,2.903222947288161e-48,-0.0026996717571826,a,spectral-kNN,best_exog,12.0,0.0,100.0,OLS,no,1.0
xgb,baseline,0.1316257761454721,4.600753017485539e-11,6.782885092263866e-06,1.261876277322143e-06,0.3812448569220999,0.3979689642373478,-0.0610603863073724,0.8553368069439085,0.6956073967161874,218934,0.1341525013374754,-5.488612966443786,4.051021565236495e-08,-0.0025267251920033,a,causal-tuned,,,,,,,
reclasso,moments,0.1317894222000569,4.224062283320898e-11,6.499278639449841e-06,1.2559639255262567e-06,0.3116254874713294,0.3965850714134172,0.0258148739798175,0.9386928988535472,0.7052536209671363,218934,0.1341525013374754,-8.882333512082965,6.547219300791905e-19,-0.0023630791374184,a,causal-tuned,,,,,,,
reclasticnet,liquidity,0.1318420686715861,4.3201340027079665e-11,6.572772628585266e-06,1.2757649821984695e-06,0.3182308418973135,0.3986821886923951,0.0036580889277544,0.9038990925467076,0.7036404872474165,218934,0.1341525013374754,-11.455632746203028,2.2034822359392377e-30,-0.0023104326658892,a,causal-tuned,,,,,,,
reclasso,liquidity,0.1320605786736404,4.335524817743664e-11,6.5844702275457695e-06,1.2782908061127043e-06,0.3159754297094452,0.3987402077175782,0.0001085429979261,0.9013302476350964,0.7030200292238294,218934,0.1341525013374754,-11.203918190885998,3.900901826794234e-29,-0.002091922663835,a,causal-tuned,,,,,,,
spectral-kNN OLS W=24 passthrough k=100,baseline,0.1321764981877564,4.324746188546447e-11,6.576280246876989e-06,1.2668469043859431e-06,0.3150059607312343,0.398104467250041,0.0025943918180044,0.9323508508987643,0.6988284667451289,218934,0.1341525013374755,-12.905583923950598,4.186300455684584e-38,-0.0019760031497191,a,spectral-kNN,fac_W24_d0_k100_ols,24.0,0.0,100.0,OLS,no,1.0
spectral-kNN OLS W=12 passthrough k=100,baseline,0.1321934467760275,4.291096437509256e-11,6.550646103636843e-06,1.2676523747897045e-06,0.3106316130284044,0.3976067981040993,0.0103549513827043,0.9310431509480788,0.7013733341126642,218934,0.1341525013374754,-14.372594878368709,7.689527083860862e-47,-0.0019590545614478,a,spectral-kNN,fac_W12_d0_k100_ols,12.0,0.0,100.0,OLS,no,1.0
ridge,implied_vol,0.1325210184233455,4.2399494148492176e-11,6.511489395560141e-06,1.2624629916422971e-06,0.3070611866990319,0.3978777402236004,0.02215086379438,0.9218599006044704,0.7063031816397038,218934,0.1341525013374754,-11.27429619044501,1.7577866174443142e-29,-0.0016314829141299,a,causal-tuned,,,,,,,
reclasticnet,implied_vol,0.132622154908568,4.202014805878205e-11,6.4822949685109245e-06,1.2643735388757906e-06,0.3089328503775009,0.3978377956199548,0.0308996296368887,0.9205071253299084,0.7091832255644032,218934,0.1341525013374754,-10.616242996721844,2.5043873914298209e-26,-0.0015303464289073,a,causal-tuned,,,,,,,
reclasso,implied_vol,0.1327434819239251,4.183421944213664e-11,6.467937804442514e-06,1.262648349341418e-06,0.3086142550925313,0.3978777386742236,0.0351876557285629,0.92379757811665,0.7100321495611084,218934,0.1341525013374754,-9.813394812831634,9.859460096468732e-23,-0.0014090194135502,a,causal-tuned,,,,,,,
ridge,market_vw,0.1329053006899238,4.248447026995009e-11,6.518011220452914e-06,1.266573139600024e-06,0.3118911565246312,0.3991728356546228,0.0201910803433144,0.9280124177533284,0.7048500192862472,218934,0.1341525013374754,-9.10711100213486,8.460481387053801e-20,-0.0012472006475515,a,causal-tuned,,,,,,,
reclasticnet,market_vw,0.1331566497426658,4.22607638927538e-11,6.500827939020829e-06,1.2659896582694594e-06,0.3130053644610004,0.3992230091773904,0.0253503656625911,0.9343049323505748,0.7056364323530091,218934,0.1341525013374754,-7.33154415342243,2.2751583923770174e-13,-0.0009958515948096,a,causal-tuned,,,,,,,
ridge,market_ew,0.1331943316688981,4.221012928600876e-11,6.496932298093367e-06,1.2638317565731729e-06,0.3111003281681963,0.3993339325585756,0.026518139181165,0.9363618855191704,0.7057531752160586,218934,0.1341525013374754,-7.222899100190387,5.08907749802897e-13,-0.0009581696685772,a,causal-tuned,,,,,,,
reclasso,market_vw,0.1332137329925705,4.2306986662569046e-11,6.504382112281615e-06,1.2671461318948385e-06,0.3132422167307752,0.3991924203224617,0.0242843412572404,0.9288478045658946,0.706018026449454,218934,0.1341525013374754,-6.449129258045155,1.124945900766518e-10,-0.0009387683449049,a,causal-tuned,,,,,,,
ridge,vol_demand,0.1333704613860468,4.294983379632539e-11,6.553612270826326e-06,1.2777514913327575e-06,0.3180295714522048,0.3994600304664598,0.0094585154524693,0.9256106462893566,0.7018552781342495,218934,0.1341525013374754,-4.09344313164274,4.250143517803486e-05,-0.0007820399514286,a,causal-tuned,,,,,,,
reclasticnet,market_ew,0.1334448130076536,4.214352622390503e-11,6.491804542952987e-06,1.266204255154745e-06,0.3127084278013288,0.3993128690255118,0.0280541892698501,0.9365198578932764,0.7062077625229491,218934,0.1341525013374754,-5.434038855810376,5.509257592573256e-08,-0.0007076883298217,a,causal-tuned,,,,,,,
ridge,sentiment,0.1334732921683958,4.275739050696285e-11,6.538913557079865e-06,1.275528094331746e-06,0.3083581340656872,0.3994525599643336,0.0138967878434719,0.9342673207760184,0.7021135714182328,218934,0.1341525013374754,-5.685566892291299,1.3037943783195776e-08,-0.0006792091690796,a,causal-tuned,,,,,,,
